organization_id,association_id,title,summary,status,submitted_at,attributes
2e3f69e3-c2ed-4d27-bc2b-d8076eb0fece,2ea6a405-6846-4c24-8f2c-af92bc0b2424,Seeded Proposal #11 (2e3f69e3→2ea6a405),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 11}"
42fded44-ec65-423d-a00b-1cd1c9678ba4,c482971c-ab6c-4b76-bb2a-ba8983725270,Seeded Proposal #12 (42fded44→c482971c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 12}"
2e81a425-ee9a-42c4-a387-8e9695235f7e,e008ca5e-6a7b-4faa-a05c-b2d987b764fe,Seeded Proposal #13 (2e81a425→e008ca5e),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 13}"
8b3092d6-5a35-4374-84a8-267e0ad40277,c482971c-ab6c-4b76-bb2a-ba8983725270,Seeded Proposal #14 (8b3092d6→c482971c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 14}"
58264cca-626d-4c65-a772-12f87ebee3e4,c482971c-ab6c-4b76-bb2a-ba8983725270,Seeded Proposal #15 (58264cca→c482971c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 15}"
95cb1150-2317-4cb8-bb21-210d63bb628c,a9f2fe7c-a0c2-4273-a75f-c4dd879462f5,Seeded Proposal #16 (95cb1150→a9f2fe7c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 16}"
2e4b7dfb-50b8-4215-b099-7799a1cacaa2,bda3d151-aa30-4d74-9bdf-8c3c0f2c6d50,Seeded Proposal #17 (2e4b7dfb→bda3d151),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 17}"
4f31502f-0574-4b43-a1e8-aa530e6361b1,fd5a6b3e-4e87-45eb-b8e5-679d9680d92e,Seeded Proposal #18 (4f31502f→fd5a6b3e),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 18}"
b4240a8f-8106-4c43-9ee2-c2b6e5633b8d,8af698c6-9721-4003-a56d-34ad4aeb5521,Seeded Proposal #19 (b4240a8f→8af698c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 19}"
96e8f273-8a2d-4900-8374-2e157ddfe361,3386d33c-7ebc-4fcb-9313-e9accdb2e17d,Seeded Proposal #20 (96e8f273→3386d33c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 20}"
a78ab63d-ba9a-4235-83c3-3d0248d7adf5,fd5a6b3e-4e87-45eb-b8e5-679d9680d92e,Seeded Proposal #21 (a78ab63d→fd5a6b3e),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 21}"
01329ffc-942d-4fbf-bcd5-749807a6472a,de2c2cbd-818d-40a8-8cca-144689a78911,Seeded Proposal #22 (01329ffc→de2c2cbd),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 22}"
5aa2a6b3-9dfb-4151-bdce-edf1e86ecb49,fd5a6b3e-4e87-45eb-b8e5-679d9680d92e,Seeded Proposal #23 (5aa2a6b3→fd5a6b3e),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 23}"
657f74b2-b212-4a2d-b62a-4a6f04fef492,efefc206-791b-4b2a-bceb-28d44e3875aa,Seeded Proposal #24 (657f74b2→efefc206),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 24}"
b459d76f-7ff7-460d-8bf6-d9f81eb1cf62,c482971c-ab6c-4b76-bb2a-ba8983725270,Seeded Proposal #25 (b459d76f→c482971c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 25}"
2ca31747-b721-4225-94a5-03706b027dea,8af698c6-9721-4003-a56d-34ad4aeb5521,Seeded Proposal #26 (2ca31747→8af698c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 26}"
6d33dca8-d291-4631-8b27-7941f89c8207,a9f2fe7c-a0c2-4273-a75f-c4dd879462f5,Seeded Proposal #27 (6d33dca8→a9f2fe7c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 27}"
9d7667e3-2cd5-431f-b890-4301581cfba4,de2c2cbd-818d-40a8-8cca-144689a78911,Seeded Proposal #28 (9d7667e3→de2c2cbd),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 28}"
b41896b8-e736-48d8-96c2-dc28c488a929,abce08a4-b66f-4cc2-88ae-85b517c06df9,Seeded Proposal #29 (b41896b8→abce08a4),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 29}"
deff2c51-1ccd-4703-9c21-86f28dcd6a0c,fd5a6b3e-4e87-45eb-b8e5-679d9680d92e,Seeded Proposal #30 (deff2c51→fd5a6b3e),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 30}"
724d6d94-5ca7-4843-b614-ffc3a92957aa,3df3cdad-c808-40bc-b525-bdeb9e8a0287,Seeded Proposal #31 (724d6d94→3df3cdad),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 31}"
e345f417-a207-4d94-9ce9-8dbe3b827594,abce08a4-b66f-4cc2-88ae-85b517c06df9,Seeded Proposal #32 (e345f417→abce08a4),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 32}"
08a0a499-e6a6-41af-b900-1b805db9df8d,a9f2fe7c-a0c2-4273-a75f-c4dd879462f5,Seeded Proposal #33 (08a0a499→a9f2fe7c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 33}"
41094f6c-7044-48c7-8e3c-212c7b8b43f8,2ea6a405-6846-4c24-8f2c-af92bc0b2424,Seeded Proposal #34 (41094f6c→2ea6a405),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 34}"
de3c5856-d84a-4e92-8f3e-dc5d26d2d164,b6244959-0a2f-4135-8ac5-a184c70a675a,Seeded Proposal #35 (de3c5856→b6244959),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 35}"
62818127-fe08-4b51-9ed1-8fc7aa087f55,8af698c6-9721-4003-a56d-34ad4aeb5521,Seeded Proposal #36 (62818127→8af698c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 36}"
682833ac-6cfa-4009-8553-006375735d1e,8af698c6-9721-4003-a56d-34ad4aeb5521,Seeded Proposal #37 (682833ac→8af698c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 37}"
bdc0a7a0-189c-473d-8bd6-ba168d26a64a,c482971c-ab6c-4b76-bb2a-ba8983725270,Seeded Proposal #38 (bdc0a7a0→c482971c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 38}"
4b340016-bc31-4d3a-80ea-f00f714aeaab,5d6e98c6-19db-4584-88dd-500769f3cfb6,Seeded Proposal #39 (4b340016→5d6e98c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 39}"
54c32430-d11a-455e-981c-20b8621e1adf,de2c2cbd-818d-40a8-8cca-144689a78911,Seeded Proposal #40 (54c32430→de2c2cbd),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 40}"
98009c73-88f8-47b5-913a-1afb95a1632e,efefc206-791b-4b2a-bceb-28d44e3875aa,Seeded Proposal #41 (98009c73→efefc206),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 41}"
2e3f69e3-c2ed-4d27-bc2b-d8076eb0fece,3df3cdad-c808-40bc-b525-bdeb9e8a0287,Seeded Proposal #42 (2e3f69e3→3df3cdad),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 42}"
724d6d94-5ca7-4843-b614-ffc3a92957aa,e008ca5e-6a7b-4faa-a05c-b2d987b764fe,Seeded Proposal #43 (724d6d94→e008ca5e),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 43}"
9439e9c7-5337-4f36-ab75-bcb09a5fbad4,bda3d151-aa30-4d74-9bdf-8c3c0f2c6d50,Seeded Proposal #44 (9439e9c7→bda3d151),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 44}"
ef577de6-98a6-40d8-9a20-5aa6af0a9c0e,bda3d151-aa30-4d74-9bdf-8c3c0f2c6d50,Seeded Proposal #45 (ef577de6→bda3d151),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 45}"
1888d6a3-393b-411f-9754-372a6f6fc5e9,e008ca5e-6a7b-4faa-a05c-b2d987b764fe,Seeded Proposal #46 (1888d6a3→e008ca5e),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 46}"
682833ac-6cfa-4009-8553-006375735d1e,2ea6a405-6846-4c24-8f2c-af92bc0b2424,Seeded Proposal #47 (682833ac→2ea6a405),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 47}"
dbfbb0e5-42b3-4dd3-ad2a-a4792972a914,bda3d151-aa30-4d74-9bdf-8c3c0f2c6d50,Seeded Proposal #48 (dbfbb0e5→bda3d151),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 48}"
4169cc41-f17b-4694-9ec8-8d37e00ff1c3,5d6e98c6-19db-4584-88dd-500769f3cfb6,Seeded Proposal #49 (4169cc41→5d6e98c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 49}"
1144bd2e-a906-416f-9a07-225f94df203c,bda3d151-aa30-4d74-9bdf-8c3c0f2c6d50,Seeded Proposal #50 (1144bd2e→bda3d151),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 50}"
