school_name,subject_name,name,code,credit_hours
Dallas Center Elementary,Spanish II,Spanish II,SPAN2,1.00
Dallas Center Elementary,French I,French I,FREN1,1.00
Dallas Center Elementary,French II,French II,FREN2,1.00
Dallas Center Elementary,German I,German I,GERM1,1.00
Dallas Center Elementary,German II,German II,GERM2,1.00
Dallas Center Elementary,Art I,Art I,ART1,1.00
Dallas Center Elementary,Art II,Art II,ART2,1.00
Dallas Center Elementary,Drawing,Drawing,DRAW,1.00
Dallas Center Elementary,Painting,Painting,PAINT,1.00
Dallas Center Elementary,Sculpture,Sculpture,SCULPT,1.00
Dallas Center Elementary,Digital Art,Digital Art,DIGART,1.00
Dallas Center Elementary,Band,Band,BAND,1.00
Dallas Center Elementary,Choir,Choir,CHOIR,1.00
Dallas Center Elementary,Orchestra,Orchestra,ORCH,1.00
Dallas Center Elementary,Jazz Band,Jazz Band,JAZZ,1.00
Dallas Center Elementary,Music Theory,Music Theory,MUSTH,1.00
Dallas Center Elementary,PE 9,PE 9,PE9,1.00
Dallas Center Elementary,PE 10,PE 10,PE10,1.00
Dallas Center Elementary,Weight Training,Weight Training,WEIGHTS,1.00
Dallas Center Elementary,Lifetime Fitness,Lifetime Fitness,FIT,1.00
Dallas Center Elementary,Health,Health,HEALTH,1.00
Dallas Center Elementary,Nutrition & Wellness,Nutrition & Wellness,NUTR,1.00
Dallas Center Elementary,Business Essentials,Business Essentials,BUS,1.00
Dallas Center Elementary,Accounting,Accounting,ACCT,1.00
Dallas Center Elementary,Marketing,Marketing,MKTG,1.00
Dallas Center Elementary,Entrepreneurship,Entrepreneurship,ENTR,1.00
Dallas Center Elementary,Computer Applications,Computer Applications,COMPAPP,1.00
Dallas Center Elementary,Engineering/PLTW,Engineering/PLTW,ENGR,1.00
Dallas Center Elementary,Robotics,Robotics,ROBOT,1.00
Dallas Center Elementary,Culinary Arts,Culinary Arts,CUL,1.00
Dallas Center Elementary,Construction Trades,Construction Trades,CONST,1.00
Dallas Center Elementary,Automotive Technology,Automotive Technology,AUTO,1.00
Dallas Center Elementary,Intro to Computer Science,Intro to Computer Science,ICS,1.00
Dallas Center Elementary,AP Computer Science Principles,AP Computer Science Principles,APCSP,1.00
Dallas Center Elementary,AP Computer Science A,AP Computer Science A,APCSA,1.00
Dallas Center Elementary,Web Development,Web Development,WEBDEV,1.00
Dallas Center Elementary,Cybersecurity,Cybersecurity,CYBER,1.00
Dallas Center Elementary,Data Science,Data Science,DATASCI,1.00
Dallas Center Elementary,Resource English,Resource English,R-ELA,1.00
Dallas Center Elementary,Resource Math,Resource Math,R-MATH,1.00
Dallas Center Elementary,Study Skills,Study Skills,STUDY,1.00
Dallas Center Elementary,ELL Beginner,ELL Beginner,ELL1,1.00
Dallas Center Elementary,ELL Intermediate,ELL Intermediate,ELL2,1.00
Dallas Center Elementary,ELL Advanced,ELL Advanced,ELL3,1.00
Dallas Center Elementary,Child Development,Child Development,CHILD,1.00
Dallas Center Elementary,Foods & Nutrition,Foods & Nutrition,FOODS,1.00
Dallas Center Elementary,Family & Consumer Science,Family & Consumer Science,FCS,1.00
Dallas Center Elementary,Agricultural Science,Agricultural Science,AGSCI,1.00
Dallas Center Elementary,Animal Science,Animal Science,ANSCI,1.00
Dallas Center Elementary,Plant Science,Plant Science,PLANT,1.00
Dallas Center Elementary,General Studies,General Studies,GEN,1.00
Dallas Center-Grimes High School,English 9,English 9,ELA9,1.00
Dallas Center-Grimes High School,English 10,English 10,ELA10,1.00
Dallas Center-Grimes High School,English 11,English 11,ELA11,1.00
Dallas Center-Grimes High School,English 12,English 12,ELA12,1.00
Dallas Center-Grimes High School,Literature,Literature,LIT,1.00
Dallas Center-Grimes High School,Writing/Composition,Writing/Composition,COMP,1.00
Dallas Center-Grimes High School,Journalism,Journalism,JOUR,1.00
Dallas Center-Grimes High School,Speech/Communications,Speech/Communications,SPEECH,1.00
Dallas Center-Grimes High School,Reading,Reading,READ,1.00
Dallas Center-Grimes High School,Math 6,Math 6,MATH6,1.00
Dallas Center-Grimes High School,Pre-Algebra,Pre-Algebra,PREALG,1.00
Dallas Center-Grimes High School,Algebra I,Algebra I,ALG1,1.00
Dallas Center-Grimes High School,Geometry,Geometry,GEOM,1.00
Dallas Center-Grimes High School,Algebra II,Algebra II,ALG2,1.00
Dallas Center-Grimes High School,Precalculus,Precalculus,PRECALC,1.00
Dallas Center-Grimes High School,Calculus,Calculus,CALC,1.00
Dallas Center-Grimes High School,Statistics,Statistics,STATS,1.00
Dallas Center-Grimes High School,Earth Science,Earth Science,EARTH,1.00
Dallas Center-Grimes High School,Physical Science,Physical Science,PHYSCI,1.00
Dallas Center-Grimes High School,Biology,Biology,BIO,1.00
Dallas Center-Grimes High School,Chemistry,Chemistry,CHEM,1.00
Dallas Center-Grimes High School,Physics,Physics,PHYS,1.00
Dallas Center-Grimes High School,Environmental Science,Environmental Science,ENVS,1.00
Dallas Center-Grimes High School,Anatomy & Physiology,Anatomy & Physiology,ANAT,1.00
Dallas Center-Grimes High School,World History,World History,WHIST,1.00
Dallas Center-Grimes High School,U.S. History,U.S. History,USHIST,1.00
Dallas Center-Grimes High School,Government/Civics,Government/Civics,GOV,1.00
Dallas Center-Grimes High School,Economics,Economics,ECON,1.00
Dallas Center-Grimes High School,Geography,Geography,GEOG,1.00
Dallas Center-Grimes High School,Psychology,Psychology,PSYCH,1.00
Dallas Center-Grimes High School,Sociology,Sociology,SOC,1.00
Dallas Center-Grimes High School,Spanish I,Spanish I,SPAN1,1.00
Dallas Center-Grimes High School,Spanish II,Spanish II,SPAN2,1.00
Dallas Center-Grimes High School,French I,French I,FREN1,1.00
Dallas Center-Grimes High School,French II,French II,FREN2,1.00
Dallas Center-Grimes High School,German I,German I,GERM1,1.00
Dallas Center-Grimes High School,German II,German II,GERM2,1.00
Dallas Center-Grimes High School,Art I,Art I,ART1,1.00
Dallas Center-Grimes High School,Art II,Art II,ART2,1.00
Dallas Center-Grimes High School,Drawing,Drawing,DRAW,1.00
Dallas Center-Grimes High School,Painting,Painting,PAINT,1.00
Dallas Center-Grimes High School,Sculpture,Sculpture,SCULPT,1.00
Dallas Center-Grimes High School,Digital Art,Digital Art,DIGART,1.00
Dallas Center-Grimes High School,Band,Band,BAND,1.00
Dallas Center-Grimes High School,Choir,Choir,CHOIR,1.00
Dallas Center-Grimes High School,Orchestra,Orchestra,ORCH,1.00
Dallas Center-Grimes High School,Jazz Band,Jazz Band,JAZZ,1.00
Dallas Center-Grimes High School,Music Theory,Music Theory,MUSTH,1.00
Dallas Center-Grimes High School,PE 9,PE 9,PE9,1.00
Dallas Center-Grimes High School,PE 10,PE 10,PE10,1.00
Dallas Center-Grimes High School,Weight Training,Weight Training,WEIGHTS,1.00
Dallas Center-Grimes High School,Lifetime Fitness,Lifetime Fitness,FIT,1.00
Dallas Center-Grimes High School,Health,Health,HEALTH,1.00
Dallas Center-Grimes High School,Nutrition & Wellness,Nutrition & Wellness,NUTR,1.00
Dallas Center-Grimes High School,Business Essentials,Business Essentials,BUS,1.00
Dallas Center-Grimes High School,Accounting,Accounting,ACCT,1.00
Dallas Center-Grimes High School,Marketing,Marketing,MKTG,1.00
Dallas Center-Grimes High School,Entrepreneurship,Entrepreneurship,ENTR,1.00
Dallas Center-Grimes High School,Computer Applications,Computer Applications,COMPAPP,1.00
Dallas Center-Grimes High School,Engineering/PLTW,Engineering/PLTW,ENGR,1.00
Dallas Center-Grimes High School,Robotics,Robotics,ROBOT,1.00
Dallas Center-Grimes High School,Culinary Arts,Culinary Arts,CUL,1.00
Dallas Center-Grimes High School,Construction Trades,Construction Trades,CONST,1.00
Dallas Center-Grimes High School,Automotive Technology,Automotive Technology,AUTO,1.00
Dallas Center-Grimes High School,Intro to Computer Science,Intro to Computer Science,ICS,1.00
Dallas Center-Grimes High School,AP Computer Science Principles,AP Computer Science Principles,APCSP,1.00
Dallas Center-Grimes High School,AP Computer Science A,AP Computer Science A,APCSA,1.00
Dallas Center-Grimes High School,Web Development,Web Development,WEBDEV,1.00
Dallas Center-Grimes High School,Cybersecurity,Cybersecurity,CYBER,1.00
Dallas Center-Grimes High School,Data Science,Data Science,DATASCI,1.00
Dallas Center-Grimes High School,Resource English,Resource English,R-ELA,1.00
Dallas Center-Grimes High School,Resource Math,Resource Math,R-MATH,1.00
Dallas Center-Grimes High School,Study Skills,Study Skills,STUDY,1.00
Dallas Center-Grimes High School,ELL Beginner,ELL Beginner,ELL1,1.00
Dallas Center-Grimes High School,ELL Intermediate,ELL Intermediate,ELL2,1.00
Dallas Center-Grimes High School,ELL Advanced,ELL Advanced,ELL3,1.00
Dallas Center-Grimes High School,Child Development,Child Development,CHILD,1.00
Dallas Center-Grimes High School,Foods & Nutrition,Foods & Nutrition,FOODS,1.00
Dallas Center-Grimes High School,Family & Consumer Science,Family & Consumer Science,FCS,1.00
Dallas Center-Grimes High School,Agricultural Science,Agricultural Science,AGSCI,1.00
Dallas Center-Grimes High School,Animal Science,Animal Science,ANSCI,1.00
Dallas Center-Grimes High School,Plant Science,Plant Science,PLANT,1.00
Dallas Center-Grimes High School,General Studies,General Studies,GEN,1.00
Dallas Center-Grimes Middle School,English 9,English 9,ELA9,1.00
Dallas Center-Grimes Middle School,English 10,English 10,ELA10,1.00
Dallas Center-Grimes Middle School,English 11,English 11,ELA11,1.00
Dallas Center-Grimes Middle School,English 12,English 12,ELA12,1.00
Dallas Center-Grimes Middle School,Literature,Literature,LIT,1.00
Dallas Center-Grimes Middle School,Writing/Composition,Writing/Composition,COMP,1.00
Dallas Center-Grimes Middle School,Journalism,Journalism,JOUR,1.00
Dallas Center-Grimes Middle School,Speech/Communications,Speech/Communications,SPEECH,1.00
Dallas Center-Grimes Middle School,Reading,Reading,READ,1.00
Dallas Center-Grimes Middle School,Math 6,Math 6,MATH6,1.00
Dallas Center-Grimes Middle School,Pre-Algebra,Pre-Algebra,PREALG,1.00
Dallas Center-Grimes Middle School,Algebra I,Algebra I,ALG1,1.00
Dallas Center-Grimes Middle School,Geometry,Geometry,GEOM,1.00
Dallas Center-Grimes Middle School,Algebra II,Algebra II,ALG2,1.00
Dallas Center-Grimes Middle School,Precalculus,Precalculus,PRECALC,1.00
Dallas Center-Grimes Middle School,Calculus,Calculus,CALC,1.00
Dallas Center-Grimes Middle School,Statistics,Statistics,STATS,1.00
Dallas Center-Grimes Middle School,Earth Science,Earth Science,EARTH,1.00
Dallas Center-Grimes Middle School,Physical Science,Physical Science,PHYSCI,1.00
Dallas Center-Grimes Middle School,Biology,Biology,BIO,1.00
Dallas Center-Grimes Middle School,Chemistry,Chemistry,CHEM,1.00
Dallas Center-Grimes Middle School,Physics,Physics,PHYS,1.00
Dallas Center-Grimes Middle School,Environmental Science,Environmental Science,ENVS,1.00
Dallas Center-Grimes Middle School,Anatomy & Physiology,Anatomy & Physiology,ANAT,1.00
Dallas Center-Grimes Middle School,World History,World History,WHIST,1.00
Dallas Center-Grimes Middle School,U.S. History,U.S. History,USHIST,1.00
Dallas Center-Grimes Middle School,Government/Civics,Government/Civics,GOV,1.00
Dallas Center-Grimes Middle School,Economics,Economics,ECON,1.00
Dallas Center-Grimes Middle School,Geography,Geography,GEOG,1.00
Dallas Center-Grimes Middle School,Psychology,Psychology,PSYCH,1.00
Dallas Center-Grimes Middle School,Sociology,Sociology,SOC,1.00
Dallas Center-Grimes Middle School,Spanish I,Spanish I,SPAN1,1.00
Dallas Center-Grimes Middle School,Spanish II,Spanish II,SPAN2,1.00
Dallas Center-Grimes Middle School,French I,French I,FREN1,1.00
Dallas Center-Grimes Middle School,French II,French II,FREN2,1.00
Dallas Center-Grimes Middle School,German I,German I,GERM1,1.00
Dallas Center-Grimes Middle School,German II,German II,GERM2,1.00
Dallas Center-Grimes Middle School,Art I,Art I,ART1,1.00
Dallas Center-Grimes Middle School,Art II,Art II,ART2,1.00
Dallas Center-Grimes Middle School,Drawing,Drawing,DRAW,1.00
Dallas Center-Grimes Middle School,Painting,Painting,PAINT,1.00
Dallas Center-Grimes Middle School,Sculpture,Sculpture,SCULPT,1.00
Dallas Center-Grimes Middle School,Digital Art,Digital Art,DIGART,1.00
Dallas Center-Grimes Middle School,Band,Band,BAND,1.00
Dallas Center-Grimes Middle School,Choir,Choir,CHOIR,1.00
Dallas Center-Grimes Middle School,Orchestra,Orchestra,ORCH,1.00
Dallas Center-Grimes Middle School,Jazz Band,Jazz Band,JAZZ,1.00
Dallas Center-Grimes Middle School,Music Theory,Music Theory,MUSTH,1.00
Dallas Center-Grimes Middle School,PE 9,PE 9,PE9,1.00
Dallas Center-Grimes Middle School,PE 10,PE 10,PE10,1.00
Dallas Center-Grimes Middle School,Weight Training,Weight Training,WEIGHTS,1.00
Dallas Center-Grimes Middle School,Lifetime Fitness,Lifetime Fitness,FIT,1.00
Dallas Center-Grimes Middle School,Health,Health,HEALTH,1.00
Dallas Center-Grimes Middle School,Nutrition & Wellness,Nutrition & Wellness,NUTR,1.00
Dallas Center-Grimes Middle School,Business Essentials,Business Essentials,BUS,1.00
Dallas Center-Grimes Middle School,Accounting,Accounting,ACCT,1.00
Dallas Center-Grimes Middle School,Marketing,Marketing,MKTG,1.00
Dallas Center-Grimes Middle School,Entrepreneurship,Entrepreneurship,ENTR,1.00
Dallas Center-Grimes Middle School,Computer Applications,Computer Applications,COMPAPP,1.00
Dallas Center-Grimes Middle School,Engineering/PLTW,Engineering/PLTW,ENGR,1.00
Dallas Center-Grimes Middle School,Robotics,Robotics,ROBOT,1.00
Dallas Center-Grimes Middle School,Culinary Arts,Culinary Arts,CUL,1.00
Dallas Center-Grimes Middle School,Construction Trades,Construction Trades,CONST,1.00
Dallas Center-Grimes Middle School,Automotive Technology,Automotive Technology,AUTO,1.00
Dallas Center-Grimes Middle School,Intro to Computer Science,Intro to Computer Science,ICS,1.00
Dallas Center-Grimes Middle School,AP Computer Science Principles,AP Computer Science Principles,APCSP,1.00
Dallas Center-Grimes Middle School,AP Computer Science A,AP Computer Science A,APCSA,1.00
Dallas Center-Grimes Middle School,Web Development,Web Development,WEBDEV,1.00
Dallas Center-Grimes Middle School,Cybersecurity,Cybersecurity,CYBER,1.00
Dallas Center-Grimes Middle School,Data Science,Data Science,DATASCI,1.00
Dallas Center-Grimes Middle School,Resource English,Resource English,R-ELA,1.00
Dallas Center-Grimes Middle School,Resource Math,Resource Math,R-MATH,1.00
Dallas Center-Grimes Middle School,Study Skills,Study Skills,STUDY,1.00
Dallas Center-Grimes Middle School,ELL Beginner,ELL Beginner,ELL1,1.00
Dallas Center-Grimes Middle School,ELL Intermediate,ELL Intermediate,ELL2,1.00
Dallas Center-Grimes Middle School,ELL Advanced,ELL Advanced,ELL3,1.00
Dallas Center-Grimes Middle School,Child Development,Child Development,CHILD,1.00
Dallas Center-Grimes Middle School,Foods & Nutrition,Foods & Nutrition,FOODS,1.00
Dallas Center-Grimes Middle School,Family & Consumer Science,Family & Consumer Science,FCS,1.00
Dallas Center-Grimes Middle School,Agricultural Science,Agricultural Science,AGSCI,1.00
Dallas Center-Grimes Middle School,Animal Science,Animal Science,ANSCI,1.00
Dallas Center-Grimes Middle School,Plant Science,Plant Science,PLANT,1.00
Dallas Center-Grimes Middle School,General Studies,General Studies,GEN,1.00
DC-G Oak View,English 9,English 9,ELA9,1.00
DC-G Oak View,English 10,English 10,ELA10,1.00
DC-G Oak View,English 11,English 11,ELA11,1.00
DC-G Oak View,English 12,English 12,ELA12,1.00
DC-G Oak View,Literature,Literature,LIT,1.00
DC-G Oak View,Writing/Composition,Writing/Composition,COMP,1.00
DC-G Oak View,Journalism,Journalism,JOUR,1.00
DC-G Oak View,Speech/Communications,Speech/Communications,SPEECH,1.00
DC-G Oak View,Reading,Reading,READ,1.00
DC-G Oak View,Math 6,Math 6,MATH6,1.00
DC-G Oak View,Pre-Algebra,Pre-Algebra,PREALG,1.00
DC-G Oak View,Algebra I,Algebra I,ALG1,1.00
DC-G Oak View,Geometry,Geometry,GEOM,1.00
DC-G Oak View,Algebra II,Algebra II,ALG2,1.00
DC-G Oak View,Precalculus,Precalculus,PRECALC,1.00
DC-G Oak View,Calculus,Calculus,CALC,1.00
DC-G Oak View,Statistics,Statistics,STATS,1.00
DC-G Oak View,Earth Science,Earth Science,EARTH,1.00
DC-G Oak View,Physical Science,Physical Science,PHYSCI,1.00
DC-G Oak View,Biology,Biology,BIO,1.00
DC-G Oak View,Chemistry,Chemistry,CHEM,1.00
DC-G Oak View,Physics,Physics,PHYS,1.00
DC-G Oak View,Environmental Science,Environmental Science,ENVS,1.00
DC-G Oak View,Anatomy & Physiology,Anatomy & Physiology,ANAT,1.00
DC-G Oak View,World History,World History,WHIST,1.00
DC-G Oak View,U.S. History,U.S. History,USHIST,1.00
DC-G Oak View,Government/Civics,Government/Civics,GOV,1.00
DC-G Oak View,Economics,Economics,ECON,1.00
DC-G Oak View,Geography,Geography,GEOG,1.00
DC-G Oak View,Psychology,Psychology,PSYCH,1.00
DC-G Oak View,Sociology,Sociology,SOC,1.00
DC-G Oak View,Spanish I,Spanish I,SPAN1,1.00
DC-G Oak View,Spanish II,Spanish II,SPAN2,1.00
DC-G Oak View,French I,French I,FREN1,1.00
DC-G Oak View,French II,French II,FREN2,1.00
DC-G Oak View,German I,German I,GERM1,1.00
DC-G Oak View,German II,German II,GERM2,1.00
DC-G Oak View,Art I,Art I,ART1,1.00
DC-G Oak View,Art II,Art II,ART2,1.00
DC-G Oak View,Drawing,Drawing,DRAW,1.00
DC-G Oak View,Painting,Painting,PAINT,1.00
DC-G Oak View,Sculpture,Sculpture,SCULPT,1.00
DC-G Oak View,Digital Art,Digital Art,DIGART,1.00
DC-G Oak View,Band,Band,BAND,1.00
DC-G Oak View,Choir,Choir,CHOIR,1.00
DC-G Oak View,Orchestra,Orchestra,ORCH,1.00
DC-G Oak View,Jazz Band,Jazz Band,JAZZ,1.00
DC-G Oak View,Music Theory,Music Theory,MUSTH,1.00
DC-G Oak View,PE 9,PE 9,PE9,1.00
DC-G Oak View,PE 10,PE 10,PE10,1.00
DC-G Oak View,Weight Training,Weight Training,WEIGHTS,1.00
DC-G Oak View,Lifetime Fitness,Lifetime Fitness,FIT,1.00
DC-G Oak View,Health,Health,HEALTH,1.00
DC-G Oak View,Nutrition & Wellness,Nutrition & Wellness,NUTR,1.00
DC-G Oak View,Business Essentials,Business Essentials,BUS,1.00
DC-G Oak View,Accounting,Accounting,ACCT,1.00
DC-G Oak View,Marketing,Marketing,MKTG,1.00
DC-G Oak View,Entrepreneurship,Entrepreneurship,ENTR,1.00
DC-G Oak View,Computer Applications,Computer Applications,COMPAPP,1.00
DC-G Oak View,Engineering/PLTW,Engineering/PLTW,ENGR,1.00
DC-G Oak View,Robotics,Robotics,ROBOT,1.00
DC-G Oak View,Culinary Arts,Culinary Arts,CUL,1.00
DC-G Oak View,Construction Trades,Construction Trades,CONST,1.00
DC-G Oak View,Automotive Technology,Automotive Technology,AUTO,1.00
DC-G Oak View,Intro to Computer Science,Intro to Computer Science,ICS,1.00
DC-G Oak View,AP Computer Science Principles,AP Computer Science Principles,APCSP,1.00
DC-G Oak View,AP Computer Science A,AP Computer Science A,APCSA,1.00
DC-G Oak View,Web Development,Web Development,WEBDEV,1.00
DC-G Oak View,Cybersecurity,Cybersecurity,CYBER,1.00
DC-G Oak View,Data Science,Data Science,DATASCI,1.00
DC-G Oak View,Resource English,Resource English,R-ELA,1.00
DC-G Oak View,Resource Math,Resource Math,R-MATH,1.00
DC-G Oak View,Study Skills,Study Skills,STUDY,1.00
DC-G Oak View,ELL Beginner,ELL Beginner,ELL1,1.00
DC-G Oak View,ELL Intermediate,ELL Intermediate,ELL2,1.00
DC-G Oak View,ELL Advanced,ELL Advanced,ELL3,1.00
DC-G Oak View,Child Development,Child Development,CHILD,1.00
DC-G Oak View,Foods & Nutrition,Foods & Nutrition,FOODS,1.00
DC-G Oak View,Family & Consumer Science,Family & Consumer Science,FCS,1.00
DC-G Oak View,Agricultural Science,Agricultural Science,AGSCI,1.00
DC-G Oak View,Animal Science,Animal Science,ANSCI,1.00
DC-G Oak View,Plant Science,Plant Science,PLANT,1.00
DC-G Oak View,General Studies,General Studies,GEN,1.00
Heritage Elementary,English 9,English 9,ELA9,1.00
Heritage Elementary,English 10,English 10,ELA10,1.00
Heritage Elementary,English 11,English 11,ELA11,1.00
Heritage Elementary,English 12,English 12,ELA12,1.00
Heritage Elementary,Literature,Literature,LIT,1.00
Heritage Elementary,Writing/Composition,Writing/Composition,COMP,1.00
Heritage Elementary,Journalism,Journalism,JOUR,1.00
Heritage Elementary,Speech/Communications,Speech/Communications,SPEECH,1.00
Heritage Elementary,Reading,Reading,READ,1.00
Heritage Elementary,Math 6,Math 6,MATH6,1.00
Heritage Elementary,Pre-Algebra,Pre-Algebra,PREALG,1.00
Heritage Elementary,Algebra I,Algebra I,ALG1,1.00
Heritage Elementary,Geometry,Geometry,GEOM,1.00
Heritage Elementary,Algebra II,Algebra II,ALG2,1.00
Heritage Elementary,Precalculus,Precalculus,PRECALC,1.00
Heritage Elementary,Calculus,Calculus,CALC,1.00
Heritage Elementary,Statistics,Statistics,STATS,1.00
Heritage Elementary,Earth Science,Earth Science,EARTH,1.00
Heritage Elementary,Physical Science,Physical Science,PHYSCI,1.00
Heritage Elementary,Biology,Biology,BIO,1.00
Heritage Elementary,Chemistry,Chemistry,CHEM,1.00
Heritage Elementary,Physics,Physics,PHYS,1.00
Heritage Elementary,Environmental Science,Environmental Science,ENVS,1.00
Heritage Elementary,Anatomy & Physiology,Anatomy & Physiology,ANAT,1.00
Heritage Elementary,World History,World History,WHIST,1.00
Heritage Elementary,U.S. History,U.S. History,USHIST,1.00
Heritage Elementary,Government/Civics,Government/Civics,GOV,1.00
Heritage Elementary,Economics,Economics,ECON,1.00
Heritage Elementary,Geography,Geography,GEOG,1.00
Heritage Elementary,Psychology,Psychology,PSYCH,1.00
Heritage Elementary,Sociology,Sociology,SOC,1.00
Heritage Elementary,Spanish I,Spanish I,SPAN1,1.00
Heritage Elementary,Spanish II,Spanish II,SPAN2,1.00
Heritage Elementary,French I,French I,FREN1,1.00
Heritage Elementary,French II,French II,FREN2,1.00
Heritage Elementary,German I,German I,GERM1,1.00
Heritage Elementary,German II,German II,GERM2,1.00
Heritage Elementary,Art I,Art I,ART1,1.00
Heritage Elementary,Art II,Art II,ART2,1.00
Heritage Elementary,Drawing,Drawing,DRAW,1.00
Heritage Elementary,Painting,Painting,PAINT,1.00
Heritage Elementary,Sculpture,Sculpture,SCULPT,1.00
Heritage Elementary,Digital Art,Digital Art,DIGART,1.00
Heritage Elementary,Band,Band,BAND,1.00
Heritage Elementary,Choir,Choir,CHOIR,1.00
Heritage Elementary,Orchestra,Orchestra,ORCH,1.00
Heritage Elementary,Jazz Band,Jazz Band,JAZZ,1.00
Heritage Elementary,Music Theory,Music Theory,MUSTH,1.00
Heritage Elementary,PE 9,PE 9,PE9,1.00
Heritage Elementary,PE 10,PE 10,PE10,1.00
Heritage Elementary,Weight Training,Weight Training,WEIGHTS,1.00
Heritage Elementary,Lifetime Fitness,Lifetime Fitness,FIT,1.00
Heritage Elementary,Health,Health,HEALTH,1.00
Heritage Elementary,Nutrition & Wellness,Nutrition & Wellness,NUTR,1.00
Heritage Elementary,Business Essentials,Business Essentials,BUS,1.00
Heritage Elementary,Accounting,Accounting,ACCT,1.00
Heritage Elementary,Marketing,Marketing,MKTG,1.00
Heritage Elementary,Entrepreneurship,Entrepreneurship,ENTR,1.00
Heritage Elementary,Computer Applications,Computer Applications,COMPAPP,1.00
Heritage Elementary,Engineering/PLTW,Engineering/PLTW,ENGR,1.00
Heritage Elementary,Robotics,Robotics,ROBOT,1.00
Heritage Elementary,Culinary Arts,Culinary Arts,CUL,1.00
Heritage Elementary,Construction Trades,Construction Trades,CONST,1.00
Heritage Elementary,Automotive Technology,Automotive Technology,AUTO,1.00
Heritage Elementary,Intro to Computer Science,Intro to Computer Science,ICS,1.00
Heritage Elementary,AP Computer Science Principles,AP Computer Science Principles,APCSP,1.00
Heritage Elementary,AP Computer Science A,AP Computer Science A,APCSA,1.00
Heritage Elementary,Web Development,Web Development,WEBDEV,1.00
Heritage Elementary,Cybersecurity,Cybersecurity,CYBER,1.00
Heritage Elementary,Data Science,Data Science,DATASCI,1.00
Heritage Elementary,Resource English,Resource English,R-ELA,1.00
Heritage Elementary,Resource Math,Resource Math,R-MATH,1.00
Heritage Elementary,Study Skills,Study Skills,STUDY,1.00
Heritage Elementary,ELL Beginner,ELL Beginner,ELL1,1.00
Heritage Elementary,ELL Intermediate,ELL Intermediate,ELL2,1.00
Heritage Elementary,ELL Advanced,ELL Advanced,ELL3,1.00
Heritage Elementary,Child Development,Child Development,CHILD,1.00
Heritage Elementary,Foods & Nutrition,Foods & Nutrition,FOODS,1.00
Heritage Elementary,Family & Consumer Science,Family & Consumer Science,FCS,1.00
Heritage Elementary,Agricultural Science,Agricultural Science,AGSCI,1.00
Heritage Elementary,Animal Science,Animal Science,ANSCI,1.00
Heritage Elementary,Plant Science,Plant Science,PLANT,1.00
Heritage Elementary,General Studies,General Studies,GEN,1.00
North Ridge Elementary,English 9,English 9,ELA9,1.00
North Ridge Elementary,English 10,English 10,ELA10,1.00
North Ridge Elementary,English 11,English 11,ELA11,1.00
North Ridge Elementary,English 12,English 12,ELA12,1.00
North Ridge Elementary,Literature,Literature,LIT,1.00
North Ridge Elementary,Writing/Composition,Writing/Composition,COMP,1.00
North Ridge Elementary,Journalism,Journalism,JOUR,1.00
North Ridge Elementary,Speech/Communications,Speech/Communications,SPEECH,1.00
North Ridge Elementary,Reading,Reading,READ,1.00
North Ridge Elementary,Math 6,Math 6,MATH6,1.00
