route_name,stop_name,arrival_time,departure_time,created_at,updated_at
DCG-02 — Dallas Center South,Stop 7: Valley & Oak Ave,07:15,07:19,2024-11-07T15:39:37Z,2025-02-19T15:39:37Z
DCG-02 — Dallas Center South,Stop 7: Valley & Oak Ave,07:47,07:51,2025-02-08T15:39:37Z,2025-03-15T15:39:37Z
DCG-02 — Dallas Center South,Stop 8: Broad & River Dr,07:35,07:38,2025-03-19T15:39:37Z,2025-05-29T15:39:37Z
DCG-02 — Dallas Center South,Stop 8: Broad & River Dr,07:55,07:56,2025-07-19T15:39:37Z,2025-08-04T15:39:37Z
DCG-02 — Dallas Center South,Stop 9: Pine & Main St,07:39,07:43,2025-08-01T15:39:37Z,2025-10-05T15:39:37Z
DCG-02 — Dallas Center South,Stop 10: Pine & Maple Way,07:22,07:24,2025-03-26T15:39:37Z,2025-04-05T15:39:37Z
DCG-02 — Dallas Center South,Stop 11: Valley & Oak Dr,07:45,07:49,2025-07-09T15:39:37Z,2025-07-09T15:39:37Z
DCG-02 — Dallas Center South,Stop 12: Cedar & Valley St,08:03,08:04,2024-12-03T15:39:37Z,2025-01-25T15:39:37Z
DCG-02 — Dallas Center South,Stop 13: Valley & Broad Rd,07:54,07:55,2025-05-19T15:39:37Z,2025-06-24T15:39:37Z
DCG-02 — Dallas Center South,Stop 14: Elm & River Pl,07:58,08:01,2024-11-18T15:39:37Z,2025-03-11T15:39:37Z
DCG-02 — Dallas Center South,Stop 15: Spruce & Cedar Ct,08:02,08:04,2024-11-07T15:39:37Z,2024-12-04T15:39:37Z
DCG-02 — Dallas Center South,Stop 16: Ridge & River Way,07:49,07:52,2024-09-08T15:39:37Z,2024-10-16T15:39:37Z
DCG-02 — Dallas Center South,Stop 17: Valley & Birch Ln,08:10,08:12,2024-11-16T15:39:37Z,2025-01-05T15:39:37Z
DCG-02 — Dallas Center South,Stop 17: Valley & Birch Ln,08:32,08:34,2025-02-13T15:39:37Z,2025-04-08T15:39:37Z
DCG-02 — Dallas Center South,Stop 18: Valley & Cedar Ave,08:15,08:19,2025-04-05T15:39:37Z,2025-07-17T15:39:37Z
DCG-02 — Dallas Center South,Stop 18: Valley & Cedar Ave,08:37,08:41,2025-06-02T15:39:37Z,2025-08-23T15:39:37Z
DCG-03 — Grimes Northwest,Stop 1: Ash & Oak Blvd,08:01,08:03,2025-03-27T15:39:37Z,2025-07-24T15:39:37Z
DCG-03 — Grimes Northwest,Stop 1: Ash & Oak Blvd,08:52,08:56,2025-04-02T15:39:37Z,2025-05-17T15:39:37Z
DCG-03 — Grimes Northwest,Stop 2: Willow & Park Blvd,08:04,08:06,2024-09-06T15:39:37Z,2024-09-27T15:39:37Z
DCG-03 — Grimes Northwest,Stop 2: Willow & Park Blvd,08:56,08:58,2025-05-18T15:39:37Z,2025-07-29T15:39:37Z
DCG-03 — Grimes Northwest,Stop 3: Valley & Birch Ct,08:04,08:05,2025-05-25T15:39:37Z,2025-07-23T15:39:37Z
DCG-03 — Grimes Northwest,Stop 4: Oak & River Rd,08:20,08:24,2025-05-29T15:39:37Z,2025-09-01T15:39:37Z
DCG-03 — Grimes Northwest,Stop 5: Broad & Ash St,08:26,08:27,2024-11-10T15:39:37Z,2024-12-22T15:39:37Z
DCG-03 — Grimes Northwest,Stop 5: Broad & Ash St,09:10,09:13,2024-11-06T15:39:37Z,2024-11-09T15:39:37Z
DCG-03 — Grimes Northwest,Stop 6: Willow & Birch Way,08:23,08:25,2024-09-02T15:39:37Z,2024-09-03T15:39:37Z
DCG-03 — Grimes Northwest,Stop 6: Willow & Birch Way,09:15,09:18,2024-10-03T15:39:37Z,2024-12-03T15:39:37Z
DCG-03 — Grimes Northwest,Stop 7: Valley & Meadow Ln,08:29,08:30,2024-09-07T15:39:37Z,2024-12-11T15:39:37Z
DCG-03 — Grimes Northwest,Stop 7: Valley & Meadow Ln,08:57,09:00,2025-01-13T15:39:37Z,2025-04-20T15:39:37Z
DCG-03 — Grimes Northwest,Stop 8: Main & Birch Way,08:38,08:42,2025-06-02T15:39:37Z,2025-06-11T15:39:37Z
DCG-03 — Grimes Northwest,Stop 8: Main & Birch Way,09:03,09:07,2024-09-24T15:39:37Z,2024-11-04T15:39:37Z
DCG-03 — Grimes Northwest,Stop 9: Hickory & Pine Ct,08:45,08:49,2024-10-17T15:39:37Z,2024-11-03T15:39:37Z
DCG-03 — Grimes Northwest,Stop 10: Spruce & Broad Way,08:21,08:22,2025-06-08T15:39:37Z,2025-09-09T15:39:37Z
DCG-03 — Grimes Northwest,Stop 11: Valley & River Dr,08:43,08:47,2024-11-16T15:39:37Z,2025-01-12T15:39:37Z
DCG-03 — Grimes Northwest,Stop 11: Valley & River Dr,09:19,09:21,2024-12-27T15:39:37Z,2025-04-13T15:39:37Z
DCG-03 — Grimes Northwest,Stop 12: Maple & Main Ln,09:00,09:02,2025-07-19T15:39:37Z,2025-09-15T15:39:37Z
DCG-03 — Grimes Northwest,Stop 13: Pine & Cedar Rd,09:03,09:06,2025-02-17T15:39:37Z,2025-03-31T15:39:37Z
DCG-04 — Grimes Northeast,Stop 1: Broad & Valley Ln,06:47,06:49,2024-09-29T15:39:37Z,2024-11-13T15:39:37Z
DCG-04 — Grimes Northeast,Stop 2: Hickory & Cedar Ave,06:53,06:55,2025-01-24T15:39:37Z,2025-04-22T15:39:37Z
DCG-04 — Grimes Northeast,Stop 3: Valley & Willow Dr,06:49,06:53,2024-12-07T15:39:37Z,2025-01-05T15:39:37Z
DCG-04 — Grimes Northeast,Stop 3: Valley & Willow Dr,07:46,07:47,2024-10-21T15:39:37Z,2024-11-26T15:39:37Z
DCG-04 — Grimes Northeast,Stop 4: Ash & Meadow Rd,06:56,06:58,2025-03-24T15:39:37Z,2025-03-26T15:39:37Z
DCG-04 — Grimes Northeast,Stop 4: Ash & Meadow Rd,07:28,07:29,2025-06-30T15:39:37Z,2025-07-12T15:39:37Z
DCG-04 — Grimes Northeast,Stop 5: Lakeview & Ash Ln,07:06,07:10,2025-05-07T15:39:37Z,2025-05-27T15:39:37Z
DCG-04 — Grimes Northeast,Stop 5: Lakeview & Ash Ln,08:02,08:03,2025-03-19T15:39:37Z,2025-05-26T15:39:37Z
DCG-04 — Grimes Northeast,Stop 6: Spruce & Ridge St,07:13,07:17,2025-06-23T15:39:37Z,2025-09-12T15:39:37Z
DCG-04 — Grimes Northeast,Stop 7: Oak & Lakeview Blvd,07:12,07:13,2024-12-08T15:39:37Z,2025-01-02T15:39:37Z
DCG-04 — Grimes Northeast,Stop 7: Oak & Lakeview Blvd,07:37,07:40,2025-06-22T15:39:37Z,2025-07-09T15:39:37Z
DCG-04 — Grimes Northeast,Stop 8: Oak & Lakeview Pl,06:58,06:59,2025-08-18T15:39:37Z,2025-09-17T15:39:37Z
DCG-04 — Grimes Northeast,Stop 8: Oak & Lakeview Pl,07:48,07:49,2025-07-20T15:39:37Z,2025-10-12T15:39:37Z
DCG-04 — Grimes Northeast,Stop 9: Spruce & Willow Dr,07:11,07:14,2024-12-01T15:39:37Z,2025-01-28T15:39:37Z
DCG-04 — Grimes Northeast,Stop 9: Spruce & Willow Dr,08:02,08:03,2025-05-22T15:39:37Z,2025-09-08T15:39:37Z
DCG-04 — Grimes Northeast,Stop 10: Hickory & Valley Pl,07:14,07:16,2025-01-14T15:39:37Z,2025-04-26T15:39:37Z
DCG-04 — Grimes Northeast,Stop 11: Spruce & River Ct,07:04,07:06,2025-07-06T15:39:37Z,2025-07-23T15:39:37Z
DCG-04 — Grimes Northeast,Stop 12: Main & River Blvd,07:20,07:24,2025-08-17T15:39:37Z,2025-10-20T15:39:37Z
DCG-04 — Grimes Northeast,Stop 12: Main & River Blvd,08:10,08:12,2025-01-31T15:39:37Z,2025-03-01T15:39:37Z
DCG-04 — Grimes Northeast,Stop 13: Ash & Park Blvd,07:21,07:23,2024-11-02T15:39:37Z,2025-01-28T15:39:37Z
DCG-05 — Grimes Southwest,Stop 1: Maple & Spruce Dr,06:49,06:50,2024-10-07T15:39:37Z,2025-02-01T15:39:37Z
DCG-05 — Grimes Southwest,Stop 1: Maple & Spruce Dr,07:23,07:24,2025-08-09T15:39:37Z,2025-11-21T15:39:37Z
DCG-05 — Grimes Southwest,Stop 2: Highland & Pine Ave,06:55,06:56,2025-02-23T15:39:37Z,2025-06-16T15:39:37Z
DCG-05 — Grimes Southwest,Stop 2: Highland & Pine Ave,07:20,07:23,2024-11-10T15:39:37Z,2025-01-13T15:39:37Z
DCG-05 — Grimes Southwest,Stop 3: Willow & Meadow Blvd,06:51,06:52,2025-01-13T15:39:37Z,2025-01-19T15:39:37Z
DCG-05 — Grimes Southwest,Stop 4: Ridge & Main Ct,07:07,07:08,2024-12-07T15:39:37Z,2025-01-20T15:39:37Z
DCG-05 — Grimes Southwest,Stop 5: Lakeview & Birch Pl,07:00,07:02,2025-05-23T15:39:37Z,2025-07-15T15:39:37Z
DCG-05 — Grimes Southwest,Stop 6: Hickory & River Ave,07:00,07:03,2024-10-17T15:39:37Z,2024-12-10T15:39:37Z
DCG-05 — Grimes Southwest,Stop 6: Hickory & River Ave,07:28,07:31,2024-09-28T15:39:37Z,2024-10-26T15:39:37Z
DCG-05 — Grimes Southwest,Stop 7: Spruce & Pine St,07:16,07:18,2025-06-25T15:39:37Z,2025-09-07T15:39:37Z
DCG-05 — Grimes Southwest,Stop 8: Birch & Park Dr,07:02,07:05,2025-04-04T15:39:37Z,2025-05-30T15:39:37Z
DCG-05 — Grimes Southwest,Stop 8: Birch & Park Dr,07:48,07:51,2025-07-01T15:39:37Z,2025-09-05T15:39:37Z
DCG-05 — Grimes Southwest,Stop 9: River & Sunset Ave,07:33,07:36,2025-03-12T15:39:37Z,2025-04-08T15:39:37Z
DCG-05 — Grimes Southwest,Stop 10: Birch & Ridge Way,07:25,07:27,2025-04-15T15:39:37Z,2025-07-27T15:39:37Z
DCG-05 — Grimes Southwest,Stop 10: Birch & Ridge Way,08:20,08:24,2025-01-18T15:39:37Z,2025-03-30T15:39:37Z
DCG-05 — Grimes Southwest,Stop 11: Lakeview & Cedar Ave,07:29,07:31,2025-04-13T15:39:37Z,2025-07-01T15:39:37Z
DCG-05 — Grimes Southwest,Stop 11: Lakeview & Cedar Ave,08:09,08:13,2025-07-25T15:39:37Z,2025-10-23T15:39:37Z
DCG-05 — Grimes Southwest,Stop 12: Broad & Meadow St,07:35,07:37,2025-07-12T15:39:37Z,2025-08-04T15:39:37Z
DCG-05 — Grimes Southwest,Stop 13: Main & Meadow Way,07:24,07:25,2024-11-01T15:39:37Z,2024-11-23T15:39:37Z
DCG-05 — Grimes Southwest,Stop 14: Lakeview & River Dr,07:30,07:31,2025-08-13T15:39:37Z,2025-09-10T15:39:37Z
DCG-06 — Grimes Southeast,Stop 1: Lakeview & Park Ave,07:18,07:22,2025-06-07T15:39:37Z,2025-08-30T15:39:37Z
DCG-06 — Grimes Southeast,Stop 2: Ash & Cedar Way,07:26,07:29,2025-04-27T15:39:37Z,2025-08-15T15:39:37Z
DCG-06 — Grimes Southeast,Stop 3: Cedar & Birch Dr,07:23,07:25,2025-08-29T15:39:37Z,2025-09-07T15:39:37Z
DCG-06 — Grimes Southeast,Stop 3: Cedar & Birch Dr,08:13,08:14,2025-03-27T15:39:37Z,2025-06-24T15:39:37Z
DCG-06 — Grimes Southeast,Stop 4: River & Broad Dr,07:21,07:23,2025-01-26T15:39:37Z,2025-04-23T15:39:37Z
DCG-06 — Grimes Southeast,Stop 4: River & Broad Dr,08:16,08:19,2025-04-25T15:39:37Z,2025-05-24T15:39:37Z
DCG-06 — Grimes Southeast,Stop 5: Maple & Highland Ct,07:31,07:33,2025-08-03T15:39:37Z,2025-09-26T15:39:37Z
DCG-06 — Grimes Southeast,Stop 6: Meadow & Maple Ave,07:25,07:27,2024-11-08T15:39:37Z,2025-03-01T15:39:37Z
DCG-06 — Grimes Southeast,Stop 7: Oak & Sunset St,07:44,07:45,2024-12-21T15:39:37Z,2025-03-16T15:39:37Z
DCG-06 — Grimes Southeast,Stop 7: Oak & Sunset St,08:42,08:43,2025-02-16T15:39:37Z,2025-04-03T15:39:37Z
DCG-06 — Grimes Southeast,Stop 8: Sunset & Birch Ct,07:54,07:58,2025-04-02T15:39:37Z,2025-07-05T15:39:37Z
DCG-06 — Grimes Southeast,Stop 8: Sunset & Birch Ct,08:25,08:26,2024-12-17T15:39:37Z,2025-02-27T15:39:37Z
DCG-06 — Grimes Southeast,Stop 9: Ridge & Maple Rd,07:59,08:01,2025-04-22T15:39:37Z,2025-08-19T15:39:37Z
DCG-06 — Grimes Southeast,Stop 9: Ridge & Maple Rd,08:53,08:54,2024-09-22T15:39:37Z,2024-10-14T15:39:37Z
DCG-06 — Grimes Southeast,Stop 10: Sunset & Pine Dr,07:36,07:38,2025-02-16T15:39:37Z,2025-04-18T15:39:37Z
DCG-06 — Grimes Southeast,Stop 11: Meadow & River Blvd,08:11,08:15,2025-02-05T15:39:37Z,2025-04-07T15:39:37Z
DCG-06 — Grimes Southeast,Stop 11: Meadow & River Blvd,08:48,08:52,2025-03-25T15:39:37Z,2025-04-20T15:39:37Z
DCG-06 — Grimes Southeast,Stop 12: Broad & Sunset Ave,07:49,07:51,2025-03-11T15:39:37Z,2025-04-12T15:39:37Z
DCG-06 — Grimes Southeast,Stop 13: Willow & Ash Dr,07:40,07:44,2024-10-29T15:39:37Z,2024-12-03T15:39:37Z
DCG-06 — Grimes Southeast,Stop 14: Hickory & Park Way,08:25,08:27,2025-02-12T15:39:37Z,2025-03-28T15:39:37Z
DCG-06 — Grimes Southeast,Stop 15: Oak & River St,07:44,07:47,2025-06-13T15:39:37Z,2025-09-27T15:39:37Z
DCG-06 — Grimes Southeast,Stop 15: Oak & River St,08:26,08:29,2025-08-25T15:39:37Z,2025-10-29T15:39:37Z
DCG-07 — Rural West Loop,Stop 1: Cedar & Willow Ave,07:34,07:37,2025-02-02T15:39:37Z,2025-02-05T15:39:37Z
DCG-07 — Rural West Loop,Stop 1: Cedar & Willow Ave,08:14,08:17,2025-08-11T15:39:37Z,2025-10-17T15:39:37Z
DCG-07 — Rural West Loop,Stop 2: Maple & Hickory Way,07:35,07:36,2025-01-31T15:39:37Z,2025-05-10T15:39:37Z
DCG-07 — Rural West Loop,Stop 3: Willow & River Blvd,07:43,07:46,2025-02-01T15:39:37Z,2025-02-18T15:39:37Z
DCG-07 — Rural West Loop,Stop 3: Willow & River Blvd,08:15,08:19,2025-07-28T15:39:37Z,2025-10-08T15:39:37Z
DCG-07 — Rural West Loop,Stop 4: Valley & Ridge Way,07:51,07:54,2025-07-20T15:39:37Z,2025-08-12T15:39:37Z
DCG-07 — Rural West Loop,Stop 5: Valley & Elm St,07:50,07:54,2025-07-07T15:39:37Z,2025-07-25T15:39:37Z
DCG-07 — Rural West Loop,Stop 6: Cedar & Ridge Dr,07:53,07:54,2024-09-02T15:39:37Z,2024-12-06T15:39:37Z
DCG-07 — Rural West Loop,Stop 6: Cedar & Ridge Dr,08:49,08:53,2025-06-10T15:39:37Z,2025-08-31T15:39:37Z
DCG-07 — Rural West Loop,Stop 7: Main & Ash Rd,07:43,07:46,2025-06-25T15:39:37Z,2025-08-31T15:39:37Z
DCG-07 — Rural West Loop,Stop 7: Main & Ash Rd,08:38,08:40,2024-12-29T15:39:37Z,2025-01-24T15:39:37Z
DCG-07 — Rural West Loop,Stop 8: River & Hickory Pl,08:11,08:13,2024-09-25T15:39:37Z,2024-11-07T15:39:37Z
DCG-07 — Rural West Loop,Stop 8: River & Hickory Pl,09:12,09:15,2025-01-14T15:39:37Z,2025-05-11T15:39:37Z
DCG-07 — Rural West Loop,Stop 9: River & Broad Blvd,08:16,08:17,2025-08-14T15:39:37Z,2025-09-18T15:39:37Z
DCG-08 — Rural East Loop,Stop 1: Ash & Ridge Ln,06:50,06:54,2025-06-14T15:39:37Z,2025-09-16T15:39:37Z
DCG-08 — Rural East Loop,Stop 1: Ash & Ridge Ln,07:23,07:26,2024-11-01T15:39:37Z,2025-01-19T15:39:37Z
DCG-08 — Rural East Loop,Stop 2: Maple & Oak Dr,06:52,06:56,2025-03-10T15:39:37Z,2025-06-04T15:39:37Z
DCG-08 — Rural East Loop,Stop 2: Maple & Oak Dr,07:41,07:44,2025-03-08T15:39:37Z,2025-06-24T15:39:37Z
DCG-08 — Rural East Loop,Stop 3: Spruce & Lakeview Ln,06:59,07:03,2025-03-16T15:39:37Z,2025-05-10T15:39:37Z
DCG-08 — Rural East Loop,Stop 3: Spruce & Lakeview Ln,07:34,07:35,2025-03-18T15:39:37Z,2025-06-28T15:39:37Z
DCG-08 — Rural East Loop,Stop 4: Birch & Main Dr,06:59,07:03,2025-03-09T15:39:37Z,2025-03-15T15:39:37Z
DCG-08 — Rural East Loop,Stop 5: Valley & Lakeview Blvd,07:01,07:03,2025-05-05T15:39:37Z,2025-06-23T15:39:37Z
DCG-08 — Rural East Loop,Stop 5: Valley & Lakeview Blvd,07:53,07:57,2025-03-25T15:39:37Z,2025-06-30T15:39:37Z
DCG-08 — Rural East Loop,Stop 6: Valley & Pine Rd,07:18,07:21,2024-12-28T15:39:37Z,2025-03-14T15:39:37Z
DCG-08 — Rural East Loop,Stop 7: Spruce & Main Ave,07:08,07:11,2024-09-07T15:39:37Z,2024-10-14T15:39:37Z
DCG-08 — Rural East Loop,Stop 8: Willow & Meadow Blvd,07:10,07:13,2025-02-04T15:39:37Z,2025-03-15T15:39:37Z
DCG-08 — Rural East Loop,Stop 9: Meadow & Spruce Blvd,07:06,07:07,2024-10-29T15:39:37Z,2024-12-05T15:39:37Z
DCG-08 — Rural East Loop,Stop 9: Meadow & Spruce Blvd,07:42,07:43,2025-04-14T15:39:37Z,2025-06-25T15:39:37Z
DCG-08 — Rural East Loop,Stop 10: Cedar & Maple Pl,07:38,07:40,2025-06-01T15:39:37Z,2025-08-07T15:39:37Z
DCG-08 — Rural East Loop,Stop 10: Cedar & Maple Pl,08:12,08:13,2024-11-09T15:39:37Z,2025-02-20T15:39:37Z
DCG-08 — Rural East Loop,Stop 11: Broad & Highland Blvd,07:20,07:22,2025-07-29T15:39:37Z,2025-07-30T15:39:37Z
DCG-08 — Rural East Loop,Stop 11: Broad & Highland Blvd,08:08,08:09,2025-05-25T15:39:37Z,2025-06-30T15:39:37Z
DCG-08 — Rural East Loop,Stop 12: Main & Spruce Ave,07:12,07:16,2025-03-04T15:39:37Z,2025-06-05T15:39:37Z
DCG-08 — Rural East Loop,Stop 13: Elm & Hickory Way,07:52,07:55,2025-07-15T15:39:37Z,2025-10-28T15:39:37Z
DCG-08 — Rural East Loop,Stop 13: Elm & Hickory Way,08:26,08:27,2025-07-28T15:39:37Z,2025-08-21T15:39:37Z
DCG-08 — Rural East Loop,Stop 14: Ash & Oak Pl,07:57,07:59,2025-01-02T15:39:37Z,2025-02-21T15:39:37Z
DCG-08 — Rural East Loop,Stop 14: Ash & Oak Pl,08:30,08:31,2025-04-25T15:39:37Z,2025-06-19T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 1: Park & Broad Ct,07:03,07:05,2024-09-03T15:39:37Z,2024-11-19T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 1: Park & Broad Ct,07:37,07:40,2024-10-10T15:39:37Z,2025-01-30T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 2: Main & Valley Ave,07:07,07:08,2024-12-17T15:39:37Z,2025-03-26T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 2: Main & Valley Ave,07:31,07:33,2025-06-23T15:39:37Z,2025-10-12T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 3: Pine & Meadow Ct,07:15,07:18,2024-12-18T15:39:37Z,2025-03-08T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 3: Pine & Meadow Ct,07:38,07:39,2025-01-30T15:39:37Z,2025-05-04T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 4: Oak & Park St,07:14,07:15,2025-01-02T15:39:37Z,2025-02-11T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 5: Birch & Maple Blvd,07:21,07:23,2024-09-11T15:39:37Z,2024-10-07T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 6: Highland & Hickory Way,07:25,07:26,2025-04-26T15:39:37Z,2025-06-09T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 7: Lakeview & Sunset Dr,07:17,07:19,2025-03-12T15:39:37Z,2025-05-08T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 7: Lakeview & Sunset Dr,08:03,08:06,2024-10-21T15:39:37Z,2024-11-30T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 8: Meadow & Hickory Ln,07:41,07:43,2025-06-11T15:39:37Z,2025-07-31T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 9: Maple & Elm St,07:19,07:23,2025-01-24T15:39:37Z,2025-03-09T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 10: Cedar & Spruce Rd,07:43,07:47,2025-06-14T15:39:37Z,2025-08-02T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 11: Highland & Spruce Ln,07:58,08:00,2025-02-28T15:39:37Z,2025-04-10T15:39:37Z
DCG-09 — Heritage Elementary Loop,Stop 12: Birch & Park Way,07:25,07:28,2024-11-25T15:39:37Z,2024-12-20T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 1: Highland & Broad Rd,06:47,06:50,2024-11-20T15:39:37Z,2024-11-23T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 2: Highland & Meadow Dr,06:50,06:54,2024-12-11T15:39:37Z,2025-03-15T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 2: Highland & Meadow Dr,07:44,07:47,2024-12-03T15:39:37Z,2025-01-21T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 3: River & Ridge Ct,06:54,06:56,2024-12-18T15:39:37Z,2025-01-16T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 3: River & Ridge Ct,07:32,07:33,2025-03-05T15:39:37Z,2025-04-29T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 4: Park & Meadow Pl,06:56,06:59,2025-04-08T15:39:37Z,2025-06-11T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 4: Park & Meadow Pl,07:34,07:36,2025-05-25T15:39:37Z,2025-07-16T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 5: River & Ash St,06:51,06:52,2024-11-24T15:39:37Z,2025-01-06T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 6: Cedar & Valley Blvd,07:01,07:02,2025-08-22T15:39:37Z,2025-08-30T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 6: Cedar & Valley Blvd,07:48,07:50,2025-07-10T15:39:37Z,2025-08-05T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 7: Main & Oak Dr,07:10,07:13,2025-06-21T15:39:37Z,2025-10-08T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 8: Maple & River Way,06:58,07:02,2024-09-14T15:39:37Z,2024-10-17T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 9: Cedar & Highland Ln,07:28,07:32,2025-08-15T15:39:37Z,2025-08-18T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 10: Maple & Ash Blvd,07:21,07:22,2025-02-27T15:39:37Z,2025-05-11T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 10: Maple & Ash Blvd,07:58,08:02,2025-06-25T15:39:37Z,2025-08-15T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 11: Lakeview & Sunset Way,07:17,07:18,2025-05-03T15:39:37Z,2025-08-04T15:39:37Z
DCG-10 — North Ridge Elementary Loop,Stop 12: Maple & Valley Pl,07:42,07:45,2024-10-31T15:39:37Z,2024-12-10T15:39:37Z
