facility_code,facility_name,name,code,year_built,floors_count,gross_sqft,use_type,address,attributes
FAC-427,South Prairie Elementary,Gymnasium,FAC-427-BLDG-01,1968,1,159017.65,Athletics,"{""line1"": ""180 Main St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-427,South Prairie Elementary,Main Academic Building,FAC-427-BLDG-02,2011,2,148356.00,Academic,"{""line1"": ""878 Oak St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-427,South Prairie Elementary,Science Wing,FAC-427-BLDG-03,2014,1,30083.33,Academic,"{""line1"": ""586 Oak St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-427,South Prairie Elementary,Library/Media Center,FAC-427-BLDG-04,1975,1,98759.89,Academic,"{""line1"": ""721 Elm St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-427,South Prairie Elementary,Administration,FAC-427-BLDG-05,1978,2,137905.61,Administration,"{""line1"": ""806 Maple Ave"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-427,South Prairie Elementary,Bus Garage,FAC-427-BLDG-06,2010,1,76626.68,Transportation,"{""line1"": ""787 Park Dr"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-218,DC-G Oak View,Gymnasium,FAC-218-BLDG-01,1969,1,11617.89,Athletics,"{""line1"": ""667 Maple Ave"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-218,DC-G Oak View,Field House,FAC-218-BLDG-02,2002,1,9236.82,Athletics,"{""line1"": ""824 Main St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-218,DC-G Oak View,Early Childhood Center,FAC-218-BLDG-03,1979,1,163732.24,Early Childhood,"{""line1"": ""980 Park Dr"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-218,DC-G Oak View,Science Wing,FAC-218-BLDG-04,1969,2,48936.80,Academic,"{""line1"": ""785 Elm St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-218,DC-G Oak View,Performing Arts Center,FAC-218-BLDG-05,1978,2,30757.64,Arts,"{""line1"": ""684 Oak St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-218,DC-G Oak View,Maintenance Shop,FAC-218-BLDG-06,1995,1,142954.54,Maintenance,"{""line1"": ""926 Elm St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
