school_name,name,capacity,created_at,updated_at
Dallas Center-Grimes High School,Computer Lab 384,22.0,2025-03-28T00:36:32Z,2025-04-19T06:06:32Z
Dallas Center-Grimes High School,Auditorium,374.0,2025-08-08T06:23:32Z,2025-08-24T09:39:32Z
Dallas Center-Grimes High School,Main Office,4.0,2025-04-24T12:12:32Z,2025-05-22T15:05:32Z
Dallas Center-Grimes High School,Main Office,11.0,2024-10-14T16:25:32Z,2024-10-16T16:20:32Z
Dallas Center-Grimes High School,Conference Room 172,10.0,2024-11-11T11:52:32Z,2024-12-25T18:45:32Z
Dallas Center-Grimes High School,Auditorium,369.0,2024-11-28T09:58:32Z,2024-12-18T04:20:32Z
Dallas Center-Grimes High School,Gymnasium,230.0,2024-10-20T05:53:32Z,2024-11-19T15:53:32Z
Dallas Center-Grimes High School,Computer Lab 103,20.0,2024-09-05T04:12:32Z,2024-10-27T04:17:32Z
Dallas Center-Grimes High School,Gymnasium,126.0,2025-03-11T02:41:32Z,2025-04-08T19:27:32Z
Dallas Center-Grimes High School,Main Office,11.0,2025-05-25T14:36:32Z,2025-07-06T15:52:32Z
Dallas Center-Grimes High School,Storage 389,,2025-07-12T22:31:32Z,2025-08-01T23:17:32Z
Dallas Center-Grimes High School,Auditorium,277.0,2025-04-14T22:22:32Z,2025-06-12T09:14:32Z
Dallas Center-Grimes Middle School,Classroom 385,23.0,2025-06-13T16:53:32Z,2025-08-05T07:35:32Z
Dallas Center-Grimes Middle School,Restroom 345,,2024-10-11T16:29:32Z,2024-12-09T06:59:32Z
Dallas Center-Grimes Middle School,Science Lab 240,22.0,2024-10-29T20:16:32Z,2024-12-05T11:22:32Z
Dallas Center-Grimes Middle School,Gymnasium,274.0,2025-08-15T06:49:32Z,2025-08-20T01:42:32Z
Dallas Center-Grimes Middle School,Classroom 234,32.0,2025-04-15T13:51:32Z,2025-05-18T08:01:32Z
Dallas Center-Grimes Middle School,Conference Room 1,16.0,2025-04-07T11:26:32Z,2025-04-17T00:18:32Z
Dallas Center-Grimes Middle School,Science Lab 322,30.0,2025-06-14T02:53:32Z,2025-07-04T03:52:32Z
Dallas Center-Grimes Middle School,Restroom 310,,2024-12-22T01:12:32Z,2025-01-09T08:34:32Z
Dallas Center-Grimes Middle School,Gymnasium,271.0,2025-01-19T21:47:32Z,2025-01-27T05:32:32Z
Dallas Center-Grimes Middle School,Auditorium,291.0,2024-12-24T17:25:32Z,2025-01-21T22:51:32Z
Dallas Center-Grimes Middle School,Auditorium,167.0,2024-11-25T11:02:32Z,2024-12-20T11:47:32Z
Dallas Center-Grimes Middle School,Science Lab 214,27.0,2024-11-09T05:27:32Z,2024-12-17T04:29:32Z
Dallas Center-Grimes Middle School,Cafeteria,310.0,2025-04-11T08:35:32Z,2025-04-24T06:33:32Z
Dallas Center-Grimes Middle School,Computer Lab 179,21.0,2024-11-12T13:25:32Z,2024-11-25T11:26:32Z
Dallas Center-Grimes Middle School,Cafeteria,177.0,2025-01-03T23:12:32Z,2025-02-11T23:32:32Z
Dallas Center-Grimes Middle School,Conference Room 377,16.0,2024-11-15T13:55:32Z,2024-12-12T11:05:32Z
Dallas Center-Grimes Middle School,Restroom 48,,2024-09-18T03:56:32Z,2024-10-10T21:09:32Z
Dallas Center-Grimes Middle School,Conference Room 115,16.0,2024-12-17T17:59:32Z,2025-01-28T05:27:32Z
Dallas Center-Grimes Middle School,Music Room 293,22.0,2025-03-14T04:40:32Z,2025-03-21T04:16:32Z
Dallas Center-Grimes Middle School,Art Room 163,23.0,2025-05-13T01:58:32Z,2025-07-06T22:56:32Z
DC-G Oak View,Main Office,12.0,2025-01-12T22:59:32Z,2025-03-10T07:48:32Z
DC-G Oak View,Storage 116,,2024-09-17T21:40:32Z,2024-09-28T23:52:32Z
DC-G Oak View,Music Room 292,27.0,2025-07-07T18:10:32Z,2025-07-28T12:51:32Z
DC-G Oak View,Gymnasium,185.0,2024-08-31T04:30:32Z,2024-09-27T06:30:32Z
DC-G Oak View,Main Office,8.0,2025-04-17T19:23:32Z,2025-05-06T08:43:32Z
DC-G Oak View,Music Room 327,21.0,2025-06-27T12:47:32Z,2025-08-03T22:33:32Z
DC-G Oak View,Computer Lab 110,25.0,2025-03-31T01:44:32Z,2025-04-28T16:30:32Z
DC-G Oak View,Gymnasium,280.0,2025-02-25T12:30:32Z,2025-03-29T18:14:32Z
DC-G Oak View,Music Room 89,30.0,2025-03-18T05:42:32Z,2025-05-09T06:09:32Z
DC-G Oak View,Gymnasium,293.0,2025-02-27T11:36:32Z,2025-04-27T11:03:32Z
DC-G Oak View,Main Office,10.0,2025-07-23T19:48:32Z,2025-07-28T10:36:32Z
DC-G Oak View,Conference Room 6,20.0,2025-08-17T10:51:32Z,2025-08-24T23:07:32Z
Heritage Elementary,Cafeteria,239.0,2025-04-29T12:12:32Z,2025-06-24T23:53:32Z
Heritage Elementary,Music Room 13,28.0,2025-04-03T16:15:32Z,2025-04-23T07:26:32Z
Heritage Elementary,Music Room 14,21.0,2025-08-26T10:56:32Z,2025-10-21T22:05:32Z
Heritage Elementary,Auditorium,121.0,2024-09-28T18:45:32Z,2024-10-10T22:36:32Z
Heritage Elementary,Nurse Office,4.0,2024-09-07T13:24:32Z,2024-09-30T11:48:32Z
Heritage Elementary,Restroom 381,,2025-06-14T15:08:32Z,2025-08-07T02:31:32Z
Heritage Elementary,Art Room 305,35.0,2025-07-24T03:54:32Z,2025-09-04T04:32:32Z
Heritage Elementary,Library,79.0,2025-01-30T16:42:32Z,2025-03-13T07:12:32Z
Heritage Elementary,Nurse Office,3.0,2024-10-29T17:20:32Z,2024-11-18T04:42:32Z
Heritage Elementary,Classroom 27,35.0,2025-06-26T05:55:32Z,2025-07-25T18:57:32Z
Heritage Elementary,Computer Lab 8,26.0,2025-01-04T03:35:32Z,2025-01-22T15:49:32Z
Heritage Elementary,Nurse Office,3.0,2025-02-27T09:26:32Z,2025-04-15T21:49:32Z
North Ridge Elementary,Restroom 219,,2025-03-04T00:29:32Z,2025-03-08T23:34:32Z
North Ridge Elementary,Cafeteria,339.0,2025-01-02T08:22:32Z,2025-01-19T06:50:32Z
North Ridge Elementary,Conference Room 125,10.0,2025-06-28T14:11:32Z,2025-08-20T15:40:32Z
North Ridge Elementary,Auditorium,431.0,2025-04-17T10:49:32Z,2025-05-16T13:48:32Z
North Ridge Elementary,Gymnasium,127.0,2024-11-20T03:07:32Z,2024-12-25T22:13:32Z
North Ridge Elementary,Gymnasium,140.0,2025-06-28T09:38:32Z,2025-07-26T02:49:32Z
North Ridge Elementary,Auditorium,217.0,2025-08-13T06:04:32Z,2025-09-02T07:31:32Z
North Ridge Elementary,Restroom 52,,2024-12-10T08:11:32Z,2025-01-21T02:29:32Z
North Ridge Elementary,Cafeteria,325.0,2024-10-11T22:22:32Z,2024-10-26T17:55:32Z
North Ridge Elementary,Computer Lab 173,25.0,2025-04-11T20:10:32Z,2025-05-17T11:21:32Z
North Ridge Elementary,Science Lab 236,26.0,2024-09-08T23:52:32Z,2024-10-07T05:28:32Z
North Ridge Elementary,Conference Room 195,17.0,2025-08-30T01:26:32Z,2025-09-10T09:18:32Z
North Ridge Elementary,Art Room 238,32.0,2025-08-05T07:29:32Z,2025-08-30T05:41:32Z
North Ridge Elementary,Conference Room 27,11.0,2025-07-05T23:12:32Z,2025-08-06T22:17:32Z
South Prairie Elementary,Storage 277,,2025-02-02T11:36:32Z,2025-03-15T22:21:32Z
South Prairie Elementary,Restroom 115,,2025-01-01T20:28:32Z,2025-02-05T03:46:32Z
South Prairie Elementary,Conference Room 266,16.0,2025-07-02T03:52:32Z,2025-08-12T06:08:32Z
South Prairie Elementary,Computer Lab 302,23.0,2025-03-02T13:17:32Z,2025-03-24T17:23:32Z
South Prairie Elementary,Science Lab 362,26.0,2024-11-07T00:18:32Z,2024-12-06T02:00:32Z
South Prairie Elementary,Nurse Office,3.0,2025-04-09T04:20:32Z,2025-05-18T21:55:32Z
South Prairie Elementary,Music Room 16,29.0,2025-01-16T18:36:32Z,2025-02-01T14:43:32Z
South Prairie Elementary,Art Room 297,29.0,2025-05-10T21:41:32Z,2025-06-21T04:06:32Z
South Prairie Elementary,Cafeteria,127.0,2024-10-23T06:24:32Z,2024-12-05T05:20:32Z
South Prairie Elementary,Music Room 295,31.0,2025-02-05T05:05:32Z,2025-02-09T14:23:32Z
South Prairie Elementary,Library,62.0,2025-04-14T18:23:32Z,2025-06-01T10:17:32Z
South Prairie Elementary,Art Room 184,30.0,2025-04-23T06:40:32Z,2025-04-30T09:26:32Z
South Prairie Elementary,Auditorium,413.0,2025-03-13T03:57:32Z,2025-04-24T21:16:32Z
South Prairie Elementary,Computer Lab 225,26.0,2025-01-03T09:07:32Z,2025-01-19T02:08:32Z
South Prairie Elementary,Cafeteria,148.0,2024-12-13T20:10:32Z,2024-12-17T06:59:32Z
South Prairie Elementary,Art Room 323,20.0,2025-04-23T01:46:32Z,2025-06-20T04:50:32Z
