provider,url,meta
figma,https://www.figma.com/file/a32ac0a2bc0,"{""provider"":""figma"",""title"":""Figma Embed e841a4"",""created_at"":""2025-06-24T13:21:03.801135Z"",""dimensions"":{""width"":1440,""height"":1080},""duration_sec"":353,""tags"":[""education"",""talk"",""marketing"",""clip""],""public"":false}"
vimeo,https://vimeo.com/e61e45e1216,"{""provider"":""vimeo"",""title"":""Vimeo Embed c7836f"",""created_at"":""2024-10-28T13:21:03.801164Z"",""dimensions"":{""width"":720,""height"":720},""duration_sec"":515,""tags"":[""meeting""],""public"":false}"
tiktok,https://www.tiktok.com/@user/video/b0c03bbb912,"{""provider"":""tiktok"",""title"":""Tiktok Embed 754f8e"",""created_at"":""2025-04-25T13:21:03.801203Z"",""dimensions"":{""width"":720,""height"":1080},""duration_sec"":218,""tags"":[""meeting""],""public"":true}"
soundcloud,https://soundcloud.com/track/631ba79af92,"{""provider"":""soundcloud"",""title"":""Soundcloud Embed 5d8ecc"",""created_at"":""2024-11-01T13:21:03.801236Z"",""dimensions"":{""width"":1440,""height"":480},""duration_sec"":539,""tags"":[""marketing"",""demo""],""public"":false}"
spotify,https://open.spotify.com/track/ff75923830c,"{""provider"":""spotify"",""title"":""Spotify Embed b0aadb"",""created_at"":""2024-10-31T13:21:03.801266Z"",""dimensions"":{""width"":640,""height"":360},""duration_sec"":586,""tags"":[""highlight"",""marketing"",""design"",""meeting""],""public"":true}"
youtube,https://www.youtube.com/watch?v=4083d3d3789,"{""provider"":""youtube"",""title"":""Youtube Embed 0e02e4"",""created_at"":""2025-02-07T13:21:03.801294Z"",""dimensions"":{""width"":720,""height"":360},""duration_sec"":652,""tags"":[""clip""],""public"":true}"
loom,https://www.loom.com/share/afb31a53ec9,"{""provider"":""loom"",""title"":""Loom Embed 6e3eef"",""created_at"":""2024-10-23T13:21:03.801320Z"",""dimensions"":{""width"":720,""height"":360},""duration_sec"":501,""tags"":[""education"",""product"",""talk"",""meeting""],""public"":true}"
twitter,https://twitter.com/i/status/14dd6070ba2,"{""provider"":""twitter"",""title"":""Twitter Embed eee8c2"",""created_at"":""2025-03-17T13:21:03.801351Z"",""dimensions"":{""width"":1440,""height"":1080},""duration_sec"":399,""tags"":[""talk""],""public"":false}"
vimeo,https://vimeo.com/93d13bc7a7a,"{""provider"":""vimeo"",""title"":""Vimeo Embed fde0fb"",""created_at"":""2024-09-05T13:21:03.801379Z"",""dimensions"":{""width"":1080,""height"":1080},""duration_sec"":37,""tags"":[""education"",""design"",""marketing""],""public"":false}"
twitter,https://twitter.com/i/status/bb6f3b0cd32,"{""provider"":""twitter"",""title"":""Twitter Embed 6fc080"",""created_at"":""2025-04-02T13:21:03.801406Z"",""dimensions"":{""width"":1440,""height"":360},""duration_sec"":526,""tags"":[""education"",""music"",""meeting""],""public"":false}"
twitter,https://twitter.com/i/status/d188ef3d669,"{""provider"":""twitter"",""title"":""Twitter Embed 982f2f"",""created_at"":""2025-08-25T13:21:03.801432Z"",""dimensions"":{""width"":720,""height"":480},""duration_sec"":591,""tags"":[""highlight"",""education"",""marketing""],""public"":true}"
tiktok,https://www.tiktok.com/@user/video/41ac5e64b6c,"{""provider"":""tiktok"",""title"":""Tiktok Embed 95b8f5"",""created_at"":""2025-04-23T13:21:03.801734Z"",""dimensions"":{""width"":720,""height"":480},""duration_sec"":533,""tags"":[""talk"",""clip""],""public"":false}"
instagram,https://www.instagram.com/p/18f2b470597,"{""provider"":""instagram"",""title"":""Instagram Embed 8333b0"",""created_at"":""2025-04-09T13:21:03.801858Z"",""dimensions"":{""width"":1440,""height"":720},""duration_sec"":696,""tags"":[""design"",""marketing"",""talk""],""public"":false}"
youtube,https://www.youtube.com/watch?v=e5f54e274ff,"{""provider"":""youtube"",""title"":""Youtube Embed 822c36"",""created_at"":""2024-12-19T13:21:03.801935Z"",""dimensions"":{""width"":1440,""height"":720},""duration_sec"":125,""tags"":[""meeting"",""clip""],""public"":true}"
tiktok,https://www.tiktok.com/@user/video/a2479b097f2,"{""provider"":""tiktok"",""title"":""Tiktok Embed b06b76"",""created_at"":""2025-01-14T13:21:03.802019Z"",""dimensions"":{""width"":1440,""height"":480},""duration_sec"":712,""tags"":[""marketing"",""meeting""],""public"":true}"
twitter,https://twitter.com/i/status/75d040066bb,"{""provider"":""twitter"",""title"":""Twitter Embed a4047f"",""created_at"":""2024-09-17T13:21:03.802096Z"",""dimensions"":{""width"":640,""height"":720},""duration_sec"":606,""tags"":[""meeting"",""highlight"",""marketing""],""public"":true}"
figma,https://www.figma.com/file/026a0db803c,"{""provider"":""figma"",""title"":""Figma Embed 3c6ed9"",""created_at"":""2024-11-05T13:21:03.802182Z"",""dimensions"":{""width"":720,""height"":360},""duration_sec"":603,""tags"":[""design"",""education""],""public"":true}"
loom,https://www.loom.com/share/ed293881750,"{""provider"":""loom"",""title"":""Loom Embed 7d1468"",""created_at"":""2024-10-26T13:21:03.802252Z"",""dimensions"":{""width"":1080,""height"":720},""duration_sec"":597,""tags"":[""product"",""demo"",""talk""],""public"":true}"
figma,https://www.figma.com/file/0fc65c029cf,"{""provider"":""figma"",""title"":""Figma Embed 5cd213"",""created_at"":""2025-07-15T13:21:03.802287Z"",""dimensions"":{""width"":1440,""height"":720},""duration_sec"":701,""tags"":[""music"",""design"",""demo""],""public"":false}"
loom,https://www.loom.com/share/28e016a9bcb,"{""provider"":""loom"",""title"":""Loom Embed 3e5e38"",""created_at"":""2024-09-13T13:21:03.802317Z"",""dimensions"":{""width"":1440,""height"":720},""duration_sec"":569,""tags"":[""demo""],""public"":true}"
soundcloud,https://soundcloud.com/track/5d030df0bcc,"{""provider"":""soundcloud"",""title"":""Soundcloud Embed d98da8"",""created_at"":""2024-11-10T13:21:03.802347Z"",""dimensions"":{""width"":640,""height"":360},""duration_sec"":639,""tags"":[""demo"",""highlight""],""public"":false}"
