vendor_no,name,tax_id,remit_to,contact,attributes,active
V0027,Atlas Data Systems Partners,61-2768991,"{""attention"":""Finance"",""address1"":""2191 3rd St"",""address2"":null,""city"":""Ankeny"",""state"":""IA"",""postal"":""52750"",""country"":""US""}","{""name"":""Rowan Jones"",""email"":""ap@atlasdatasystemspartners.com"",""phone"":""555-672-3977""}","{""payment_terms"":""Net 30"",""category"":""Security"",""preferred"":false}","1"
V0028,Oakstone Athletics Systems,63-4232413,"{""attention"":""AP Dept"",""address1"":""7805 Main St"",""address2"":""Suite 153"",""city"":""Clive"",""state"":""MO"",""postal"":""52248"",""country"":""US""}","{""name"":""Jordan Smith"",""email"":""ap@oakstoneathleticssystems.com"",""phone"":""555-453-4266""}","{""payment_terms"":""Net 30"",""category"":""Foodservice"",""preferred"":true}","1"
V0029,Nimbus Maintenance Group,42-6189034,"{""attention"":""Accounts Payable"",""address1"":""1976 Cedar St"",""address2"":""Suite 418"",""city"":""Dallas Center"",""state"":""IA"",""postal"":""60222"",""country"":""US""}","{""name"":""Dakota Gonzalez"",""email"":""ap@nimbusmaintenancegroup.com"",""phone"":""555-606-4249""}","{""payment_terms"":""Net 30"",""category"":""Transportation"",""preferred"":true}","1"
V0030,Terrace Consulting Inc.,82-0689025,"{""attention"":""Billing"",""address1"":""8828 2nd St"",""address2"":null,""city"":""Dallas Center"",""state"":""WI"",""postal"":""50414"",""country"":""US""}","{""name"":""Rowan Thomas"",""email"":""ap@terraceconsultinginc.com"",""phone"":""555-308-8102""}","{""payment_terms"":""Net 60"",""category"":""Consulting"",""preferred"":false}","1"
V0031,Skyline AV Media Co.,78-8111742,"{""attention"":""Finance"",""address1"":""7236 Cedar St"",""address2"":""Suite 374"",""city"":""Clive"",""state"":""MO"",""postal"":""52839"",""country"":""US""}","{""name"":""Morgan Anderson"",""email"":""ap@skylineavmediaco.com"",""phone"":""555-449-8613""}","{""payment_terms"":""Due on Receipt"",""category"":""Janitorial"",""preferred"":true}","1"
V0032,Pioneer Textbooks Group,43-5709938,"{""attention"":""Billing"",""address1"":""9867 Elm St"",""address2"":""Suite 669"",""city"":""Grimes"",""state"":""MO"",""postal"":""52805"",""country"":""US""}","{""name"":""Quinn Wilson"",""email"":""ap@pioneertextbooksgroup.com"",""phone"":""555-700-4937""}","{""payment_terms"":""Due on Receipt"",""category"":""Consulting"",""preferred"":false}",false
V0033,Blue Ridge Wellness Systems,49-9756883,"{""attention"":""Billing"",""address1"":""7853 3rd St"",""address2"":null,""city"":""Ankeny"",""state"":""WI"",""postal"":""61528"",""country"":""US""}","{""name"":""Emerson Rodriguez"",""email"":""ap@blueridgewellnesssystems.com"",""phone"":""555-513-5118""}","{""payment_terms"":""Net 45"",""category"":""Technology"",""preferred"":false}","1"
V0034,Skyline Janitorial Ltd.,71-4638893,"{""attention"":""Billing"",""address1"":""1747 Cedar St"",""address2"":null,""city"":""Waukee"",""state"":""WI"",""postal"":""55879"",""country"":""US""}","{""name"":""Avery Smith"",""email"":""ap@skylinejanitorialltd.com"",""phone"":""555-925-9751""}","{""payment_terms"":""Net 45"",""category"":""Security"",""preferred"":true}",false
V0035,Blue Ridge Foodservice Solutions,11-9631199,"{""attention"":""Billing"",""address1"":""7790 2nd St"",""address2"":null,""city"":""Urbandale"",""state"":""IA"",""postal"":""58273"",""country"":""US""}","{""name"":""Jamie Brown"",""email"":""ap@blueridgefoodservicesolutions.com"",""phone"":""555-266-7565""}","{""payment_terms"":""Due on Receipt"",""category"":""Technology"",""preferred"":false}","1"
V0036,Aurora Foodservice Co.,41-1987287,"{""attention"":""Finance"",""address1"":""9866 Cedar St"",""address2"":null,""city"":""Ankeny"",""state"":""SD"",""postal"":""64507"",""country"":""US""}","{""name"":""Avery Jackson"",""email"":""ap@aurorafoodserviceco.com"",""phone"":""555-639-6003""}","{""payment_terms"":""Net 30"",""category"":""Technology"",""preferred"":false}","1"
V0037,Harbor Curriculum Inc.,32-9260893,"{""attention"":""AP Dept"",""address1"":""2664 Main St"",""address2"":null,""city"":""West Des Moines"",""state"":""IL"",""postal"":""51069"",""country"":""US""}","{""name"":""Quinn Martinez"",""email"":""ap@harborcurriculuminc.com"",""phone"":""555-923-5632""}","{""payment_terms"":""Due on Receipt"",""category"":""Technology"",""preferred"":false}","1"
V0038,Meridian Maintenance Group,79-3771676,"{""attention"":""Accounts Payable"",""address1"":""4452 Cedar St"",""address2"":null,""city"":""Grimes"",""state"":""MN"",""postal"":""60079"",""country"":""US""}","{""name"":""Micah Jackson"",""email"":""ap@meridianmaintenancegroup.com"",""phone"":""555-495-8195""}","{""payment_terms"":""Net 30"",""category"":""Consulting"",""preferred"":false}","1"
V0039,Northstar AV Media Solutions,86-0668752,"{""attention"":""Finance"",""address1"":""5380 3rd St"",""address2"":null,""city"":""Dallas Center"",""state"":""MO"",""postal"":""68848"",""country"":""US""}","{""name"":""Dakota Smith"",""email"":""ap@northstaravmediasolutions.com"",""phone"":""555-983-5415""}","{""payment_terms"":""Net 30"",""category"":""Foodservice"",""preferred"":false}","1"
V0040,Northstar Transportation Systems,72-1530793,"{""attention"":""Finance"",""address1"":""5800 2nd St"",""address2"":null,""city"":""Dallas Center"",""state"":""MN"",""postal"":""60807"",""country"":""US""}","{""name"":""Rowan Thomas"",""email"":""ap@northstartransportationsystems.com"",""phone"":""555-495-7561""}","{""payment_terms"":""Net 30"",""category"":""Consulting"",""preferred"":true}","1"
