id,meeting_id,parent_id,position,title,description,time_allocated_minutes,subject_id,course_id,created_at,updated_at
0db922fe-5cd2-49ad-8a90-7e882533a4cb,e35fec2e-0e28-4416-bb4f-7047d3f68e10,,3,Old Business #3,Discussion led by chair.,,bafed724-17b7-4361-be4c-5da543691f1b,7d7722b5-6762-4125-abcc-ce089e51c354,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
bde824b4-333a-46d1-8e94-80ab918e0674,e35fec2e-0e28-4416-bb4f-7047d3f68e10,e4f079c9-1cfb-4f80-bfe2-7b37d42201ff,4,Instructional Materials #4,Public comment period included.,60,fc481f3f-4997-4006-9fa3-1da70213f782,65046f00-7c78-41d7-969a-c6094a9f268c,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
fd2f26c3-2b2c-4914-9d5c-664aba06c1f7,e35fec2e-0e28-4416-bb4f-7047d3f68e10,0db922fe-5cd2-49ad-8a90-7e882533a4cb,5,Opening Remarks #5,,20,671322ef-26c2-4237-a0e4-cf4f8e7dfbad,05594544-2d60-48ad-afb5-b857745c2854,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
bf35bdb5-e8f8-4610-bc1b-7ae9ee64bf1d,e35fec2e-0e28-4416-bb4f-7047d3f68e10,,6,Assessment Alignment #6,Discussion led by chair.,10,6c5894ef-9f75-454f-a503-f597b6020b9e,d322c8d4-099b-459d-8d70-155403dcc958,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
89482e51-6962-43c3-89c1-2ccd06e27265,e35fec2e-0e28-4416-bb4f-7047d3f68e10,,7,Action Items #7,Presentation from staff.,60,c4a8f3e3-1809-45ce-a13b-8cd45fd867f0,c22979dd-dd13-4607-94bc-5e75ae618302,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
339a464a-9fe2-4e4c-a050-3c2f39f45769,e35fec2e-0e28-4416-bb4f-7047d3f68e10,,8,Old Business #8,Follow-up from previous meeting.,5,2207944b-56c5-4bfa-ad5a-82dc10478d76,07a15cf5-260e-455d-a54a-dbf1435cc80e,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
da67a59f-5b29-4a0a-90cb-934893125f3d,44849311-d6b7-473e-ac74-a4e2f1e91cb1,,1,Curriculum Review #1,Presentation from staff.,20,1ba7e377-7995-4192-913c-78a532f7e1a9,44319e50-fe15-4974-9ebc-27c223b09471,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
5c8130cc-7c1f-492f-9706-c75989b393ea,44849311-d6b7-473e-ac74-a4e2f1e91cb1,da67a59f-5b29-4a0a-90cb-934893125f3d,2,New Business #2,Follow-up from previous meeting.,15,3a49f8a5-7d88-47f7-968c-85c24d499d8d,6d8c6e4e-2ea3-40b7-9572-d9f02d6b8027,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
77e8d8c8-5e99-4d64-8f69-67260788b983,44849311-d6b7-473e-ac74-a4e2f1e91cb1,,3,Program Update #3,Follow-up from previous meeting.,10,e894217d-c951-4680-844f-b971e308f2a4,380f92b5-2571-469c-8a22-5de468df445c,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
2a914bb4-ce28-47cd-8b32-77345274d648,44849311-d6b7-473e-ac74-a4e2f1e91cb1,,4,Opening Remarks #4,Follow-up from previous meeting.,5,1b03c063-bc2b-4f4a-bf3c-ab4b7df97425,d3d791e7-1829-49ad-8496-b2c6f84553a1,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
578dcdb4-0b01-4c90-bbdd-16c6ac678594,44849311-d6b7-473e-ac74-a4e2f1e91cb1,,5,Old Business #5,Discussion led by chair.,60,0d62cc9f-809e-407d-b1a9-746ff557b304,30bdd6fa-cdd2-44f7-b240-5a5ad0af2502,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
5ceb28dd-9b3e-4d6b-8b2c-54e148aac01e,44849311-d6b7-473e-ac74-a4e2f1e91cb1,,6,Curriculum Review #6,Discussion led by chair.,10,1ff6f77a-d439-4248-a183-9d6b86b169da,6b3bd078-d265-4da8-ad16-0dd108b2cb8d,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
2830921b-28dd-4f2d-a8e9-35a6c808d6a8,44849311-d6b7-473e-ac74-a4e2f1e91cb1,2a914bb4-ce28-47cd-8b32-77345274d648,7,Opening Remarks #7,,10,89e961a2-8849-48aa-b243-0e916083a064,73bee5a4-35ba-4968-b429-04c62cde9361,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
00e2c092-1c54-40cf-a48a-1d656c0e420d,5a689ef2-497a-4f54-bb5b-5a8b706e96fe,,1,Community Input #1,Public comment period included.,15,161af27e-6ac2-4dc5-9f2d-537d2a5af9a0,76ca7a34-3c21-4a25-a253-79e1dc7d10f1,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
2ad96210-9e94-40fb-ad60-babf57094c67,5a689ef2-497a-4f54-bb5b-5a8b706e96fe,,2,Program Update #2,Public comment period included.,15,9a996004-5020-4f45-95c5-64c0a7ec49a6,bdb4cc7f-bb38-4f98-b5e6-a7e5e7e9d358,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
a0dcfb53-5d3e-425f-9223-74d8a32b93f7,5a689ef2-497a-4f54-bb5b-5a8b706e96fe,,3,Community Input #3,Presentation from staff.,30,fc59c0a2-1e18-41d4-9fa6-8dcb21c4c06d,461012b8-ac06-477c-bb47-c0f31af897f9,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
94e07363-159c-4c97-841e-a0c8a1bc2300,5a689ef2-497a-4f54-bb5b-5a8b706e96fe,,4,New Business #4,Presentation from staff.,20,e8e6313f-fc9b-422f-86ac-9ddf13f26c9b,d579d6ec-5f8e-4200-86e3-0b42209f872a,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
1b300e38-2cc8-4a6e-9256-8d6046fbce87,5a689ef2-497a-4f54-bb5b-5a8b706e96fe,,5,Old Business #5,Review supporting documents.,15,2aee4afe-9e78-4ab4-96e4-4c00792dda55,fca749c5-1a3b-4082-b256-1d11ea4d671e,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
af1fdcc0-b9dc-47d4-a7cf-e2dc73b94398,5a689ef2-497a-4f54-bb5b-5a8b706e96fe,,6,Old Business #6,Public comment period included.,60,9c09501b-c7ce-4678-8cb8-e4218fb737b1,16e66432-df95-45dc-8f18-667967ef6bb3,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
46b41d28-adb7-4dba-832c-7ebffd3a0909,5a689ef2-497a-4f54-bb5b-5a8b706e96fe,2ad96210-9e94-40fb-ad60-babf57094c67,7,Opening Remarks #7,,5,d96f8988-972d-47ff-a07a-49a1df2a3ccd,dd9adfc9-026f-4a20-b3b0-bbf821aa3690,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
60c31969-65d3-42c8-8dca-758888f59b1b,65151af0-c3a3-40c4-8876-270ae9af7978,,1,New Business #1,Follow-up from previous meeting.,30,9dbf052a-3c03-4ca3-b943-67579d799807,ecb93b15-9c68-4858-84a2-fdf23e890ae1,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
f686c7bb-8c91-449e-a6cd-768082372b33,65151af0-c3a3-40c4-8876-270ae9af7978,,2,Assessment Alignment #2,Discussion led by chair.,60,ba94ec37-821c-4ce4-a889-88a892238b49,5c18f705-9054-4141-ae20-a8eff7fabd92,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
fb0cee33-40b1-438c-b85e-2e2f17474c51,65151af0-c3a3-40c4-8876-270ae9af7978,,3,Program Update #3,Presentation from staff.,30,b42722bb-d3e7-44f7-8f32-a6961b0d4d62,c268b636-86e7-4830-8d75-96a17bf73e9a,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
ded2a815-0e54-40aa-962c-e3bdff04832c,65151af0-c3a3-40c4-8876-270ae9af7978,f686c7bb-8c91-449e-a6cd-768082372b33,4,Assessment Alignment #4,,30,161af27e-6ac2-4dc5-9f2d-537d2a5af9a0,42a50186-ada3-448a-b9f7-94000dfef4af,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
cb8b1c9c-64b8-48d6-8094-249ddc6b219c,65151af0-c3a3-40c4-8876-270ae9af7978,f686c7bb-8c91-449e-a6cd-768082372b33,5,Instructional Materials #5,Discussion led by chair.,5,6b34b3bf-3a17-451a-a556-fa99fb057848,3dcbb2ad-0532-4ba7-9427-b82dbe9c6d4c,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
b22685a9-c9f9-4c14-aaf9-daeed6db3101,65151af0-c3a3-40c4-8876-270ae9af7978,,6,Policy Discussion #6,Public comment period included.,10,849306b2-4cf7-423e-af6b-57022ca5c90e,b9a2552c-5563-428e-88f1-67b71f1ea83e,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
f2728d9b-91c0-481c-869a-d6a032e80109,65151af0-c3a3-40c4-8876-270ae9af7978,b22685a9-c9f9-4c14-aaf9-daeed6db3101,7,Old Business #7,Follow-up from previous meeting.,5,a482baea-ccfd-49a7-af8e-615f8e1ec74f,b4bdb4d4-798e-4f4c-9788-f046f88ed1a4,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
c78e47fa-7c47-4c49-936d-ebe7d2d7e3ef,65151af0-c3a3-40c4-8876-270ae9af7978,,8,Instructional Materials #8,,45,3528e6b7-66c2-4700-bda6-cd82f0509466,7fc2b1a3-5426-4d74-9c7b-c6e84e075452,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
7b5890df-e4d6-4236-a1b8-6c272c71ef72,f35c866d-e765-48d4-9908-d1104199245a,,1,Policy Discussion #1,Public comment period included.,15,0d3744ce-0d34-4c9a-8cf1-819f908f4a2d,3f1c7bc4-8fc9-462e-b488-517436eb0bcb,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
a5c2a74b-d1cb-41ab-9163-96240c1f2395,f35c866d-e765-48d4-9908-d1104199245a,7b5890df-e4d6-4236-a1b8-6c272c71ef72,2,Curriculum Review #2,Public comment period included.,60,c4a8f3e3-1809-45ce-a13b-8cd45fd867f0,52ce8af9-0981-4f98-b4b6-3ffc87867eb9,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
582ad233-4086-4943-8e9d-e3d89df15349,f35c866d-e765-48d4-9908-d1104199245a,7b5890df-e4d6-4236-a1b8-6c272c71ef72,3,Policy Discussion #3,Review supporting documents.,15,20999739-31b2-4cbf-b942-f53e6706367c,a71ebd97-2352-4425-9ad8-3157fe915434,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
7f89d2d8-596f-4bb5-91e3-2333f82da2e3,f35c866d-e765-48d4-9908-d1104199245a,582ad233-4086-4943-8e9d-e3d89df15349,4,Community Input #4,,20,2c65bc1e-72a3-4ed2-bb8a-b5c2b9d3968f,1e31c341-7587-44fe-b3c0-9043e43d9713,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
f699ae0a-d816-48b5-8456-e95e01bb7f0b,f35c866d-e765-48d4-9908-d1104199245a,7b5890df-e4d6-4236-a1b8-6c272c71ef72,5,Program Update #5,Review supporting documents.,15,40b24c83-e1aa-429f-bc05-7622f02c69a3,dea71c00-e2f5-474b-bf07-d5d95f12ac77,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
bf0ffae5-424d-4697-883f-d92bd66e02fd,f35c866d-e765-48d4-9908-d1104199245a,7f89d2d8-596f-4bb5-91e3-2333f82da2e3,6,Community Input #6,Discussion led by chair.,45,a389ee53-c107-4d2c-8328-4148207c1299,58cb22c6-bd8c-47f0-b926-23df0b53153c,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
fe7092c8-f4e2-40b3-9891-34f613769e0b,cd764128-fabc-4f5a-bb6b-2b14ef19f3a2,,1,Opening Remarks #1,Follow-up from previous meeting.,5,f3f71525-e9ca-4f6a-a598-d7789a17be8e,d7d57aec-2a67-404c-9c69-8bb66b9b1768,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
78e3075d-9285-43a6-9a44-af0ea6840c8f,cd764128-fabc-4f5a-bb6b-2b14ef19f3a2,,2,Assessment Alignment #2,Public comment period included.,45,2aea17e2-b49e-4f84-9a6a-1df47e9b2c02,53281006-1d3b-4758-890c-ff91fb204b72,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
951a0a38-f8c0-4976-b372-b8477d99c1f6,cd764128-fabc-4f5a-bb6b-2b14ef19f3a2,,3,New Business #3,Review supporting documents.,60,64d9e6c6-5f89-4ea5-8268-4e81c9e75e47,91bf1f02-7b19-4104-af01-2ae559a5170e,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
13b113b1-4958-4fc7-8f3f-f9ccb6a65654,cd764128-fabc-4f5a-bb6b-2b14ef19f3a2,,4,Community Input #4,Follow-up from previous meeting.,30,8d31525b-69aa-44bc-8215-16586302e73a,ca754f15-1c98-48f8-929d-87fd5ccfe88f,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
d4b8da30-3f9c-4899-94e8-f54309a38805,cd764128-fabc-4f5a-bb6b-2b14ef19f3a2,,5,Policy Discussion #5,,10,214ce61d-be62-44db-a503-76e33ab80a8b,12df02e4-704d-4cee-8c06-81f8b8d63154,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
5a7f3932-538c-46ff-921e-f0602f0ffd06,cd764128-fabc-4f5a-bb6b-2b14ef19f3a2,,6,Policy Discussion #6,Follow-up from previous meeting.,20,00dfc193-396c-4c4d-b771-7dfa124c1052,94fa801b-2410-479e-9b35-22321d557204,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
3fdaf70b-8b88-4a31-a5f4-a3a1d839f7a8,9c95b562-8ae8-4fc6-8ce1-056af4fd166e,,1,Program Update #1,Discussion led by chair.,10,a0977710-a839-46df-ab04-199b9b5316b7,7f34701a-c0f5-4d67-8d92-0a53b97578b9,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
4bfc461f-9aa2-40ed-ad16-920c4a7ffc37,9c95b562-8ae8-4fc6-8ce1-056af4fd166e,3fdaf70b-8b88-4a31-a5f4-a3a1d839f7a8,2,New Business #2,Presentation from staff.,10,18cc43ad-e3e0-4182-b1a4-e9c95c1dfdd7,3e8a36ae-9c19-4891-93ca-c92c841222e2,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
fb21a149-b813-498e-81e1-c9023dcb9aa4,9c95b562-8ae8-4fc6-8ce1-056af4fd166e,4bfc461f-9aa2-40ed-ad16-920c4a7ffc37,3,Curriculum Review #3,Follow-up from previous meeting.,10,3c33ff26-cac7-4602-b067-37eb8ba291f4,003c0a06-43c0-4506-813c-291204d788b3,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
d67b693f-1d00-4408-b169-89e68f971cce,9c95b562-8ae8-4fc6-8ce1-056af4fd166e,,4,Instructional Materials #4,Follow-up from previous meeting.,30,9ce0a1b9-32ba-44d8-ad55-46af5801cafc,812162b6-94d1-4d6d-9189-f80648080a9b,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
d523ea37-b32a-4fcc-b38e-c8da713efbd6,9c95b562-8ae8-4fc6-8ce1-056af4fd166e,,5,Old Business #5,Follow-up from previous meeting.,10,168c8abe-68ce-43bd-a007-2e88554df295,db9c1470-9d97-42d1-bd3b-eb11a4723bca,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
729d20f2-af73-4db1-a7c2-1a3667bed50d,9c95b562-8ae8-4fc6-8ce1-056af4fd166e,,6,Curriculum Review #6,Presentation from staff.,5,d2b828d1-f5fb-4b6d-b89b-19a8cbef3e3c,3e063a7f-fc98-4f62-8d06-69efcc14aaf9,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
1b863b34-8ed5-4600-8caa-117dedb58e94,93073451-9836-43e5-abd0-85d5499672db,,1,Program Update #1,Presentation from staff.,30,ec62a61b-917f-4dc2-90fb-2edfdeb609fc,6e1f1dd0-584e-4cb6-a1ca-c3ff97524569,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
334d0497-bce2-4226-9658-26a2df8e8e19,93073451-9836-43e5-abd0-85d5499672db,1b863b34-8ed5-4600-8caa-117dedb58e94,2,Action Items #2,Review supporting documents.,5,d5b3ca01-78aa-42ce-b5d0-87f5df484dc9,a33c71ec-bc56-4bfb-b9b1-a2b51493e100,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
8c50d204-e6ae-4d4f-bd9e-ccef7d17e7b8,93073451-9836-43e5-abd0-85d5499672db,1b863b34-8ed5-4600-8caa-117dedb58e94,3,Assessment Alignment #3,,10,914bf26b-9dfa-47ee-a29b-3e46700e1bc3,af9c3ad3-48a5-4391-bf71-a07900ba74a4,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
75590ec1-bbc5-43ab-8a56-4c42e08f6b12,93073451-9836-43e5-abd0-85d5499672db,,4,Policy Discussion #4,Follow-up from previous meeting.,30,57791e72-3825-4dde-8dc2-293f4b4e23b9,3c640796-c521-4ab7-b436-7b6e4220e3f1,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
e28d898d-2d56-4eff-b4f4-a9ed508075c8,93073451-9836-43e5-abd0-85d5499672db,8c50d204-e6ae-4d4f-bd9e-ccef7d17e7b8,5,Community Input #5,Review supporting documents.,5,9d80cf3b-e32c-486c-ada5-152626b67ee7,ddffee83-214e-44be-aa5b-50d5d89da40c,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
64498eef-dfbd-4ac1-9e0b-efee0ba00265,8da88aab-4b1d-4d91-ba7d-abb0841d9b50,,1,Program Update #1,Review supporting documents.,30,e3132b7b-593a-4215-a72c-5dde92edde99,94fa801b-2410-479e-9b35-22321d557204,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
ece06fd6-f436-4903-a6c5-f596ee0b511b,8da88aab-4b1d-4d91-ba7d-abb0841d9b50,,2,Program Update #2,Discussion led by chair.,30,9e9eedaf-1508-4da0-a169-e17749e97ab5,c14639fb-869e-4486-ae8c-1e490c79d953,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
91417eb9-9198-4ce1-81ed-820cf3a1dbf0,8da88aab-4b1d-4d91-ba7d-abb0841d9b50,,3,Policy Discussion #3,,15,8994d217-8595-42e4-b22c-21c54fb641b0,44319e50-fe15-4974-9ebc-27c223b09471,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
f45aa662-6db6-46ef-9502-a42808a10c3b,2f8e3aaf-de0b-4bfe-934e-c95f1ff18e5c,,1,Assessment Alignment #1,Review supporting documents.,60,7e94a305-d0cb-4859-9394-79877c7b3ffa,708b18ea-70af-46cd-941f-147c23fd8c5d,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
f41491c4-a63d-4d14-a6fd-8f3229d2079f,2f8e3aaf-de0b-4bfe-934e-c95f1ff18e5c,,2,Program Update #2,Public comment period included.,20,c4d50c65-7401-4b6c-9548-34b554b66044,9d98f293-1ffe-4827-9826-ab7b2c124410,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
4aeb724b-5fc7-463d-a712-1687d81dd1c8,2f8e3aaf-de0b-4bfe-934e-c95f1ff18e5c,,3,Policy Discussion #3,Review supporting documents.,,789a67f3-d8a7-4fda-831b-4de9c3df02a6,555517e5-41ad-46a5-bb4f-e315d794b42c,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
06c7400d-ebf1-47dc-9de9-fd3dfc12407d,2f8e3aaf-de0b-4bfe-934e-c95f1ff18e5c,,4,Assessment Alignment #4,Review supporting documents.,20,536233a9-cd36-4196-8a8f-d9fa00ecef17,c894ba90-508a-4469-803f-43628883649b,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
caaf0582-638f-411e-ba00-d0fe6e99e1be,2f8e3aaf-de0b-4bfe-934e-c95f1ff18e5c,,5,Curriculum Review #5,Public comment period included.,45,f0ac1e00-473c-4354-a9ba-de4085aae6bc,6d87b2c8-053d-4e5a-af40-b88ee0bb8280,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
2db77678-a433-4967-b31a-5928ee8cab13,2f8e3aaf-de0b-4bfe-934e-c95f1ff18e5c,4aeb724b-5fc7-463d-a712-1687d81dd1c8,6,Action Items #6,Public comment period included.,30,465812be-c498-4ae6-8ab2-0cb20bcf9d04,10bfd06c-52c4-4b81-90bb-574215977654,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
58261646-f557-40d7-bcbc-8999ea733af6,2f8e3aaf-de0b-4bfe-934e-c95f1ff18e5c,,7,Opening Remarks #7,Public comment period included.,,95eae8e1-6afb-4a5c-b0a5-90b54dfb482b,2eae2930-5b07-417a-9ff6-6411f2a82794,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
471d0bbc-6fce-4334-a115-d46e56701e8c,4c1fd96d-bf3c-4a4e-b1df-35410218aa01,,1,Old Business #1,,60,2aee4afe-9e78-4ab4-96e4-4c00792dda55,c9b21c87-1783-4fb8-9fca-5da0441d884b,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
588b64f7-a4ff-46d8-bca6-16916f5c075f,4c1fd96d-bf3c-4a4e-b1df-35410218aa01,,2,Community Input #2,Public comment period included.,,0f4409c2-2aea-4ad4-97f0-fa0808e43b23,6af423c3-dbe2-4bf0-a5c6-be4e828876dc,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
