building_code,space_code,tag,serial_no,manufacturer,model,category,status,install_date,warranty_expires_at,expected_life_months,attributes
FAC-109-BLDG-02,108,ASSET-000024,CDM553748,Hobart,Q645E,Dishwasher,Spare,2014-02-03,2018-03-01,120,
FAC-109-BLDG-02,111,ASSET-000025,UNR202235,Axis,R422D,Security Camera,In Service,2018-06-23,2021-08-15,84,"{""resolution_mp"": 4}"
FAC-109-BLDG-02,204,ASSET-000026,KUY085492,Dell,M340E,Laptop,In Service,2014-04-07,2018-04-13,48,
FAC-109-BLDG-02,202,ASSET-000027,SVT899595,Hanwha,Q424B,Security Camera,In Service,2021-10-12,2026-05-20,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-02,,ASSET-000028,KUV200593,True,X323D,Refrigerator (Kitchen),In Service,2006-02-21,2010-10-17,180,
FAC-109-BLDG-02,112,ASSET-000029,SPF671671,Epson,Q101A,Projector,Under Repair,2016-09-07,2018-04-16,72,
FAC-109-BLDG-02,103,ASSET-000030,SRC786197,Carrier,R937A,HVAC - AHU,In Service,2014-01-20,2018-10-05,240,"{""tonnage"": 20}"
FAC-109-BLDG-02,104,ASSET-000031,RVS479285,Lenovo,Z881E,Desktop Computer,In Service,2013-11-22,2018-03-19,60,
FAC-109-BLDG-02,,ASSET-000032,JMH432258,SMART,Z475D,Interactive Display,In Service,2012-01-28,2014-02-22,96,
FAC-109-BLDG-02,108,ASSET-000033,LAH426353,Carrier,M524D,HVAC - AHU,Retired,2011-04-27,2014-03-04,240,"{""tonnage"": 15}"
FAC-109-BLDG-02,105,ASSET-000034,YSE725759,Siemens,Z273D,Electrical Panel,Under Repair,2017-01-07,2019-04-17,300,
FAC-109-BLDG-02,101,ASSET-000035,SDW485441,Traulsen,X529C,Refrigerator (Kitchen),In Service,2012-12-12,2014-08-02,180,
FAC-109-BLDG-02,112,ASSET-000036,YCF545673,NEC,M561E,Projector,Spare,2016-12-29,2021-04-17,72,
FAC-109-BLDG-02,210,ASSET-000037,GBF514640,Ubiquiti,X907D,Wireless AP,In Service,2017-04-27,2022-04-05,60,"{""wifi"": ""802.11ac""}"
FAC-109-BLDG-02,108,ASSET-000038,ECF121075,Fortinet,Z275E,Router,Under Repair,2017-03-10,2020-08-25,84,
FAC-109-BLDG-02,104,ASSET-000039,QXT602685,ThyssenKrupp,Z425C,Elevator,In Service,2006-07-06,2011-04-12,300,
FAC-109-BLDG-02,202,ASSET-000040,EQR403368,Hanwha,X746E,Security Camera,In Service,2008-02-08,2011-11-18,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-03,111,ASSET-000041,NZR541376,SMART,M339C,Interactive Display,In Service,2019-02-05,2021-08-04,96,
FAC-109-BLDG-03,112,ASSET-000042,THA428196,Bosch,Q406D,Security Camera,In Service,2007-08-04,2010-03-23,84,"{""resolution_mp"": 5}"
FAC-109-BLDG-03,101,ASSET-000043,YNX827495,Bell & Gossett,Q925B,Pump,Under Repair,2017-04-26,2019-12-28,120,"{""gpm"": 300}"
FAC-109-BLDG-03,105,ASSET-000044,KYW923843,Daikin,Q443D,HVAC - RTU,In Service,2015-02-10,2018-04-10,180,"{""tonnage"": 50}"
FAC-109-BLDG-03,102,ASSET-000045,WLN474614,True,M055E,Refrigerator (Kitchen),Retired,2016-01-26,2020-07-24,180,
FAC-109-BLDG-03,109,ASSET-000046,RXM562622,Carrier,X365E,HVAC - AHU,In Service,2021-06-15,2026-01-02,240,"{""tonnage"": 5}"
FAC-109-BLDG-03,116,ASSET-000047,JLF461163,Promethean,X203A,Interactive Display,In Service,2012-07-02,2016-10-08,96,
FAC-109-BLDG-03,111,ASSET-000048,PBY929643,Brother,M684B,Printer,Retired,2012-10-28,2014-06-03,60,
FAC-109-BLDG-03,107,ASSET-000049,AWU997897,Lenovo,Z608B,Desktop Computer,In Service,2005-09-04,2008-08-25,60,
FAC-109-BLDG-03,107,ASSET-000050,XRH457027,Promethean,R768D,Interactive Display,In Service,2020-09-12,2024-09-20,96,
FAC-109-BLDG-03,,ASSET-000051,VTJ191987,Hanwha,Q828C,Security Camera,Retired,2011-03-01,2014-03-19,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-03,113,ASSET-000052,KRJ646936,SMART,Z137B,Interactive Display,In Service,2009-05-30,2013-01-04,96,
FAC-109-BLDG-03,102,ASSET-000053,FNK396557,HPE,X009A,Network Switch,Spare,2008-12-21,2010-07-11,84,"{""ports"": 48}"
FAC-109-BLDG-03,113,ASSET-000054,CSP933118,Aruba,X349E,Wireless AP,In Service,2008-10-18,2010-12-26,60,"{""wifi"": ""802.11ac""}"
FAC-109-BLDG-03,110,ASSET-000055,UEF831908,Epson,R215A,Projector,In Service,2020-09-30,2024-10-10,72,
FAC-109-BLDG-03,,ASSET-000056,AGD410435,Taco,Q137C,Pump,In Service,2018-09-11,2023-02-21,120,"{""gpm"": 300}"
FAC-109-BLDG-03,108,ASSET-000057,SMX006026,Brother,M904C,Printer,In Service,2016-05-15,2019-07-04,60,
FAC-109-BLDG-03,107,ASSET-000058,XPW484837,York,M471D,Chiller,In Service,2016-08-26,2021-05-19,240,"{""tonnage"": 7.5}"
FAC-109-BLDG-03,116,ASSET-000059,TVP553136,Carrier,Q080A,HVAC - AHU,In Service,2007-06-29,2008-10-11,240,"{""tonnage"": 20}"
FAC-109-BLDG-03,,ASSET-000060,CWJ758898,Brother,Z526B,Printer,In Service,2009-04-01,2013-05-15,60,
FAC-109-BLDG-04,209,ASSET-000061,JAW541607,Lenovo,Q217B,Laptop,In Service,2014-03-31,2017-10-15,48,
FAC-109-BLDG-04,107,ASSET-000062,UBB446425,ThyssenKrupp,Z958A,Elevator,In Service,2021-03-05,2023-10-06,300,
FAC-109-BLDG-04,102,ASSET-000063,AHF123071,Hanwha,M603C,Security Camera,In Service,2007-11-18,2010-03-03,84,"{""resolution_mp"": 5}"
FAC-109-BLDG-04,,ASSET-000064,HLK624919,Axis,Z744A,Security Camera,In Service,2008-03-12,2011-03-23,84,"{""resolution_mp"": 2}"
FAC-109-BLDG-04,113,ASSET-000065,FUB651739,SMART,M408D,Interactive Display,In Service,2020-05-08,2022-09-03,96,
FAC-109-BLDG-04,,ASSET-000066,MUU495668,Grundfos,R761D,Pump,In Service,2020-04-11,2023-09-28,120,"{""gpm"": 200}"
FAC-109-BLDG-04,210,ASSET-000067,LBV088654,Kohler,Z205B,Generator,In Service,2005-11-26,2007-02-18,240,"{""power_kw"": 200}"
FAC-109-BLDG-04,312,ASSET-000068,XJT512445,HID,Z410A,Access Control Panel,In Service,2015-04-20,2017-11-19,180,
FAC-109-BLDG-04,308,ASSET-000069,PKG896106,HPE,R063B,Network Switch,Spare,2016-09-14,2021-05-19,84,"{""ports"": 48}"
FAC-109-BLDG-04,212,ASSET-000070,VSV765643,Axis,M933D,Security Camera,In Service,2019-08-15,2021-10-26,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-04,309,ASSET-000071,UWX037131,Axis,Z108A,Security Camera,Under Repair,2006-05-15,2010-11-14,84,"{""resolution_mp"": 4}"
FAC-109-BLDG-04,305,ASSET-000072,UUF297916,Garland,X379D,Range/Oven,In Service,2013-10-12,2017-05-14,144,
FAC-109-BLDG-04,306,ASSET-000073,WBM397510,Bosch,M411D,Security Camera,In Service,2013-08-02,2017-06-18,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-04,104,ASSET-000074,BNF930986,Trane,Q243A,Chiller,In Service,2020-07-29,2021-10-15,240,"{""tonnage"": 50}"
FAC-109-BLDG-04,109,ASSET-000075,BGW575123,Brother,R174A,Printer,In Service,2014-03-31,2018-10-29,60,
FAC-109-BLDG-04,301,ASSET-000076,TGA351653,Cisco,Q456C,Wireless AP,Retired,2011-06-17,2015-04-21,60,"{""wifi"": ""802.11ac""}"
FAC-109-BLDG-04,101,ASSET-000077,JBF615713,Daikin,Q033D,HVAC - RTU,In Service,2009-03-31,2011-03-24,180,"{""tonnage"": 30}"
FAC-109-BLDG-04,212,ASSET-000078,YAE783338,Aruba,Q411D,Wireless AP,In Service,2022-11-04,2027-06-20,60,"{""wifi"": ""802.11ax""}"
FAC-109-BLDG-04,107,ASSET-000079,TXK944958,Hobart,Q313E,Dishwasher,In Service,2021-11-22,2025-04-21,120,
FAC-109-BLDG-04,304,ASSET-000080,QLS308392,Axis,M306B,Security Camera,Retired,2022-05-18,2023-10-18,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-05,209,ASSET-000081,SLD263901,Johnson Controls,M710E,HVAC - AHU,In Service,2015-05-06,2018-06-05,240,"{""tonnage"": 5}"
FAC-109-BLDG-05,205,ASSET-000082,AEN917726,Lenovo,X332E,Laptop,In Service,2012-08-24,2014-10-07,48,
FAC-109-BLDG-05,102,ASSET-000083,ZST522177,Juniper,X798E,Router,In Service,2015-07-22,2019-05-28,84,
FAC-109-BLDG-05,210,ASSET-000084,MZD803744,Lochinvar,R243C,Boiler,In Service,2010-10-08,2012-03-07,180,
FAC-109-BLDG-05,102,ASSET-000085,URE949011,Brother,R463E,Printer,In Service,2016-06-04,2021-05-26,60,
FAC-109-BLDG-05,202,ASSET-000086,DHN519167,Eaton,Q826C,Electrical Panel,In Service,2011-01-08,2012-04-01,300,
FAC-109-BLDG-05,206,ASSET-000087,PQA856328,Lochinvar,X972B,Boiler,In Service,2013-06-28,2014-11-24,180,
FAC-109-BLDG-05,,ASSET-000088,TTW913534,HP,M426B,Printer,In Service,2018-02-07,2019-11-22,60,
FAC-109-BLDG-05,211,ASSET-000089,VYT119484,Johnson Controls,Q849E,HVAC - AHU,In Service,2014-11-04,2018-09-04,240,"{""tonnage"": 7.5}"
FAC-109-BLDG-05,106,ASSET-000090,SGA112340,Epson,M025E,Projector,In Service,2011-01-23,2013-02-24,72,
FAC-109-BLDG-05,106,ASSET-000091,CZK739715,HP,M729D,Desktop Computer,In Service,2022-08-24,2023-11-11,60,
FAC-109-BLDG-05,106,ASSET-000092,HKQ855545,HPE,M181E,Network Switch,In Service,2023-04-16,2026-05-09,84,"{""ports"": 24}"
FAC-109-BLDG-05,203,ASSET-000093,MZU757516,Bell & Gossett,M776A,Pump,In Service,2015-02-19,2016-12-17,120,"{""gpm"": 100}"
FAC-109-BLDG-05,201,ASSET-000094,KEN648775,Generac,M714C,Generator,In Service,2008-10-23,2012-06-28,240,"{""power_kw"": 100}"
FAC-109-BLDG-05,204,ASSET-000095,SVG492299,SMART,M556E,Interactive Display,In Service,2007-11-08,2010-01-05,96,
FAC-109-BLDG-05,208,ASSET-000096,SKZ898227,Aruba,Z972A,Wireless AP,In Service,2013-09-28,2018-06-02,60,"{""wifi"": ""802.11ax""}"
FAC-109-BLDG-05,,ASSET-000097,QQF656047,Axis,Z596A,Security Camera,In Service,2006-05-17,2008-02-22,84,"{""resolution_mp"": 4}"
FAC-109-BLDG-05,211,ASSET-000098,GGB762780,Johnson Controls,R846D,HVAC - AHU,Spare,2014-04-16,2016-04-10,240,"{""tonnage"": 5}"
FAC-109-BLDG-05,109,ASSET-000099,AHQ934658,Aruba,R178B,Wireless AP,In Service,2012-05-09,2015-12-23,60,"{""wifi"": ""802.11ac""}"
FAC-109-BLDG-05,211,ASSET-000100,UPU188850,Bosch,X421D,Security Camera,In Service,2019-07-09,2021-04-21,84,"{""resolution_mp"": 4}"
FAC-109-BLDG-06,103,ASSET-000101,TAR601345,Epson,Z279B,Projector,Spare,2007-11-19,2010-08-16,72,
FAC-109-BLDG-06,106,ASSET-000102,ZJS978876,Bell & Gossett,Z294C,Pump,In Service,2006-01-01,2007-06-17,120,"{""gpm"": 300}"
FAC-109-BLDG-06,110,ASSET-000103,END846748,Carrier,Z918E,Chiller,In Service,2022-06-01,2025-12-15,240,"{""tonnage"": 15}"
FAC-109-BLDG-06,102,ASSET-000104,GAF047508,NEC,M563A,Projector,Retired,2013-01-27,2014-04-01,72,
FAC-109-BLDG-06,104,ASSET-000105,KWX366563,Cisco,R964E,Network Switch,In Service,2011-08-12,2014-10-24,84,"{""ports"": 24}"
FAC-109-BLDG-06,108,ASSET-000106,KFM118706,Notifier,R947C,Fire Alarm Panel,In Service,2023-04-24,2025-08-28,180,
FAC-109-BLDG-06,111,ASSET-000107,BLN771929,Cisco,M468B,Network Switch,In Service,2010-09-17,2015-01-23,84,"{""ports"": 48}"
FAC-109-BLDG-06,101,ASSET-000108,BYX964499,Axis,Z162B,Security Camera,In Service,2006-01-14,2009-12-23,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-06,103,ASSET-000109,HSV959512,York,X374E,Chiller,In Service,2009-02-27,2010-08-07,240,"{""tonnage"": 50}"
FAC-109-BLDG-06,106,ASSET-000110,QWE775483,Siemens,X712D,Electrical Panel,Retired,2023-04-27,2025-07-03,300,
FAC-109-BLDG-06,107,ASSET-000111,EXP735325,Kohler,X942D,Generator,In Service,2021-06-14,2025-01-30,240,"{""power_kw"": 100}"
FAC-109-BLDG-06,105,ASSET-000112,GYP413384,Axis,Z452A,Security Camera,In Service,2008-04-20,2011-03-12,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-06,104,ASSET-000113,TMY560089,Lenovo,R417A,Desktop Computer,In Service,2006-07-09,2007-07-22,60,
FAC-109-BLDG-06,102,ASSET-000114,RYX605407,Axis,X124A,Security Camera,In Service,2017-03-26,2018-04-30,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-06,109,ASSET-000115,VGK345926,Trane,X011C,HVAC - AHU,Under Repair,2008-12-31,2013-08-22,240,"{""tonnage"": 5}"
FAC-109-BLDG-06,109,ASSET-000116,MLU580502,HPE,Z500A,Network Switch,Spare,2010-12-13,2014-08-12,84,"{""ports"": 24}"
FAC-109-BLDG-06,110,ASSET-000117,HZQ773012,Ubiquiti,Q850E,Wireless AP,Under Repair,2014-12-08,2019-09-24,60,"{""wifi"": ""802.11ax""}"
FAC-109-BLDG-06,101,ASSET-000118,ZBL837937,LenelS2,R197C,Access Control Panel,In Service,2017-07-13,2021-01-20,180,
FAC-109-BLDG-06,112,ASSET-000119,UHF023713,Bosch,M315B,Security Camera,In Service,2021-08-11,2022-08-21,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-06,106,ASSET-000120,NCC557804,Cummins,R104C,Generator,In Service,2007-05-29,2011-07-17,240,"{""power_kw"": 75}"
FAC-209-BLDG-01,110,ASSET-000121,DEG273974,Eaton,M612B,Electrical Panel,In Service,2013-05-24,2014-12-29,300,
FAC-209-BLDG-01,112,ASSET-000122,JVW913923,Lochinvar,Q368B,Boiler,Retired,2016-07-03,2019-02-19,180,
FAC-209-BLDG-01,116,ASSET-000123,KCP556594,BenQ,M523E,Projector,In Service,2013-10-30,2016-06-17,72,
FAC-209-BLDG-01,112,ASSET-000124,LKL555984,Garland,R132A,Range/Oven,In Service,2015-08-07,2020-07-12,144,
FAC-209-BLDG-01,103,ASSET-000125,DQP669371,Ubiquiti,M912D,Wireless AP,In Service,2018-09-07,2022-07-18,60,"{""wifi"": ""802.11ac""}"
FAC-209-BLDG-01,111,ASSET-000126,ZMH908733,Bosch,Z466A,Security Camera,In Service,2011-12-23,2015-09-07,84,"{""resolution_mp"": 2}"
FAC-209-BLDG-01,102,ASSET-000127,AJC897553,York,R400D,Chiller,In Service,2013-04-19,2015-08-06,240,"{""tonnage"": 30}"
FAC-209-BLDG-01,116,ASSET-000128,LLA227757,Dell,X637E,Laptop,In Service,2015-06-17,2018-04-14,48,
FAC-209-BLDG-01,111,ASSET-000129,QJW687260,Kohler,Q565D,Generator,In Service,2021-01-07,2023-05-10,240,"{""power_kw"": 75}"
FAC-209-BLDG-01,113,ASSET-000130,ERS695413,Weil-McLain,R541B,Boiler,In Service,2022-06-17,2025-06-21,180,
FAC-209-BLDG-01,116,ASSET-000131,SKW400722,Juniper,X895C,Router,In Service,2019-11-22,2023-06-15,84,
FAC-209-BLDG-01,109,ASSET-000132,JVA759187,Aruba,M117E,Wireless AP,In Service,2022-12-09,2026-06-17,60,"{""wifi"": ""802.11ac""}"
FAC-209-BLDG-01,112,ASSET-000133,SWQ467885,Bosch,Q182D,Security Camera,In Service,2010-04-11,2014-04-18,84,"{""resolution_mp"": 5}"
FAC-209-BLDG-01,111,ASSET-000134,DUK026711,Aruba,M959E,Wireless AP,In Service,2018-02-10,2022-11-25,60,"{""wifi"": ""802.11ac""}"
FAC-209-BLDG-01,115,ASSET-000135,UKT684458,Kohler,R630D,Generator,Under Repair,2021-07-28,2025-02-20,240,"{""power_kw"": 250}"
FAC-209-BLDG-01,,ASSET-000136,MHG518787,HPE,Q739E,Network Switch,In Service,2009-08-14,2013-03-12,84,"{""ports"": 24}"
FAC-209-BLDG-01,112,ASSET-000137,XHW803066,Promethean,M949E,Interactive Display,In Service,2009-08-19,2012-05-05,96,
FAC-209-BLDG-01,101,ASSET-000138,FSA689410,Brother,R704A,Printer,In Service,2007-04-10,2008-11-04,60,
FAC-209-BLDG-01,106,ASSET-000139,DNA647614,Bell & Gossett,X771E,Pump,In Service,2018-10-16,2020-04-10,120,"{""gpm"": 100}"
FAC-209-BLDG-01,114,ASSET-000140,GCP667686,Epson,M393A,Projector,In Service,2012-01-19,2016-06-13,72,
FAC-209-BLDG-02,110,ASSET-000141,FRB803338,HP,R772B,Desktop Computer,In Service,2011-05-30,2016-03-27,60,
FAC-209-BLDG-02,101,ASSET-000142,UNR547056,Dell,X020A,Laptop,In Service,2016-09-17,2018-02-25,48,
FAC-209-BLDG-02,112,ASSET-000143,BST800446,Lochinvar,M368D,Boiler,In Service,2007-01-11,2011-09-19,180,
FAC-209-BLDG-02,105,ASSET-000144,NVG378718,Trane,X104B,Chiller,In Service,2014-01-12,2016-07-22,240,"{""tonnage"": 10}"
FAC-209-BLDG-02,,ASSET-000145,WED786170,BenQ,Q645A,Projector,Spare,2023-05-22,2025-10-03,72,
FAC-209-BLDG-02,115,ASSET-000146,XTL347203,Weil-McLain,Z198C,Boiler,In Service,2022-06-25,2024-06-26,180,
FAC-209-BLDG-02,101,ASSET-000147,WHP025364,ThyssenKrupp,Q904B,Elevator,In Service,2012-08-06,2014-09-10,300,
FAC-209-BLDG-02,109,ASSET-000148,JWX906871,Taco,R204B,Pump,In Service,2018-04-27,2021-09-02,120,"{""gpm"": 50}"
FAC-209-BLDG-02,114,ASSET-000149,SJZ001805,Cisco,R098C,Wireless AP,In Service,2020-09-24,2023-01-21,60,"{""wifi"": ""802.11ax""}"
FAC-209-BLDG-02,109,ASSET-000150,EUQ114459,NEC,R732A,Projector,In Service,2016-09-30,2020-05-05,72,
FAC-209-BLDG-02,114,ASSET-000151,WDT930281,Cisco,Q376B,Wireless AP,Retired,2013-07-09,2017-08-20,60,"{""wifi"": ""802.11ac""}"
FAC-209-BLDG-02,114,ASSET-000152,ZDV366528,Cisco,M810E,Network Switch,In Service,2022-03-20,2024-04-27,84,"{""ports"": 48}"
FAC-209-BLDG-02,,ASSET-000153,BYL743439,HP,X881E,Printer,In Service,2013-08-29,2015-06-29,60,
FAC-209-BLDG-02,108,ASSET-000154,CKL672950,Ubiquiti,R648C,Wireless AP,In Service,2007-08-31,2010-09-04,60,"{""wifi"": ""802.11ax""}"
FAC-209-BLDG-02,105,ASSET-000155,FXU095799,Aruba,Q531B,Wireless AP,In Service,2008-12-05,2011-04-12,60,"{""wifi"": ""802.11ac""}"
FAC-209-BLDG-02,102,ASSET-000156,EFH735735,Schneider Electric,M939E,Electrical Panel,In Service,2019-06-10,2023-03-14,300,
FAC-209-BLDG-02,114,ASSET-000157,AYE179830,Trane,M022C,HVAC - AHU,In Service,2020-06-26,2022-02-08,240,"{""tonnage"": 50}"
FAC-209-BLDG-02,113,ASSET-000158,HDD979619,Bosch,Q393A,Security Camera,In Service,2009-11-24,2012-11-23,84,"{""resolution_mp"": 4}"
FAC-209-BLDG-02,108,ASSET-000159,YKZ906992,HP,Z617E,Desktop Computer,In Service,2012-07-14,2014-04-28,60,
FAC-209-BLDG-02,113,ASSET-000160,RXL220210,NEC,Q180D,Projector,In Service,2007-03-26,2010-08-01,72,
FAC-209-BLDG-03,103,ASSET-000161,PUF470021,Promethean,Q338D,Interactive Display,In Service,2015-03-30,2017-02-21,96,
FAC-209-BLDG-03,114,ASSET-000162,RQL039459,Cisco,Z987C,Wireless AP,In Service,2008-11-05,2011-06-04,60,"{""wifi"": ""802.11ac""}"
FAC-209-BLDG-03,106,ASSET-000163,CVR402694,Trane,Z540A,HVAC - AHU,In Service,2006-01-22,2009-04-15,240,"{""tonnage"": 30}"
FAC-209-BLDG-03,110,ASSET-000164,LGM220760,Weil-McLain,X518B,Boiler,In Service,2011-07-09,2014-11-02,180,
FAC-209-BLDG-03,107,ASSET-000165,SYP223805,Carrier,Z035E,Chiller,In Service,2010-11-05,2015-08-23,240,"{""tonnage"": 7.5}"
FAC-209-BLDG-03,109,ASSET-000166,EBB628153,Cisco,Q491B,Router,In Service,2022-02-28,2023-08-25,84,
FAC-209-BLDG-03,111,ASSET-000167,SQU115591,Cummins,M859A,Generator,In Service,2006-03-06,2007-09-28,240,"{""power_kw"": 200}"
FAC-209-BLDG-03,,ASSET-000168,EKQ643860,LenelS2,Q265C,Access Control Panel,In Service,2017-08-21,2020-09-21,180,
FAC-209-BLDG-03,110,ASSET-000169,FHT737604,Bosch,Z886E,Security Camera,Spare,2014-07-13,2018-03-31,84,"{""resolution_mp"": 5}"
FAC-209-BLDG-03,106,ASSET-000170,WXA188249,Trane,M135A,HVAC - AHU,In Service,2017-07-08,2020-07-31,240,"{""tonnage"": 20}"
FAC-209-BLDG-03,104,ASSET-000171,EWQ318762,KONE,R103C,Elevator,In Service,2020-01-04,2024-03-19,300,
FAC-209-BLDG-03,110,ASSET-000172,AUU096602,Cisco,Q662C,Wireless AP,Under Repair,2016-10-23,2021-10-21,60,"{""wifi"": ""802.11ax""}"
FAC-209-BLDG-03,102,ASSET-000173,NQQ099855,Simplex,Q842B,Fire Alarm Panel,In Service,2008-04-24,2009-12-01,180,
FAC-209-BLDG-03,108,ASSET-000174,XHD788866,HPE,Q682D,Network Switch,In Service,2007-06-27,2008-08-17,84,"{""ports"": 48}"
FAC-209-BLDG-03,112,ASSET-000175,VJT664933,Bosch,Q475E,Security Camera,In Service,2008-11-29,2013-01-15,84,"{""resolution_mp"": 2}"
FAC-209-BLDG-03,,ASSET-000176,SJC373732,Brother,X287A,Printer,In Service,2021-01-08,2024-08-28,60,
FAC-209-BLDG-03,107,ASSET-000177,WKH081245,Ubiquiti,M908C,Network Switch,Spare,2013-05-26,2015-03-15,84,"{""ports"": 24}"
FAC-209-BLDG-03,,ASSET-000178,GUE747066,Epson,M616A,Projector,In Service,2012-12-15,2016-02-08,72,
FAC-209-BLDG-03,103,ASSET-000179,ESR263135,Hanwha,X303E,Security Camera,In Service,2022-08-21,2025-04-22,84,"{""resolution_mp"": 8}"
FAC-209-BLDG-03,108,ASSET-000180,ZMU198029,Lenovo,M546A,Desktop Computer,In Service,2023-03-04,2027-06-23,60,
FAC-209-BLDG-04,109,ASSET-000181,BZR606435,Hanwha,R082C,Security Camera,In Service,2020-03-24,2022-05-18,84,"{""resolution_mp"": 2}"
FAC-209-BLDG-04,106,ASSET-000182,LXN627467,Bosch,M156D,Security Camera,Under Repair,2019-02-20,2022-02-22,84,"{""resolution_mp"": 5}"
FAC-209-BLDG-04,102,ASSET-000183,ASX861057,Axis,X429B,Security Camera,In Service,2017-12-03,2022-07-14,84,"{""resolution_mp"": 5}"
FAC-209-BLDG-04,108,ASSET-000184,VHT070861,Brother,M010B,Printer,In Service,2013-11-05,2018-05-01,60,
FAC-209-BLDG-04,105,ASSET-000185,KWV671609,Bosch,Q149B,Security Camera,In Service,2014-05-01,2018-08-22,84,"{""resolution_mp"": 8}"
FAC-209-BLDG-04,106,ASSET-000186,TXM484060,Dell,R768E,Desktop Computer,Spare,2011-11-22,2016-02-14,60,
FAC-209-BLDG-04,107,ASSET-000187,TMR618860,Cleaver-Brooks,Q566C,Boiler,Retired,2012-04-28,2015-12-15,180,
FAC-209-BLDG-04,,ASSET-000188,FRK248484,Axis,X429A,Security Camera,In Service,2012-07-04,2017-03-03,84,"{""resolution_mp"": 8}"
