id,student_id,section_meeting_id,date,code,minutes,notes,created_at,updated_at
73edc831-35ee-4272-a617-8a3102717d5f,a5a7c462-ea1e-4445-ae62-ac43a0d63a7f,29ae0775-0c78-4069-8d1e-d8fc55337e70,2025-06-11,SA,60,Excused absence,2025-09-05T17:34:23.308441+00:00,2025-09-05T17:34:23.308441+00:00
0b538578-197c-450d-bb0b-95715b2a9634,739d9103-c19c-4bd6-9885-8ca94d530ec1,570196eb-cb12-4681-9c12-3065d5920193,2025-06-17,A-EXC,45,Left early for appointment,2025-09-05T17:34:23.308460+00:00,2025-09-05T17:34:23.308460+00:00
49489373-3e12-497a-80cd-ec9f96b3bc6f,130bac8c-248c-4f46-ad42-c4854bd2e630,8a714544-78ba-448c-bb95-a1afdba14d7c,2025-08-18,ED-EXC,45,Left early for appointment,2025-09-05T17:34:23.308480+00:00,2025-09-05T17:34:23.308480+00:00
fc3dcea3-76c6-4bfe-ad22-8ea405d03382,8c7e92ed-d98a-4de5-b353-3539711d623d,29455b37-7287-476a-8df5-6e8035761dac,2025-07-06,ED-UNX,15,Left early for appointment,2025-09-05T17:34:23.308498+00:00,2025-09-05T17:34:23.308498+00:00
85a0fa16-3370-4186-bd2c-d7d0a7b3069a,a5a7c462-ea1e-4445-ae62-ac43a0d63a7f,028cc8d3-63a2-48b4-abf9-78b69805cbb6,2025-08-21,A-EXC,30,Left early for appointment,2025-09-05T17:34:23.308519+00:00,2025-09-05T17:34:23.308519+00:00
c8ca5e2e-dd33-4986-b681-049972bde951,81c62899-b0e4-4cf7-8d93-6bf550ab66d3,55e61263-8733-4439-b601-d4cccdb2b7ad,2025-05-27,OSS,45,Left early for appointment,2025-09-05T17:34:23.308538+00:00,2025-09-05T17:34:23.308538+00:00
a81f571b-8534-4171-a768-8dafbba6e4e3,6122ff63-dbfd-40f4-81ee-e93f9190d653,fc2d3b19-78b3-4984-b784-70cf813c9f7a,2025-03-13,ED-EXC,,Excused absence,2025-09-05T17:34:23.308558+00:00,2025-09-05T17:34:23.308558+00:00
ad2b8383-93f5-442a-8a98-fd8371ec05db,c151150b-a12c-41a0-a43f-8357bc1e8c20,570196eb-cb12-4681-9c12-3065d5920193,2025-07-29,A-EXC,5,Parent called,2025-09-05T17:34:23.308577+00:00,2025-09-05T17:34:23.308577+00:00
2977ad4b-d70e-4d86-871f-29ed35918c87,3ef0b431-dbb8-4fe9-a50d-4e57d7928965,27b0d827-82ab-419f-9de9-a9f11f8882c5,2025-08-29,QUA,,Tardy due to bus delay,2025-09-05T17:34:23.308598+00:00,2025-09-05T17:34:23.308598+00:00
ae53ad3d-d77f-408b-b35b-6e80b98b9991,5fdd5c1a-1196-4433-ab63-622cec4994a7,bd366620-5707-4ee7-965e-8596c0a4a698,2025-07-04,FAM,5,,2025-09-05T17:34:23.308617+00:00,2025-09-05T17:34:23.308617+00:00
43fd686f-6839-496a-bc87-a7259d785fdd,1faa09eb-9b75-42a4-8573-529fcb02c2b1,e5092691-a207-4f5e-b14b-658067b1a183,2025-07-30,T-EXC,45,Left early for appointment,2025-09-05T17:34:23.308637+00:00,2025-09-05T17:34:23.308637+00:00
f262679a-a923-44e8-8bd2-2727dfb5b5df,0d9bb4ec-9b0e-451e-a6a5-93b776f34233,74a0194f-1737-490f-a1f9-a69beda3b268,2025-05-06,P,60,Left early for appointment,2025-09-05T17:34:23.308657+00:00,2025-09-05T17:34:23.308657+00:00
b1a56620-b131-46df-8a1f-7a157aa93c17,5fdd5c1a-1196-4433-ab63-622cec4994a7,bd366620-5707-4ee7-965e-8596c0a4a698,2025-05-17,SA,10,Tardy due to bus delay,2025-09-05T17:34:23.308677+00:00,2025-09-05T17:34:23.308677+00:00
aeb8e708-932b-4c55-859e-633bcb30699d,6df281b6-9e3e-4efb-a0fa-16b5b0fae2ab,df05b278-40fc-43a1-992f-845c832f1434,2025-04-10,ED-EXC,,Tardy due to bus delay,2025-09-05T17:34:23.308697+00:00,2025-09-05T17:34:23.308697+00:00
e908aa30-673b-46fb-8012-c56cbb09f548,56c29032-427b-42e9-855a-f420c89ebb64,e28e3490-3826-4596-a7ca-ec953d033576,2025-07-22,ED-UNX,45,Parent called,2025-09-05T17:34:23.308718+00:00,2025-09-05T17:34:23.308718+00:00
0e634b30-8c10-4582-a997-ac460c8dc2ec,891a7e69-73c7-4f9f-b38a-6bf90053de9c,719c0cc2-8224-462a-8bf6-d7b4b1af89ee,2025-09-03,P,45,Excused absence,2025-09-05T17:34:23.308737+00:00,2025-09-05T17:34:23.308737+00:00
9a341155-92c4-4563-a901-181ce8c3581c,6122ff63-dbfd-40f4-81ee-e93f9190d653,09eae51a-bc54-4bd3-bafa-c9060f47e306,2025-07-03,A-EXC,15,Parent called,2025-09-05T17:34:23.308758+00:00,2025-09-05T17:34:23.308758+00:00
7d8c080e-3711-481b-87f5-290e9c2a4d0f,8c7e92ed-d98a-4de5-b353-3539711d623d,6a20a591-98a7-4445-8674-826ad5fe6c79,2025-03-14,A-UNX,60,Parent called,2025-09-05T17:34:23.308777+00:00,2025-09-05T17:34:23.308777+00:00
fbe9c0d4-ee2a-47f7-b45c-5019f9cee6f6,e99454af-2372-4152-bba8-3c6bf9e53745,8ccb4d87-c63c-4dfd-bcf3-178f95e8d225,2025-04-14,A-EXC,0,Parent called,2025-09-05T17:34:23.308797+00:00,2025-09-05T17:34:23.308797+00:00
d4cdd79d-925d-4b0a-9fe1-22bad31263d2,9a19f3e4-370c-425f-b5f3-9f509eba2d16,45ef0aad-7a16-41c1-8a68-f0a847d61cf7,2025-07-29,P,30,,2025-09-05T17:34:23.308816+00:00,2025-09-05T17:34:23.308816+00:00
27c7e339-d679-456e-adb4-b350e23c2f9f,266955de-b5f6-4b0b-a9bd-71b12a555e17,eab02b10-3603-4b3c-8a0d-f100fcc46815,2025-04-21,SA,30,Parent called,2025-09-05T17:34:23.308835+00:00,2025-09-05T17:34:23.308835+00:00
5bc92661-b5bf-45b3-9177-b159928cec1e,5d8813cf-6b4b-4b4e-b1d5-0d9d6e1c5474,7778bc4c-6b4d-4138-81b7-edea39993cf8,2025-07-09,A-EXC,15,Left early for appointment,2025-09-05T17:34:23.308853+00:00,2025-09-05T17:34:23.308853+00:00
2e535096-b13f-4218-bc91-35d1e3329225,130bac8c-248c-4f46-ad42-c4854bd2e630,cfb8fb7a-191c-420c-bf76-1b6fdb031051,2025-07-03,ED-UNX,,,2025-09-05T17:34:23.308872+00:00,2025-09-05T17:34:23.308872+00:00
49000301-afd6-4f5c-b9ed-ac1f99b9a98d,1faa09eb-9b75-42a4-8573-529fcb02c2b1,85973a9b-f8bb-4247-9ad4-4879b672e454,2025-05-03,T-EXC,10,Excused absence,2025-09-05T17:34:23.308890+00:00,2025-09-05T17:34:23.308890+00:00
508c8b99-a9c2-4d2b-bc37-ecfb3966faa7,9a19f3e4-370c-425f-b5f3-9f509eba2d16,87b2e807-0ca0-4166-aca6-4ddfbb971058,2025-06-30,UN,30,Tardy due to bus delay,2025-09-05T17:34:23.308908+00:00,2025-09-05T17:34:23.308908+00:00
da615f92-b184-43c5-a364-6031713eb433,5b3a6cc6-895c-4df3-aaa3-1c4688986916,94208c55-747b-49d9-9501-0b7e078f5915,2025-05-21,SA,30,,2025-09-05T17:34:23.308926+00:00,2025-09-05T17:34:23.308926+00:00
46db5ee1-ad9c-4f4d-a645-e0fa92f23be2,8d32e9de-90b8-47c2-8220-e49110eeb2fa,36f6f3dc-adbd-48f8-a4a0-c6c6db52598f,2025-08-10,MED,15,Excused absence,2025-09-05T17:34:23.308944+00:00,2025-09-05T17:34:23.308944+00:00
2b491718-79fe-41d0-b411-a68550ae7792,6122ff63-dbfd-40f4-81ee-e93f9190d653,ee83157a-5763-4c95-b580-62307a5f405d,2025-06-04,ED-EXC,10,Left early for appointment,2025-09-05T17:34:23.308962+00:00,2025-09-05T17:34:23.308962+00:00
c73a5e60-2283-4a81-8a7e-cdbbb26a9970,9a19f3e4-370c-425f-b5f3-9f509eba2d16,97bbfe2f-39f0-4f54-a593-14c5cf6921f5,2025-05-31,T-EXC,45,Tardy due to bus delay,2025-09-05T17:34:23.308980+00:00,2025-09-05T17:34:23.308980+00:00
add21cb3-90aa-4555-ae95-90f6c7c15a7f,83d75f92-d03f-46d0-8b2e-2319a4cd4f19,c311cd15-786c-4489-bf3a-ceb6c4ac52a7,2025-03-12,ISS,45,Parent called,2025-09-05T17:34:23.308998+00:00,2025-09-05T17:34:23.308998+00:00
ab8a994b-e7af-49d5-bf2f-040bd9771ea7,dcb16f9b-cb82-4e94-8d3a-98576662a525,74a0194f-1737-490f-a1f9-a69beda3b268,2025-09-04,MED,10,Parent called,2025-09-05T17:34:23.309016+00:00,2025-09-05T17:34:23.309016+00:00
27b65cde-58a0-4709-80be-4323e9991a28,c151150b-a12c-41a0-a43f-8357bc1e8c20,55e61263-8733-4439-b601-d4cccdb2b7ad,2025-04-08,T-UNX,30,Excused absence,2025-09-05T17:34:23.309034+00:00,2025-09-05T17:34:23.309034+00:00
3100760e-5085-4465-af69-c51b54a3ae49,5fdd5c1a-1196-4433-ab63-622cec4994a7,ed393db3-a24a-4639-ac5d-c5f318d2dcdb,2025-04-03,A-EXC,0,Tardy due to bus delay,2025-09-05T17:34:23.309053+00:00,2025-09-05T17:34:23.309053+00:00
0b6b7bba-d704-4ee3-a8f1-bb68884dfe83,3ef0b431-dbb8-4fe9-a50d-4e57d7928965,d3095097-3416-49b7-8132-a5bcedbc5068,2025-06-10,UN,10,,2025-09-05T17:34:23.309071+00:00,2025-09-05T17:34:23.309071+00:00
c95edf18-e927-42e3-a028-b73a78f8775f,544e394a-b65c-499d-8919-81dfbd6eb6f7,b0872ca6-b94f-44f3-aa60-4ffe0b8b8aaf,2025-04-24,A-EXC,5,Excused absence,2025-09-05T17:34:23.309089+00:00,2025-09-05T17:34:23.309089+00:00
0ec34e1a-269d-4936-971f-c3aeda18504e,66698adf-142c-4225-8de9-fd613ed0d6b4,193674cd-d99f-4549-b97e-661e0505abb5,2025-04-19,ISS,0,Excused absence,2025-09-05T17:34:23.309107+00:00,2025-09-05T17:34:23.309107+00:00
490a68ff-a466-435e-acb3-12099368ec4f,6122ff63-dbfd-40f4-81ee-e93f9190d653,52f09e02-31a1-45d3-8623-f44ea8eade71,2025-05-12,MED,5,Tardy due to bus delay,2025-09-05T17:34:23.309126+00:00,2025-09-05T17:34:23.309126+00:00
aa668e4b-e22f-4440-94a3-f6f64209dd1d,a9299f20-a26d-4f77-8e7b-b79df3b0305a,819c71fc-a8c0-4bb4-ad10-acfd9184cc8a,2025-03-27,A-UNX,5,Left early for appointment,2025-09-05T17:34:23.309145+00:00,2025-09-05T17:34:23.309145+00:00
89a955a6-3629-4c65-bdfd-865b230be4d9,aab6fa5c-ceb8-4cbd-8af5-fc3989b4ef4e,a242137c-c382-4b9b-ae89-ebe02215bb9f,2025-04-21,OSS,60,Tardy due to bus delay,2025-09-05T17:34:23.309163+00:00,2025-09-05T17:34:23.309163+00:00
903dfdcd-154a-47af-8c9b-b80f37f0e215,a9299f20-a26d-4f77-8e7b-b79df3b0305a,1c8e2fc4-8979-4e69-a1fc-7e64c20f5a79,2025-07-28,UN,45,Left early for appointment,2025-09-05T17:34:23.309182+00:00,2025-09-05T17:34:23.309182+00:00
1b0121d6-75c1-48ce-b675-23c597ace040,5fdd5c1a-1196-4433-ab63-622cec4994a7,9569e346-7d23-4c25-9632-16596e8b2f47,2025-04-12,ED-EXC,5,Left early for appointment,2025-09-05T17:34:23.309200+00:00,2025-09-05T17:34:23.309200+00:00
73d08eb6-5373-4e77-883b-68f80133999e,544493a8-2346-46a3-bbfe-d7507ebbf876,1a2707b8-e56c-44d3-93a5-da3053d35641,2025-05-08,A-UNX,,Excused absence,2025-09-05T17:34:23.309218+00:00,2025-09-05T17:34:23.309218+00:00
8010566f-ad9d-4866-81be-308531509600,266955de-b5f6-4b0b-a9bd-71b12a555e17,e7e784a0-fb5d-432e-9afd-a7fb3701a6e1,2025-05-23,A-EXC,30,Parent called,2025-09-05T17:34:23.309237+00:00,2025-09-05T17:34:23.309237+00:00
a98103d2-5167-4555-94cc-6527192b5635,dcb16f9b-cb82-4e94-8d3a-98576662a525,8a714544-78ba-448c-bb95-a1afdba14d7c,2025-07-17,UN,60,,2025-09-05T17:34:23.309255+00:00,2025-09-05T17:34:23.309255+00:00
6740b266-70c7-4ca2-894c-d26de9818311,ee9634bf-b92f-4093-89ba-fe9f20ed2adb,950d5c66-e66d-4e73-9c98-51359c92a753,2025-05-01,T-EXC,15,Excused absence,2025-09-05T17:34:23.309273+00:00,2025-09-05T17:34:23.309273+00:00
c3500f0d-5666-4b56-b359-a787e3bec6af,e99454af-2372-4152-bba8-3c6bf9e53745,e989e0d8-5d27-4a79-bab8-e99ac9ce2a29,2025-04-11,ED-EXC,60,,2025-09-05T17:34:23.309292+00:00,2025-09-05T17:34:23.309292+00:00
6942301e-bb8f-433e-bce3-a430b5bcefcc,5b3a6cc6-895c-4df3-aaa3-1c4688986916,1f9f28dd-0b99-44a4-a133-75ec59e21467,2025-04-17,ED-EXC,0,Tardy due to bus delay,2025-09-05T17:34:23.309310+00:00,2025-09-05T17:34:23.309310+00:00
b0a919c4-d9ab-4d68-9f72-8004b4d9462d,1faa09eb-9b75-42a4-8573-529fcb02c2b1,762cf860-e28e-4240-8a0b-24b2adf4c290,2025-08-20,A-EXC,30,Tardy due to bus delay,2025-09-05T17:34:23.309328+00:00,2025-09-05T17:34:23.309328+00:00
41f9fdd2-cc8f-4865-bc0f-549c264100ed,a47736c6-6639-44c6-bfaf-f722b7f4ad20,52f09e02-31a1-45d3-8623-f44ea8eade71,2025-05-13,MED,30,Tardy due to bus delay,2025-09-05T17:34:23.309346+00:00,2025-09-05T17:34:23.309346+00:00
787eb87b-2d9a-46b2-b003-d47ce79a8b9e,891a7e69-73c7-4f9f-b38a-6bf90053de9c,f5e46cc1-e376-404a-82a9-a29f90355bc4,2025-08-05,QUA,10,Verified by office,2025-09-05T17:34:23.309364+00:00,2025-09-05T17:34:23.309364+00:00
e2bf5be9-a59d-4016-99a9-ff0e0a42f2f8,5b3a6cc6-895c-4df3-aaa3-1c4688986916,762cf860-e28e-4240-8a0b-24b2adf4c290,2025-04-08,A-EXC,10,Tardy due to bus delay,2025-09-05T17:34:23.309393+00:00,2025-09-05T17:34:23.309393+00:00
5466c50e-7d12-4b19-b500-5c352caedd15,c48e6e6a-28df-4744-b568-f19b3a4a7ac5,f753f660-f34d-4833-8a83-b4944532dd2e,2025-04-07,MED,,Excused absence,2025-09-05T17:34:23.309418+00:00,2025-09-05T17:34:23.309418+00:00
0ccc6a1c-d5cc-465e-919e-103481ccdaf2,5adbbd09-5b39-4bc3-9bf5-ace96a75ff95,07319508-5fa9-4eaa-82e3-b8f6b9a76309,2025-03-26,ISS,10,Tardy due to bus delay,2025-09-05T17:34:23.309438+00:00,2025-09-05T17:34:23.309438+00:00
28c36195-0580-4ce1-a1b9-b8e3576519bd,c0ad55d4-dc88-448c-bf92-e8e04cb4a6f0,57036141-808c-4afb-a055-d100d4a41c2c,2025-03-29,SA,30,Parent called,2025-09-05T17:34:23.309456+00:00,2025-09-05T17:34:23.309456+00:00
24ad58f6-f5aa-4b95-b854-f28f62c559ac,5b3a6cc6-895c-4df3-aaa3-1c4688986916,27b0d827-82ab-419f-9de9-a9f11f8882c5,2025-06-06,QUA,0,Verified by office,2025-09-05T17:34:23.309475+00:00,2025-09-05T17:34:23.309475+00:00
9d1259f9-1a04-45ae-b55e-e3c2a5937bdb,cc920ed3-341b-495c-bbbb-05c505d9a04c,7b0dedd7-bb58-412e-84c3-166b17e6ca5e,2025-03-19,A-EXC,10,Verified by office,2025-09-05T17:34:23.309493+00:00,2025-09-05T17:34:23.309493+00:00
8987a92d-ebfb-4cd5-8a42-70fcc58d0cde,ad8013c3-0d83-44f2-8577-addfed5bb9cf,ee83157a-5763-4c95-b580-62307a5f405d,2025-07-29,FAM,30,Tardy due to bus delay,2025-09-05T17:34:23.309511+00:00,2025-09-05T17:34:23.309511+00:00
0350426b-590a-4811-b9e9-8d19bdeffafc,1faa09eb-9b75-42a4-8573-529fcb02c2b1,060986ff-38e0-47a4-95a6-3d51030b1ab2,2025-08-16,SA,,Left early for appointment,2025-09-05T17:34:23.309529+00:00,2025-09-05T17:34:23.309529+00:00
c6b95cc6-fd9e-4207-aefa-8fb9c557754e,f788999c-6132-45da-85eb-827d975d8814,04ad5720-618b-422e-a0e1-7c3d3c634ae5,2025-08-29,ISS,60,Parent called,2025-09-05T17:34:23.309548+00:00,2025-09-05T17:34:23.309548+00:00
c732794d-0b84-49f9-b42e-fa20257ec9d8,cc920ed3-341b-495c-bbbb-05c505d9a04c,e989e0d8-5d27-4a79-bab8-e99ac9ce2a29,2025-08-04,QUA,0,Excused absence,2025-09-05T17:34:23.309566+00:00,2025-09-05T17:34:23.309566+00:00
5511d6b9-eb2a-42c4-a37a-bd08395957fa,1faa09eb-9b75-42a4-8573-529fcb02c2b1,1a2707b8-e56c-44d3-93a5-da3053d35641,2025-08-26,ED-EXC,10,Parent called,2025-09-05T17:34:23.309584+00:00,2025-09-05T17:34:23.309584+00:00
5156f73a-cefc-496e-a546-41a6cf5bb2f5,5497bab3-8c03-4960-b086-0852fffb6d0d,2a56419e-2554-477d-9e5f-2d2b1533d639,2025-04-14,QUA,10,Tardy due to bus delay,2025-09-05T17:34:23.309602+00:00,2025-09-05T17:34:23.309602+00:00
1c9998cc-b2fb-4cb6-bf4e-4cdd6d6d8575,482244a9-322c-414d-905e-4c180337d8a9,028cc8d3-63a2-48b4-abf9-78b69805cbb6,2025-08-18,SA,10,Left early for appointment,2025-09-05T17:34:23.309623+00:00,2025-09-05T17:34:23.309623+00:00
84a351a0-9fdd-4efc-95a7-77000e6aa2bf,ee9634bf-b92f-4093-89ba-fe9f20ed2adb,327497ee-d316-4692-8a15-6307b7209e62,2025-05-27,A-UNX,30,Left early for appointment,2025-09-05T17:34:23.309644+00:00,2025-09-05T17:34:23.309644+00:00
e937446d-e892-480b-8369-cab585e3c4b4,5fdd5c1a-1196-4433-ab63-622cec4994a7,513ad7ba-0a46-4359-9a3c-50b7a42a859f,2025-06-12,SA,0,Excused absence,2025-09-05T17:34:23.309662+00:00,2025-09-05T17:34:23.309662+00:00
72aca7d6-aabc-4cc0-b00c-b17bb3ef1081,c0ad55d4-dc88-448c-bf92-e8e04cb4a6f0,917fbd18-796b-415f-8c01-3906f571ddb2,2025-07-08,ED-EXC,60,Parent called,2025-09-05T17:34:23.309684+00:00,2025-09-05T17:34:23.309684+00:00
dc5020ea-4d7f-4f79-868d-dbea9f4123f7,93d8da2f-34c9-4523-bf1e-3d06d9cc9fd3,ef1b2b38-a919-4e45-92a9-748876694ea0,2025-06-17,A-UNX,60,Verified by office,2025-09-05T17:34:23.309705+00:00,2025-09-05T17:34:23.309705+00:00
bcfe48b4-2cc3-4838-95c3-c814689c4718,5497bab3-8c03-4960-b086-0852fffb6d0d,3c59426c-dee4-4669-9111-0f75c35ad107,2025-03-11,FAM,15,Verified by office,2025-09-05T17:34:23.309724+00:00,2025-09-05T17:34:23.309724+00:00
07d20b2d-4418-403d-a596-4b06d94ff5e2,482244a9-322c-414d-905e-4c180337d8a9,e28e3490-3826-4596-a7ca-ec953d033576,2025-06-25,ISS,60,,2025-09-05T17:34:23.309741+00:00,2025-09-05T17:34:23.309741+00:00
b784333b-8161-4840-8de2-155c15b37ec9,ad8013c3-0d83-44f2-8577-addfed5bb9cf,02725e9f-ac35-4725-8ec5-ca985b08c8e5,2025-08-06,FAM,15,Verified by office,2025-09-05T17:34:23.309759+00:00,2025-09-05T17:34:23.309759+00:00
fa1ed1ed-f6ea-41b8-8fdc-495eb233390c,544493a8-2346-46a3-bbfe-d7507ebbf876,9d60df03-ff47-4e96-be06-e7eaf035d197,2025-05-25,MED,,Excused absence,2025-09-05T17:34:23.309777+00:00,2025-09-05T17:34:23.309777+00:00
6ab9df75-effd-4539-9b0c-61c41f572d03,c151150b-a12c-41a0-a43f-8357bc1e8c20,3a7e28bf-66ac-439e-9536-bc214ac50d7b,2025-08-13,P,5,Verified by office,2025-09-05T17:34:23.309796+00:00,2025-09-05T17:34:23.309796+00:00
36679532-d4f8-4b80-ad45-54fc6412bf9f,3ef0b431-dbb8-4fe9-a50d-4e57d7928965,7b0dedd7-bb58-412e-84c3-166b17e6ca5e,2025-06-17,T-EXC,10,Excused absence,2025-09-05T17:34:23.309813+00:00,2025-09-05T17:34:23.309813+00:00
09c59078-9dce-40de-bc54-bdf861711f1f,8c7e92ed-d98a-4de5-b353-3539711d623d,010ddeeb-2ecc-4ef3-b3d3-7686c3898f24,2025-07-16,MED,0,Left early for appointment,2025-09-05T17:34:23.309831+00:00,2025-09-05T17:34:23.309831+00:00
78836429-bf94-44ff-a662-5f714672e901,8d32e9de-90b8-47c2-8220-e49110eeb2fa,21ac17b1-eda3-4f2e-b68e-42de8a37fe3d,2025-03-18,P,5,Left early for appointment,2025-09-05T17:34:23.309849+00:00,2025-09-05T17:34:23.309849+00:00
4a8c370d-4fe2-4201-ab94-ab7caba9c277,8d32e9de-90b8-47c2-8220-e49110eeb2fa,686ecafa-0952-4d2d-92d5-fc08e933a18c,2025-08-27,SA,15,,2025-09-05T17:34:23.309867+00:00,2025-09-05T17:34:23.309867+00:00
d6776815-f149-47d4-861a-b601296a0bfa,81c62899-b0e4-4cf7-8d93-6bf550ab66d3,df05b278-40fc-43a1-992f-845c832f1434,2025-08-04,ED-EXC,0,Parent called,2025-09-05T17:34:23.309885+00:00,2025-09-05T17:34:23.309885+00:00
641c2a17-3b01-4a2e-ace6-249eda5977f2,6ace31c2-2761-4594-bf27-05741275c293,60e87d88-fa66-4b23-95bb-904c8216e215,2025-05-30,T-EXC,10,Left early for appointment,2025-09-05T17:34:23.309903+00:00,2025-09-05T17:34:23.309903+00:00
f9a6af15-2a42-4eb7-b7e5-76d85023f1c6,544493a8-2346-46a3-bbfe-d7507ebbf876,0a796d39-03b7-4e08-9e40-2a459d272af5,2025-04-18,A-EXC,15,Verified by office,2025-09-05T17:34:23.309921+00:00,2025-09-05T17:34:23.309921+00:00
fde1afb6-bcb6-4d4a-805c-7795a899ac14,5d8813cf-6b4b-4b4e-b1d5-0d9d6e1c5474,8ccb4d87-c63c-4dfd-bcf3-178f95e8d225,2025-08-18,P,60,,2025-09-05T17:34:23.309940+00:00,2025-09-05T17:34:23.309940+00:00
bc0e555b-20f4-47eb-8730-5d0c66268bfe,c151150b-a12c-41a0-a43f-8357bc1e8c20,b818de0d-207e-4f40-a018-3bac5ac194e8,2025-04-19,ISS,,Left early for appointment,2025-09-05T17:34:23.309961+00:00,2025-09-05T17:34:23.309961+00:00
98c82db3-3ae7-42a4-925d-64e748823f24,ad8013c3-0d83-44f2-8577-addfed5bb9cf,e7f4ff0f-41ea-44ed-9146-54be2be71563,2025-05-31,ED-UNX,5,,2025-09-05T17:34:23.309980+00:00,2025-09-05T17:34:23.309980+00:00
6de4514e-0546-41c4-bf9d-85c64fe66eec,5d8813cf-6b4b-4b4e-b1d5-0d9d6e1c5474,55496547-dd2a-4f16-9afc-b8ee6ed000b1,2025-05-18,A-EXC,60,Excused absence,2025-09-05T17:34:23.309998+00:00,2025-09-05T17:34:23.309998+00:00
a350aa51-5ec0-4b42-8c2a-8e77000c3e52,c48e6e6a-28df-4744-b568-f19b3a4a7ac5,2a56419e-2554-477d-9e5f-2d2b1533d639,2025-08-09,T-EXC,15,Verified by office,2025-09-05T17:34:23.310017+00:00,2025-09-05T17:34:23.310017+00:00
