work_order_id,user_id,started_at,ended_at,hours,hourly_rate,cost,notes
f6a52872-98ae-4b83-a207-5b1950ad4a8e,98a34fc8-7b80-4347-8a79-b9471fbb1c30,2025-07-26T12:18:03.299720+00:00,2025-07-26T19:26:49.971238+00:00,7.15,35.00,250.25,Emergency call
d63ecde1-396c-4e62-997d-022c1eed758b,dc7b7002-d7e0-4091-8d61-83389b989f47,2025-07-08T03:25:03.299720+00:00,2025-07-08T10:13:34.508529+00:00,6.81,22.50,153.23,Routine maintenance
f0b03f01-f102-496c-bbb6-d91c3edfaa62,f96e6a50-1551-4286-989e-417112766d14,2025-08-29T10:12:03.299720+00:00,2025-08-29T13:24:27.877163+00:00,3.21,45.00,144.45,Follow-up
e9f6967d-4ca5-4a18-939e-a7d09a0e45d8,108f9d8f-e832-4445-9f41-ab75146b7544,2025-07-21T01:14:03.299720+00:00,2025-07-21T06:57:09.530239+00:00,5.72,22.50,128.70,Preventive check
034080bf-0183-4c49-b823-7706f13904cc,8b13fa81-0d4b-4169-9a44-79fd25914735,2025-08-04T00:07:03.299720+00:00,2025-08-04T05:59:15.878664+00:00,5.87,20.00,117.40,Emergency call
adeba49f-a250-4fd9-a609-8ff7d151280d,c883fc2d-8d5f-4742-b547-dbf9d5e0f9a7,2025-07-27T03:58:03.299720+00:00,2025-07-27T05:23:35.553910+00:00,1.43,45.00,64.35,Routine maintenance
edf8297e-ef15-41f2-a298-aad474f0c513,695515e0-5263-44d7-b4f9-93246f27de34,2025-07-22T02:31:03.299720+00:00,2025-07-22T08:29:17.712925+00:00,5.97,40.00,238.80,Routine maintenance
adeba49f-a250-4fd9-a609-8ff7d151280d,8c81a5aa-0232-4e5d-a2f7-41b6cdb826c3,2025-08-26T10:36:03.299720+00:00,2025-08-26T12:56:15.924677+00:00,2.34,45.00,105.30,Preventive check
a2dc1b50-e1ee-4e7b-b290-c710111c5e80,120d31ac-b1e6-41ad-85c9-3d8f8ce59a0b,2025-08-20T05:59:03.299720+00:00,2025-08-20T12:40:38.715329+00:00,6.69,20.00,133.80,Emergency call
75d80e6d-e4aa-468c-ab8f-b217c1b4600f,28383728-5699-4ca3-a3fc-816a1ae8b6c4,2025-07-25T16:10:03.299720+00:00,2025-07-26T00:08:23.496017+00:00,7.97,45.00,358.65,
36c47fe9-7155-49be-8b07-f06a3ad849bc,5bf23f35-9e9c-4fef-8d0f-39920685f364,2025-08-25T15:35:03.299720+00:00,2025-08-25T18:14:51.368018+00:00,2.66,22.50,59.85,Routine maintenance
ef7f5930-e523-41cc-a673-3e8e4bc49445,0efa4a2b-6659-4a73-8298-d4ede6900953,2025-08-05T17:26:03.299720+00:00,2025-08-05T19:50:16.788964+00:00,2.40,30.00,72.00,Emergency call
b60938df-f6b7-4953-9a8c-87e78a5ed83b,44bc9947-95d4-4a91-80c7-0675ebd0ae94,2025-07-22T07:13:03.299720+00:00,2025-07-22T12:34:23.387343+00:00,5.36,25.00,134.00,Routine maintenance
793ca4c8-9393-4924-9b18-e0621084c7b8,1ba7b25a-7ca1-40d4-8b2f-5c803fa95876,2025-08-07T12:58:03.299720+00:00,2025-08-07T14:35:05.822509+00:00,1.62,35.00,56.70,
f10203c7-356c-46a5-9da7-50d09dba4076,2010a88c-2cfb-4da9-894f-e8db6c55d95a,2025-08-16T22:35:03.299720+00:00,2025-08-17T04:15:58.630983+00:00,5.68,35.00,198.80,Follow-up
adeba49f-a250-4fd9-a609-8ff7d151280d,f4b449dc-51a9-46e4-922f-4304833406a7,2025-08-27T23:56:03.299720+00:00,2025-08-28T03:52:21.339996+00:00,3.94,35.00,137.90,Follow-up
108fa1fe-33c5-47b6-98af-7f79662b68c4,b0160713-a54a-499e-88d3-5c8d06ea7bb8,2025-08-10T13:30:03.299720+00:00,2025-08-10T15:38:23.075752+00:00,2.14,30.00,64.20,Emergency call
6e0a862a-f8ab-429c-b473-d04045bb5c53,5cd648ff-9b3f-4421-bbc6-edd41775793a,2025-08-21T12:45:03.299720+00:00,2025-08-21T16:56:53.803694+00:00,4.20,40.00,168.00,Preventive check
4b1aafd7-657a-49c5-93c5-24e9bb879786,e5c32794-901a-45fb-9738-a22cc7d0e0d1,2025-08-21T02:08:03.299720+00:00,2025-08-21T09:34:07.598948+00:00,7.43,27.50,204.33,Preventive check
713b4959-c2a1-408a-9961-712f3d699a90,a2bf22eb-df6b-412e-b676-e0d5811922db,2025-08-07T06:53:03.299720+00:00,2025-08-07T07:43:13.326252+00:00,0.84,50.00,42.00,Follow-up
5f46e7b8-ee69-4347-8f0d-eccf7318a0df,cf9b785e-1f59-45ae-8a9b-fa5c2c03bd19,2025-07-10T15:08:03.299720+00:00,2025-07-10T19:20:40.277995+00:00,4.21,22.50,94.73,
108fa1fe-33c5-47b6-98af-7f79662b68c4,13c2757b-d131-472d-a13d-e80247f017a2,2025-08-16T23:49:03.299720+00:00,2025-08-17T06:01:06.045053+00:00,6.20,22.50,139.50,Routine maintenance
ef7f5930-e523-41cc-a673-3e8e4bc49445,64ef8167-d9de-465a-8bef-22813d87583f,2025-08-04T09:23:03.299720+00:00,2025-08-04T12:23:01.429534+00:00,3.00,30.00,90.00,Preventive check
50d752da-adc7-45d4-a178-064a177b66d3,d95e0d52-1827-4e5b-9e00-164f6eb547f9,2025-08-24T04:17:03.299720+00:00,2025-08-24T05:57:00.738428+00:00,1.67,25.00,41.75,Follow-up
53c0c983-91d4-4a32-9c8f-134ffc9d503e,5e9d90d1-7c82-4eb3-b08e-f4b03a9352ae,2025-07-22T10:22:03.299720+00:00,2025-07-22T12:33:37.012785+00:00,2.19,45.00,98.55,Routine maintenance
ca9f9f32-9e39-4a3b-9ecf-a4f093974cac,1e96b3e5-e662-4ffa-93a0-d6362ef573cb,2025-07-20T14:48:03.299720+00:00,2025-07-20T17:31:34.162682+00:00,2.73,40.00,109.20,Follow-up
afd6fb15-4c1b-490a-aa89-e616368385af,ef24fa79-6178-41ac-8201-debc5690c5eb,2025-07-18T13:28:03.299720+00:00,2025-07-18T15:55:54.170475+00:00,2.46,50.00,123.00,Routine maintenance
afd6fb15-4c1b-490a-aa89-e616368385af,43e1fe26-0e6e-434c-b98a-06fe16b62b36,2025-09-04T17:06:03.299720+00:00,2025-09-04T19:41:31.327823+00:00,2.59,45.00,116.55,
034080bf-0183-4c49-b823-7706f13904cc,d95e0d52-1827-4e5b-9e00-164f6eb547f9,2025-07-10T05:04:03.299720+00:00,2025-07-10T09:58:26.650423+00:00,4.91,50.00,245.50,Emergency call
d9c89ce0-e4fc-4a97-bdf7-51db4d18f7ed,8a45b535-2bb5-46ee-b7ae-1e0c40a65200,2025-08-02T11:25:03.299720+00:00,2025-08-02T18:24:40.283358+00:00,6.99,30.00,209.70,Emergency call
427b81aa-1ea3-4027-bdf6-d9ff47a65084,d95e0d52-1827-4e5b-9e00-164f6eb547f9,2025-08-13T16:07:03.299720+00:00,2025-08-13T22:18:38.961095+00:00,6.19,22.50,139.28,Preventive check
cbc1cc57-fa62-4373-be58-6f14f1adfeb4,855f45ff-0dd7-47db-905a-578929bc86b0,2025-07-29T09:56:03.299720+00:00,2025-07-29T14:09:50.540013+00:00,4.23,30.00,126.90,Emergency call
441ba681-0a3e-42ab-96a1-d5c4ed075a84,3ee6e3c1-6746-4e20-922d-42b831943312,2025-08-04T10:35:03.299720+00:00,2025-08-04T17:28:22.517080+00:00,6.89,40.00,275.60,Emergency call
a9a3cbde-ae88-4db1-a021-4d124b673e1a,c883fc2d-8d5f-4742-b547-dbf9d5e0f9a7,2025-07-22T13:29:03.299720+00:00,2025-07-22T14:11:32.645162+00:00,0.71,27.50,19.53,Routine maintenance
8f904511-eee5-4a47-8305-957cc66123f1,daf064d7-69f4-4d37-a811-612eba497eb4,2025-07-11T23:52:03.299720+00:00,2025-07-12T04:16:41.896279+00:00,4.41,50.00,220.50,Routine maintenance
5540c0fb-ea49-4044-a38f-9aa65baafb34,53f61876-ef00-42cc-a097-6780df5d2060,2025-07-30T10:40:03.299720+00:00,2025-07-30T11:20:43.792098+00:00,0.68,20.00,13.60,Follow-up
202801c2-3b25-498e-8b9e-804305d2eced,df466c6b-2478-4336-b61a-4c42034f39db,2025-08-16T10:31:03.299720+00:00,2025-08-16T17:37:32.361772+00:00,7.11,25.00,177.75,Emergency call
908bfdc3-c0f1-4eff-b8ee-a125b8758e91,abf503f8-c7ee-46a6-9f1b-6d1249d1e5ef,2025-08-28T11:45:03.299720+00:00,2025-08-28T13:03:31.603124+00:00,1.31,30.00,39.30,Routine maintenance
5b642f46-878e-460a-960f-1ae9f781a573,855f45ff-0dd7-47db-905a-578929bc86b0,2025-08-20T01:06:03.299720+00:00,2025-08-20T04:04:48.198703+00:00,2.98,40.00,119.20,Follow-up
bb4e895c-059e-46ef-b734-f9d3f174c5b9,fe79f939-98e9-4b96-b68a-84f4d07fbe7a,2025-07-27T12:43:03.299720+00:00,2025-07-27T18:38:22.441935+00:00,5.92,35.00,207.20,
20fa223c-58ca-41a7-a621-2ef66b5d3f2d,20b20974-87af-431d-8746-dc5250c6caa8,2025-09-01T05:53:03.299720+00:00,2025-09-01T10:17:20.876893+00:00,4.40,50.00,220.00,Follow-up
25945968-578a-47fb-b976-14553f4133f0,d9139f75-0a50-4ae0-a111-6e688f48c4d4,2025-08-24T02:44:03.299720+00:00,2025-08-24T09:00:33.461549+00:00,6.28,30.00,188.40,Emergency call
dfb4c8de-6646-4eb7-8c5b-f89e1ecde3d2,4c41558f-7c2f-4d77-b870-f32959fa5754,2025-08-12T06:35:03.299720+00:00,2025-08-12T08:55:23.036608+00:00,2.34,25.00,58.50,Follow-up
427b81aa-1ea3-4027-bdf6-d9ff47a65084,56e83a0e-51e0-46c8-bf30-4365a7a6c694,2025-08-28T00:47:03.299720+00:00,2025-08-28T03:12:01.929563+00:00,2.42,27.50,66.55,
d66413da-b18d-4c39-9031-87fb563fbed6,fa365be7-9114-4e5a-99f7-42b6aa3ba386,2025-08-25T14:43:03.299720+00:00,2025-08-25T17:21:01.458929+00:00,2.63,50.00,131.50,Follow-up
f650e6f3-903b-43cd-8e33-81af33e88040,23d1856f-ff25-46c0-bfd4-507b638d8fc7,2025-07-09T03:54:03.299720+00:00,2025-07-09T11:12:55.070655+00:00,7.31,40.00,292.40,Preventive check
6e36bc8f-a8b7-44bb-b3c3-10faeef835cb,f71db15b-178d-4af6-98af-3d75695f1072,2025-07-11T10:45:03.299720+00:00,2025-07-11T12:02:25.883778+00:00,1.29,30.00,38.70,Follow-up
7e59f907-08a0-41fe-81d2-20de3a42f96b,bc29c855-19c7-4b4d-9583-f81b9922d6b3,2025-08-18T23:51:03.299720+00:00,2025-08-19T04:34:13.763639+00:00,4.72,27.50,129.80,Routine maintenance
4d0b96dd-5aca-464d-a9ed-7f86585c0fd1,cbcf13bd-2381-413e-a17d-59afceb8aab3,2025-07-18T11:21:03.299720+00:00,2025-07-18T14:53:38.949405+00:00,3.54,25.00,88.50,Routine maintenance
4b1aafd7-657a-49c5-93c5-24e9bb879786,4824b7db-1392-43be-898f-cfadc0ea7d08,2025-08-20T22:43:03.299720+00:00,2025-08-21T04:46:53.768226+00:00,6.06,20.00,121.20,Preventive check
1f3bee13-00bf-4396-898c-6c3eae369837,e5e8a532-9f85-48d2-957f-1d07fb69642a,2025-08-06T06:54:03.299720+00:00,2025-08-06T14:40:16.102275+00:00,7.77,35.00,271.95,Routine maintenance
427b81aa-1ea3-4027-bdf6-d9ff47a65084,abf503f8-c7ee-46a6-9f1b-6d1249d1e5ef,2025-08-28T07:59:03.299720+00:00,2025-08-28T12:13:01.714404+00:00,4.23,25.00,105.75,
b9d1613c-0733-4ccc-a9e9-5a92188a8a62,b925a6b2-3528-4c3d-b69e-63030cf9879e,2025-08-25T08:11:03.299720+00:00,2025-08-25T14:46:24.726374+00:00,6.59,50.00,329.50,Follow-up
c6147210-01d4-4354-b9c5-07039510e1da,2010a88c-2cfb-4da9-894f-e8db6c55d95a,2025-08-30T07:14:03.299720+00:00,2025-08-30T12:34:05.305928+00:00,5.33,25.00,133.25,Emergency call
b7bca7c2-03ce-42c9-8d30-673870866f16,98a34fc8-7b80-4347-8a79-b9471fbb1c30,2025-08-08T12:13:03.299720+00:00,2025-08-08T18:26:45.590445+00:00,6.23,25.00,155.75,Emergency call
b7bca7c2-03ce-42c9-8d30-673870866f16,79dbe26a-a110-45ff-8dc4-9fab323105cd,2025-08-04T16:20:03.299720+00:00,2025-08-04T19:00:38.014273+00:00,2.68,50.00,134.00,Routine maintenance
0e2f690a-a11d-4355-9253-2d80d1d7a1f8,ed576217-ea31-4547-8b27-5d938137e6fd,2025-09-03T22:51:03.299720+00:00,2025-09-04T04:32:07.820791+00:00,5.68,40.00,227.20,Preventive check
39d5f575-e6e1-4c36-8fa3-c1b678e1ea47,6e2e3220-771e-496b-842c-b6184642ba0e,2025-07-08T16:34:03.299720+00:00,2025-07-08T20:07:25.658263+00:00,3.56,20.00,71.20,
ae0b7abc-4de8-4755-b057-71679bcb921e,0e816fa1-fa57-4be1-9488-8f98eae02b12,2025-08-26T02:23:03.299720+00:00,2025-08-26T05:06:49.458319+00:00,2.73,35.00,95.55,Follow-up
5f46e7b8-ee69-4347-8f0d-eccf7318a0df,67b8e607-62a0-4fb9-b1a6-9a7b9fc413e3,2025-08-10T04:51:03.299720+00:00,2025-08-10T10:43:48.264652+00:00,5.88,45.00,264.60,Emergency call
b18d85ff-a079-43bb-a995-7c0a00e6d43d,23d1856f-ff25-46c0-bfd4-507b638d8fc7,2025-09-05T04:32:03.299720+00:00,2025-09-05T09:04:59.531255+00:00,4.55,30.00,136.50,Follow-up
3e8d2e6a-32b0-461a-96ae-afb5710abbbb,e5c32794-901a-45fb-9738-a22cc7d0e0d1,2025-07-24T15:52:03.299720+00:00,2025-07-24T23:00:13.470305+00:00,7.14,30.00,214.20,Preventive check
32017805-e5de-4f90-908f-8a02d1bee847,fde11642-9f8f-426f-aec4-2b900140a36e,2025-09-01T08:01:03.299720+00:00,2025-09-01T11:40:50.643424+00:00,3.66,45.00,164.70,Preventive check
7b0391cb-bfc7-409e-b8c1-21a2e30207b4,e49388ea-f441-4132-a3ab-d3ada593bdb6,2025-08-09T00:10:03.299720+00:00,2025-08-09T01:51:41.393850+00:00,1.69,27.50,46.48,Follow-up
7e59f907-08a0-41fe-81d2-20de3a42f96b,8c0c2384-4115-4cdb-9d7b-050b3abbdeb9,2025-07-10T11:20:03.299720+00:00,2025-07-10T14:35:45.506528+00:00,3.26,50.00,163.00,Routine maintenance
36c47fe9-7155-49be-8b07-f06a3ad849bc,c2e97d36-4837-46ef-82da-5c467ac80b42,2025-08-25T10:44:03.299720+00:00,2025-08-25T13:27:15.671898+00:00,2.72,22.50,61.20,Routine maintenance
598fc54f-47ea-4c17-81eb-9e563cac8cc1,5cd648ff-9b3f-4421-bbc6-edd41775793a,2025-07-18T06:08:03.299720+00:00,2025-07-18T08:37:15.407182+00:00,2.49,40.00,99.60,Emergency call
b980b6e2-5415-40f7-ae08-95fb4fbe795e,cbcf13bd-2381-413e-a17d-59afceb8aab3,2025-08-24T01:46:03.299720+00:00,2025-08-24T04:24:26.104985+00:00,2.64,35.00,92.40,Preventive check
75d80e6d-e4aa-468c-ab8f-b217c1b4600f,6799aa59-d754-46bf-80d0-b0a0b174ee74,2025-08-16T15:50:03.299720+00:00,2025-08-16T17:52:51.237696+00:00,2.05,20.00,41.00,Preventive check
54fc7208-c750-453c-b77a-d11064b52b64,85a0291a-5cb9-4820-928f-c62e3fd52dea,2025-07-11T11:29:03.299720+00:00,2025-07-11T16:27:30.630858+00:00,4.97,22.50,111.83,Emergency call
9ed63b26-c961-4055-a792-e36f676e5613,e8ddcdad-a0e4-4eec-9435-bbd109e0cdea,2025-08-19T08:20:03.299720+00:00,2025-08-19T14:58:29.096357+00:00,6.64,20.00,132.80,Preventive check
6b6ae594-3f71-44e6-95c3-9ed166681dfe,d8a93d9d-0b9b-437b-b8d7-6049e351bc82,2025-08-10T14:17:03.299720+00:00,2025-08-10T17:14:37.440647+00:00,2.96,30.00,88.80,
010203f9-4eca-421b-8aa0-3ad8394684a7,a01c1ef3-69e9-40d6-a61c-88decf7ecbab,2025-08-25T05:24:03.299720+00:00,2025-08-25T08:26:22.749063+00:00,3.04,45.00,136.80,Follow-up
d66413da-b18d-4c39-9031-87fb563fbed6,db0b0a1d-f3c7-4697-a069-e2216bca2392,2025-07-20T03:35:03.299720+00:00,2025-07-20T10:07:25.023488+00:00,6.54,35.00,228.90,
bbbb1012-967f-44b8-a092-8f8415cf5691,7c7521e8-a332-44b7-891e-55cb540a4508,2025-07-07T08:01:03.299720+00:00,2025-07-07T09:24:57.017157+00:00,1.40,30.00,42.00,Routine maintenance
8ab7fc5e-6ca0-4bc8-8494-87e6fefce9cd,adab39b6-1a8c-421e-8bcd-a008e40ca8a5,2025-08-06T10:23:03.299720+00:00,2025-08-06T18:20:52.693525+00:00,7.96,27.50,218.90,Follow-up
8b6ecf6f-fb1f-43a2-a90a-7604dbaccd59,16a9cc7a-b6dd-4223-8b16-ff511cefad8d,2025-08-21T09:27:03.299720+00:00,2025-08-21T10:33:51.098278+00:00,1.11,20.00,22.20,Preventive check
438a928e-ddf3-4177-9996-3573d6550c17,26ec65a3-ba51-46a9-b637-7f9e5e627959,2025-08-20T02:55:03.299720+00:00,2025-08-20T03:38:14.369947+00:00,0.72,40.00,28.80,Follow-up
d8e2ba39-d1f6-41b5-8297-0fdb5e5dbd16,be529f23-04c0-4348-9f4e-d8e91362b5ef,2025-08-25T14:24:03.299720+00:00,2025-08-25T21:02:22.819972+00:00,6.64,25.00,166.00,Routine maintenance
0e2f690a-a11d-4355-9253-2d80d1d7a1f8,24ae6129-6d36-4752-8e4d-c84001d311c6,2025-08-04T11:36:03.299720+00:00,2025-08-04T19:20:01.795119+00:00,7.73,20.00,154.60,Emergency call
6c882a1d-8358-4fb5-b091-e483eede23f6,1ba7b25a-7ca1-40d4-8b2f-5c803fa95876,2025-08-20T15:51:03.299720+00:00,2025-08-20T22:19:36.508269+00:00,6.48,30.00,194.40,Preventive check
3b78be55-493e-4f0d-942a-340ce189b0b8,67b8e607-62a0-4fb9-b1a6-9a7b9fc413e3,2025-08-18T23:28:03.299720+00:00,2025-08-19T02:54:48.524069+00:00,3.45,40.00,138.00,
dfb4c8de-6646-4eb7-8c5b-f89e1ecde3d2,7c7521e8-a332-44b7-891e-55cb540a4508,2025-08-08T22:37:03.299720+00:00,2025-08-09T05:24:58.433222+00:00,6.80,22.50,153.00,Follow-up
64b83a54-6a4c-4f6a-bb12-031c1b98856c,e337286d-6f7b-4c4a-87e0-c5f00db08e64,2025-07-20T05:03:03.299720+00:00,2025-07-20T12:19:56.953239+00:00,7.28,20.00,145.60,Follow-up
63872086-5041-4e81-9d31-3e471fabf0ac,99b26c26-271e-46b8-ada5-8ebbfd731615,2025-08-08T04:16:03.299720+00:00,2025-08-08T06:40:53.295916+00:00,2.41,22.50,54.23,
3b78be55-493e-4f0d-942a-340ce189b0b8,3d0151c9-7970-4384-8909-a8f26f09f969,2025-08-08T08:58:03.299720+00:00,2025-08-08T11:06:59.927811+00:00,2.15,22.50,48.38,Emergency call
d63ecde1-396c-4e62-997d-022c1eed758b,e49388ea-f441-4132-a3ab-d3ada593bdb6,2025-07-25T06:17:03.299720+00:00,2025-07-25T08:34:05.253384+00:00,2.28,22.50,51.30,Routine maintenance
6e36bc8f-a8b7-44bb-b3c3-10faeef835cb,da57019a-9993-4eb0-a499-a19bbce951a3,2025-07-14T23:15:03.299720+00:00,2025-07-15T05:21:38.936654+00:00,6.11,45.00,274.95,Emergency call
e9f6967d-4ca5-4a18-939e-a7d09a0e45d8,b0160713-a54a-499e-88d3-5c8d06ea7bb8,2025-08-27T06:21:03.299720+00:00,2025-08-27T12:45:44.970063+00:00,6.41,20.00,128.20,
5314ab7e-ad9a-45c8-b12a-0d657b46cb85,d9a316a4-c4b9-4aa5-bb13-474d7b77bcbf,2025-07-08T04:08:03.299720+00:00,2025-07-08T11:47:01.171100+00:00,7.65,22.50,172.13,
ef7f5930-e523-41cc-a673-3e8e4bc49445,39f46b01-f83a-4f04-99a0-2c4e63b3b83f,2025-08-03T13:08:03.299720+00:00,2025-08-03T16:42:56.334553+00:00,3.58,27.50,98.45,Emergency call
bf71ae64-6b10-411d-94ab-2979c1e6a499,8c0c2384-4115-4cdb-9d7b-050b3abbdeb9,2025-07-14T08:37:03.299720+00:00,2025-07-14T09:57:26.694850+00:00,1.34,27.50,36.85,Emergency call
f6a52872-98ae-4b83-a207-5b1950ad4a8e,4629abec-0668-4d4f-b24c-ed58c393c5cb,2025-08-15T04:25:03.299720+00:00,2025-08-15T09:39:24.102182+00:00,5.24,40.00,209.60,Routine maintenance
32017805-e5de-4f90-908f-8a02d1bee847,85a0291a-5cb9-4820-928f-c62e3fd52dea,2025-08-06T09:58:03.299720+00:00,2025-08-06T14:57:47.758688+00:00,5.00,27.50,137.50,Follow-up
6ef26841-e59e-44aa-93fd-77bb502ebaca,8bf4e999-c240-4113-975a-9fbe1700153e,2025-08-05T09:28:03.299720+00:00,2025-08-05T12:50:06.378492+00:00,3.37,30.00,101.10,Follow-up
5b642f46-878e-460a-960f-1ae9f781a573,018161f9-a0e0-4a83-bb12-07f36f72dd49,2025-08-11T23:16:03.299720+00:00,2025-08-12T06:31:06.796878+00:00,7.25,35.00,253.75,Routine maintenance
cada74b5-76e7-4555-aca5-1d8de523a483,24ae6129-6d36-4752-8e4d-c84001d311c6,2025-08-04T01:50:03.299720+00:00,2025-08-04T03:27:12.056559+00:00,1.62,45.00,72.90,Follow-up
e0742c13-9cf1-411f-9feb-0c39b0a0b2ce,44bc9947-95d4-4a91-80c7-0675ebd0ae94,2025-08-03T04:29:03.299720+00:00,2025-08-03T11:04:49.049601+00:00,6.60,45.00,297.00,Routine maintenance
f0b03f01-f102-496c-bbb6-d91c3edfaa62,95cec794-65fb-4056-ad26-b328e41b8960,2025-09-02T11:16:03.299720+00:00,2025-09-02T16:55:09.705099+00:00,5.65,50.00,282.50,
9aa355d9-22d3-4bd3-ac23-5f8e5c1c59c2,8a45b535-2bb5-46ee-b7ae-1e0c40a65200,2025-08-12T23:35:03.299720+00:00,2025-08-13T05:37:29.711995+00:00,6.04,25.00,151.00,Follow-up
7705e256-4531-4fdd-865b-df5dce6de89d,8b13fa81-0d4b-4169-9a44-79fd25914735,2025-07-23T10:25:03.299720+00:00,2025-07-23T11:13:13.320300+00:00,0.80,27.50,22.00,Emergency call
f6a52872-98ae-4b83-a207-5b1950ad4a8e,be4aaa2b-9773-4038-9a6a-d88426e26fbc,2025-07-26T11:46:03.299720+00:00,2025-07-26T15:57:26.802865+00:00,4.19,20.00,83.80,Emergency call
