asset_tag,facility_name,name,frequency,next_due_at,last_completed_at,active,procedure,attributes,created_at,updated_at
ASSET-000652,Dallas Center-Grimes Middle School,Calibration for ASSET-000652,semiannual,2025-11-24T01:22:17.493888Z,2025-04-07T01:22:17.493888Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""low"", ""est_minutes"": 90}",2025-08-31T01:22:17.493906Z,2025-08-31T01:22:17.493907Z
ASSET-000457,Dallas Center-Grimes Middle School,Cleaning for ASSET-000457,quarterly,2025-12-08T01:22:17.493911Z,2024-10-11T01:22:17.493911Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""medium"", ""est_minutes"": 90}",2025-08-31T01:22:17.493930Z,2025-08-31T01:22:17.493932Z
ASSET-000405,Dallas Center-Grimes High School,Inspection for ASSET-000405,semiannual,2025-11-15T01:22:17.493936Z,2025-08-21T01:22:17.493936Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""high"", ""est_minutes"": 45}",2025-08-31T01:22:17.493954Z,2025-08-31T01:22:17.493956Z
ASSET-000516,Dallas Center Elementary,Safety Check for ASSET-000516,annual,2025-10-13T01:22:17.493959Z,2025-03-01T01:22:17.493959Z,False,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""high"", ""est_minutes"": 30}",2025-08-31T01:22:17.493978Z,2025-08-31T01:22:17.493980Z
ASSET-000488,South Prairie Elementary,Filter Replacement for ASSET-000488,quarterly,2025-11-06T01:22:17.493983Z,2025-08-06T01:22:17.493983Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""low"", ""est_minutes"": 90}",2025-08-31T01:22:17.494002Z,2025-08-31T01:22:17.494003Z
ASSET-000060,DC-G Oak View,Filter Replacement for ASSET-000060,semiannual,2025-09-11T01:22:17.494007Z,2025-05-18T01:22:17.494007Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""low"", ""est_minutes"": 30}",2025-08-31T01:22:17.494024Z,2025-08-31T01:22:17.494026Z
ASSET-000471,DC-G Oak View,Inspection for ASSET-000471,monthly,2025-09-12T01:22:17.494033Z,2025-05-08T01:22:17.494033Z,False,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""low"", ""est_minutes"": 30}",2025-08-31T01:22:17.494050Z,2025-08-31T01:22:17.494052Z
ASSET-000687,North Ridge Elementary,Inspection for ASSET-000687,weekly,2025-11-26T01:22:17.494056Z,2025-06-17T01:22:17.494056Z,False,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""high"", ""est_minutes"": 45}",2025-08-31T01:22:17.494073Z,2025-08-31T01:22:17.494075Z
ASSET-000362,Dallas Center-Grimes High School,Inspection for ASSET-000362,annual,2025-11-03T01:22:17.494078Z,2024-09-20T01:22:17.494078Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""low"", ""est_minutes"": 30}",2025-08-31T01:22:17.494095Z,2025-08-31T01:22:17.494097Z
ASSET-000430,Dallas Center Elementary,Cleaning for ASSET-000430,quarterly,2025-09-11T01:22:17.494100Z,2025-06-19T01:22:17.494100Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""low"", ""est_minutes"": 60}",2025-08-31T01:22:17.494117Z,2025-08-31T01:22:17.494119Z
