school_name,building_name,space_name,asset_tag,status,priority,summary,description,converted_work_order_id,attributes,created_at,updated_at
North Ridge Elementary,Performing Arts Center,Office 313,ASSET-000605,completed,urgent,Water stain on ceiling,Water stain on ceiling — auto-generated request 03f03e.,,"{""source"":""kiosk"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-08-16T03:40:05Z,2025-08-18T12:40:05Z
DC-G Oak View,Field House,Classroom B102,ASSET-000627,triage,low,Water stain on ceiling,Water stain on ceiling — auto-generated request 81a33c.,,"{""source"":""email"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-06-15T03:55:35Z,2025-06-15T08:55:35Z
Dallas Center-Grimes Middle School,Performing Arts Center,Computer Lab 212,ASSET-000251,blocked,low,HVAC making noise,HVAC making noise — auto-generated request ccb1ee.,,"{""source"":""web"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-05-17T15:03:56Z,2025-05-17T22:03:56Z
Heritage Elementary,Main Academic Building,Classroom 309,ASSET-000243,blocked,normal,Projector not working,Projector not working — auto-generated request 0a16e9.,,"{""source"":""mobile"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-06-28T06:45:54Z,2025-06-30T04:45:54Z
Dallas Center Elementary,Science Wing,Gym 215,ASSET-000485,cancelled,normal,HVAC making noise,HVAC making noise — auto-generated request 6f24d3.,,"{""source"":""kiosk"",""reporter_role"":""teacher"",""requires_access"":true,""attachments"":[]}",2025-06-12T03:50:19Z,2025-06-13T02:50:19Z
Dallas Center Elementary,Administration,Science Lab 318,ASSET-000440,in_progress,normal,Projector not working,Projector not working — auto-generated request be3f11.,,"{""source"":""web"",""reporter_role"":""teacher"",""requires_access"":true,""attachments"":[]}",2025-07-16T19:23:52Z,2025-07-18T21:23:52Z
Dallas Center Elementary,Administration,Library/Media Center 305,ASSET-000338,completed,normal,Door handle loose,Door handle loose — auto-generated request 55a238.,,"{""source"":""email"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-08-05T03:45:40Z,2025-08-06T14:45:40Z
DC-G Oak View,Library/Media Center,Restroom 315,ASSET-000462,in_progress,high,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request a7b8a4.,,"{""source"":""web"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-08-05T03:49:14Z,2025-08-06T11:49:14Z
DC-G Oak View,Library/Media Center,Storage 101,ASSET-000268,completed,low,Ceiling tile damaged,Ceiling tile damaged — auto-generated request 1df099.,,"{""source"":""email"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-05-12T22:53:16Z,2025-05-15T07:53:16Z
Dallas Center-Grimes High School,Athletics Center,Library/Media Center 305,ASSET-000280,cancelled,low,Projector not working,Projector not working — auto-generated request 6fa1c3.,,"{""source"":""web"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-07-14T13:31:39Z,2025-07-17T00:31:39Z
DC-G Oak View,Field House,Office 213,ASSET-000783,triage,normal,HVAC making noise,HVAC making noise — auto-generated request 1ceaac.,,"{""source"":""kiosk"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-05-22T12:26:23Z,2025-05-24T20:26:23Z
South Prairie Elementary,Early Childhood Center,Library/Media Center 118,ASSET-000211,new,normal,Broken window latch,Broken window latch — auto-generated request 68b38e.,,"{""source"":""web"",""reporter_role"":""teacher"",""requires_access"":true,""attachments"":[]}",2025-07-06T07:55:46Z,2025-07-06T08:55:46Z
Heritage Elementary,Science Wing,Storage 103,ASSET-000311,in_progress,low,Door handle loose,Door handle loose — auto-generated request f98e3a.,,"{""source"":""email"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-08-31T00:40:11Z,2025-09-01T04:40:11Z
Dallas Center-Grimes Middle School,Gymnasium,Science Lab 107,ASSET-000151,cancelled,high,Ceiling tile damaged,Ceiling tile damaged — auto-generated request b4ddac.,,"{""source"":""mobile"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-07-21T04:13:29Z,2025-07-23T04:13:29Z
DC-G Oak View,Administration,Science Lab 108,ASSET-000293,blocked,urgent,Projector not working,Projector not working — auto-generated request 547106.,,"{""source"":""mobile"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-05-12T22:33:46Z,2025-05-14T18:33:46Z
Dallas Center Elementary,Bus Garage,Computer Lab 302,ASSET-000692,cancelled,low,Water stain on ceiling,Water stain on ceiling — auto-generated request f5cdad.,,"{""source"":""mobile"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-05-26T01:56:14Z,2025-05-27T04:56:14Z
Dallas Center-Grimes High School,Science Wing,Gym 105,ASSET-000342,triage,high,Ceiling tile damaged,Ceiling tile damaged — auto-generated request 96b55b.,,"{""source"":""mobile"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-06-06T05:41:20Z,2025-06-08T22:41:20Z
DC-G Oak View,Performing Arts Center,Cafeteria B102,ASSET-000400,cancelled,low,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request 76613e.,,"{""source"":""email"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-05-31T23:30:11Z,2025-06-03T04:30:11Z
DC-G Oak View,Science Wing,Cafeteria 214,ASSET-000663,triage,high,Broken window latch,Broken window latch — auto-generated request d6b635.,,"{""source"":""web"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-08-24T19:49:57Z,2025-08-27T00:49:57Z
South Prairie Elementary,Main Academic Building,Restroom 102,ASSET-000109,in_progress,urgent,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request 074ad6.,,"{""source"":""kiosk"",""reporter_role"":""teacher"",""requires_access"":false,""attachments"":[]}",2025-06-15T11:11:58Z,2025-06-16T02:11:58Z
North Ridge Elementary,Early Childhood Center,Storage 114,ASSET-000495,completed,high,Projector not working,Projector not working — auto-generated request 315e07.,,"{""source"":""kiosk"",""reporter_role"":""teacher"",""requires_access"":true,""attachments"":[]}",2025-07-26T16:27:51Z,2025-07-28T17:27:51Z
DC-G Oak View,Maintenance Shop,Restroom 112,ASSET-000784,new,normal,Ceiling tile damaged,Ceiling tile damaged — auto-generated request b67520.,,"{""source"":""web"",""reporter_role"":""teacher"",""requires_access"":true,""attachments"":[]}",2025-07-16T00:37:20Z,2025-07-17T17:37:20Z
DC-G Oak View,Gymnasium,Conference Room 207,ASSET-000295,assigned,high,Room too cold,Room too cold — auto-generated request 585c64.,,"{""source"":""mobile"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-08-02T17:49:02Z,2025-08-04T06:49:02Z
Dallas Center-Grimes Middle School,Cafeteria & Kitchen,Office 204,ASSET-000182,assigned,high,Vending machine stuck,Vending machine stuck — auto-generated request 4e40b3.,,"{""source"":""kiosk"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-07-24T04:05:57Z,2025-07-26T07:05:57Z
DC-G Oak View,Library/Media Center,Storage 117,ASSET-000312,in_progress,urgent,Projector not working,Projector not working — auto-generated request 735ed3.,,"{""source"":""mobile"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-06-18T04:42:21Z,2025-06-19T06:42:21Z
North Ridge Elementary,Administration,Classroom 107,ASSET-000619,assigned,normal,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request ea9a30.,,"{""source"":""web"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-06-22T13:11:09Z,2025-06-22T16:11:09Z
Heritage Elementary,Main Academic Building,Classroom 310,ASSET-000810,triage,normal,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request d51f46.,,"{""source"":""mobile"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-08-14T08:17:54Z,2025-08-15T06:17:54Z
Dallas Center Elementary,Main Academic Building,Restroom 205,ASSET-000117,completed,urgent,Vending machine stuck,Vending machine stuck — auto-generated request 44360c.,,"{""source"":""email"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-08-28T09:31:38Z,2025-08-30T12:31:38Z
Dallas Center-Grimes Middle School,Athletics Center,Classroom 206,ASSET-000108,triage,urgent,Ceiling tile damaged,Ceiling tile damaged — auto-generated request 27e404.,,"{""source"":""email"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-07-18T03:12:07Z,2025-07-19T02:12:07Z
Dallas Center Elementary,Early Childhood Center,Office 210,ASSET-000769,blocked,low,HVAC making noise,HVAC making noise — auto-generated request 3ab01e.,,"{""source"":""kiosk"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-06-04T21:58:11Z,2025-06-07T21:58:11Z
Dallas Center-Grimes Middle School,Science Wing,Conference Room 103,ASSET-000009,triage,high,Vending machine stuck,Vending machine stuck — auto-generated request 700959.,,"{""source"":""web"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-06-06T20:07:25Z,2025-06-09T19:07:25Z
DC-G Oak View,Administration,Science Lab 114,ASSET-000460,cancelled,high,Water stain on ceiling,Water stain on ceiling — auto-generated request 94a2a7.,,"{""source"":""email"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-07-19T01:23:57Z,2025-07-19T13:23:57Z
South Prairie Elementary,Science Wing,Gym 215,ASSET-000185,completed,urgent,Ceiling tile damaged,Ceiling tile damaged — auto-generated request 3576ae.,,"{""source"":""mobile"",""reporter_role"":""teacher"",""requires_access"":false,""attachments"":[]}",2025-07-27T23:19:05Z,2025-07-28T12:19:05Z
Dallas Center Elementary,Bus Garage,Gym 113,ASSET-000376,new,high,Ceiling tile damaged,Ceiling tile damaged — auto-generated request d3006c.,,"{""source"":""web"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-06-12T08:01:22Z,2025-06-14T16:01:22Z
DC-G Oak View,Athletics Center,Library/Media Center 104,ASSET-000634,assigned,urgent,Room too cold,Room too cold — auto-generated request c44e56.,,"{""source"":""kiosk"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-06-19T21:12:10Z,2025-06-21T04:12:10Z
Dallas Center-Grimes Middle School,Cafeteria & Kitchen,Science Lab 303,ASSET-000360,assigned,normal,Light fixture flickering,Light fixture flickering — auto-generated request 0279f1.,,"{""source"":""kiosk"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-07-21T01:50:37Z,2025-07-21T21:50:37Z
DC-G Oak View,Administration,Cafeteria 108,ASSET-000567,completed,high,Broken window latch,Broken window latch — auto-generated request df0098.,,"{""source"":""kiosk"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-08-10T20:59:23Z,2025-08-12T02:59:23Z
DC-G Oak View,Gymnasium,Office 115,ASSET-000542,triage,low,Ceiling tile damaged,Ceiling tile damaged — auto-generated request 58acd4.,,"{""source"":""web"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-07-21T01:02:34Z,2025-07-21T12:02:34Z
Dallas Center Elementary,Administration,Classroom 303,ASSET-000115,blocked,high,Vending machine stuck,Vending machine stuck — auto-generated request bfabcb.,,"{""source"":""kiosk"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-08-09T01:21:24Z,2025-08-11T02:21:24Z
DC-G Oak View,Administration,Gym 106,ASSET-000276,blocked,normal,Projector not working,Projector not working — auto-generated request b69f54.,,"{""source"":""mobile"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-07-13T06:18:47Z,2025-07-14T01:18:47Z
DC-G Oak View,Early Childhood Center,Computer Lab 110,ASSET-000096,completed,high,Light fixture flickering,Light fixture flickering — auto-generated request 1fb848.,,"{""source"":""email"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-08-26T11:21:01Z,2025-08-27T22:21:01Z
DC-G Oak View,Maintenance Shop,Gym 104,ASSET-000744,new,normal,Broken window latch,Broken window latch — auto-generated request 83100f.,,"{""source"":""web"",""reporter_role"":""teacher"",""requires_access"":true,""attachments"":[]}",2025-06-01T16:17:47Z,2025-06-01T21:17:47Z
Heritage Elementary,Early Childhood Center,Classroom B104,ASSET-000320,blocked,urgent,Projector not working,Projector not working — auto-generated request 59b06b.,,"{""source"":""web"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-06-05T08:23:53Z,2025-06-07T09:23:53Z
Dallas Center-Grimes High School,Gymnasium,Office 307,ASSET-000396,blocked,urgent,Light fixture flickering,Light fixture flickering — auto-generated request 52e091.,,"{""source"":""kiosk"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-07-18T10:51:38Z,2025-07-18T18:51:38Z
Dallas Center-Grimes High School,Library/Media Center,Office B107,ASSET-000027,in_progress,urgent,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request e75835.,,"{""source"":""web"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-07-20T21:08:28Z,2025-07-23T17:08:28Z
South Prairie Elementary,Athletics Center,Conference Room 107,ASSET-000114,completed,high,Water stain on ceiling,Water stain on ceiling — auto-generated request 6e2c2b.,,"{""source"":""kiosk"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-07-20T19:23:14Z,2025-07-23T06:23:14Z
DC-G Oak View,Performing Arts Center,Gym 103,ASSET-000120,completed,urgent,Light fixture flickering,Light fixture flickering — auto-generated request 4d419a.,,"{""source"":""email"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-05-29T22:50:33Z,2025-05-30T18:50:33Z
Dallas Center-Grimes Middle School,Field House,Computer Lab 105,ASSET-000791,in_progress,normal,Projector not working,Projector not working — auto-generated request 298d50.,,"{""source"":""mobile"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-07-31T07:22:14Z,2025-08-02T18:22:14Z
Dallas Center Elementary,Administration,Gym 107,ASSET-000788,cancelled,high,Water stain on ceiling,Water stain on ceiling — auto-generated request 2967ed.,,"{""source"":""kiosk"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-06-07T19:27:46Z,2025-06-08T14:27:46Z
DC-G Oak View,Performing Arts Center,Computer Lab 205,ASSET-000577,assigned,normal,Light fixture flickering,Light fixture flickering — auto-generated request e1bcb6.,,"{""source"":""mobile"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-07-27T20:22:16Z,2025-07-28T20:22:16Z
Heritage Elementary,Bus Garage,Computer Lab 201,ASSET-000532,cancelled,low,HVAC making noise,HVAC making noise — auto-generated request e0e91f.,,"{""source"":""kiosk"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-07-24T04:06:22Z,2025-07-25T03:06:22Z
Heritage Elementary,Administration,Office 111,ASSET-000257,cancelled,urgent,Broken window latch,Broken window latch — auto-generated request cddc14.,,"{""source"":""email"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-07-28T02:10:23Z,2025-07-29T08:10:23Z
DC-G Oak View,Field House,Conference Room 106,ASSET-000421,new,normal,Light fixture flickering,Light fixture flickering — auto-generated request b8a1f7.,,"{""source"":""email"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-08-22T14:35:02Z,2025-08-25T05:35:02Z
South Prairie Elementary,Main Academic Building,Office 203,ASSET-000190,new,urgent,Vending machine stuck,Vending machine stuck — auto-generated request ecd581.,,"{""source"":""mobile"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-07-08T19:32:24Z,2025-07-09T03:32:24Z
DC-G Oak View,Cafeteria & Kitchen,Storage 103,ASSET-000037,triage,urgent,Light fixture flickering,Light fixture flickering — auto-generated request f48fcc.,,"{""source"":""email"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-05-22T00:39:57Z,2025-05-24T01:39:57Z
South Prairie Elementary,Cafeteria & Kitchen,Computer Lab 209,ASSET-000314,in_progress,low,Broken window latch,Broken window latch — auto-generated request 85acd1.,,"{""source"":""mobile"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-05-14T02:33:15Z,2025-05-17T00:33:15Z
Heritage Elementary,Performing Arts Center,Classroom 205,ASSET-000335,triage,low,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request 453caa.,,"{""source"":""mobile"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-07-02T14:12:45Z,2025-07-05T03:12:45Z
Dallas Center-Grimes High School,Science Wing,Science Lab 303,ASSET-000689,completed,normal,Ceiling tile damaged,Ceiling tile damaged — auto-generated request 7a5866.,,"{""source"":""kiosk"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-08-16T16:10:54Z,2025-08-17T04:10:54Z
DC-G Oak View,Maintenance Shop,Storage 314,ASSET-000393,assigned,normal,Water stain on ceiling,Water stain on ceiling — auto-generated request 2c6554.,,"{""source"":""kiosk"",""reporter_role"":""teacher"",""requires_access"":false,""attachments"":[]}",2025-05-23T05:15:30Z,2025-05-23T16:15:30Z
Dallas Center Elementary,Library/Media Center,Restroom 109,ASSET-000047,new,high,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request 3b50f0.,,"{""source"":""kiosk"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-06-30T13:41:38Z,2025-07-02T05:41:38Z
Dallas Center-Grimes High School,Science Wing,Restroom 201,ASSET-000045,assigned,normal,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request 64d7e3.,,"{""source"":""web"",""reporter_role"":""teacher"",""requires_access"":false,""attachments"":[]}",2025-08-19T08:46:14Z,2025-08-21T10:46:14Z
North Ridge Elementary,Field House,Storage 202,ASSET-000672,cancelled,low,Room too cold,Room too cold — auto-generated request f4e1b1.,,"{""source"":""email"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-07-30T17:37:58Z,2025-07-31T22:37:58Z
DC-G Oak View,Science Wing,Classroom 215,ASSET-000216,assigned,high,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request 734665.,,"{""source"":""web"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-07-08T02:55:42Z,2025-07-10T19:55:42Z
DC-G Oak View,Gymnasium,Library/Media Center 104,ASSET-000488,blocked,urgent,Projector not working,Projector not working — auto-generated request 5cd37d.,,"{""source"":""mobile"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-07-23T07:47:27Z,2025-07-23T14:47:27Z
South Prairie Elementary,Administration,Restroom 315,ASSET-000652,triage,urgent,Water stain on ceiling,Water stain on ceiling — auto-generated request 09b2c8.,,"{""source"":""web"",""reporter_role"":""teacher"",""requires_access"":false,""attachments"":[]}",2025-08-24T13:26:05Z,2025-08-24T17:26:05Z
Heritage Elementary,Maintenance Shop,Computer Lab 317,ASSET-000769,blocked,normal,Broken window latch,Broken window latch — auto-generated request ba6416.,,"{""source"":""email"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-06-28T15:25:18Z,2025-06-29T21:25:18Z
South Prairie Elementary,Science Wing,Gym 303,ASSET-000667,completed,normal,Room too cold,Room too cold — auto-generated request 63edcc.,,"{""source"":""kiosk"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-07-20T21:40:05Z,2025-07-23T08:40:05Z
South Prairie Elementary,Maintenance Shop,Storage 307,ASSET-000591,triage,low,Light fixture flickering,Light fixture flickering — auto-generated request 00786c.,,"{""source"":""mobile"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-05-09T23:34:05Z,2025-05-10T08:34:05Z
South Prairie Elementary,Library/Media Center,Office B104,ASSET-000553,blocked,normal,Room too cold,Room too cold — auto-generated request 47f98b.,,"{""source"":""mobile"",""reporter_role"":""teacher"",""requires_access"":false,""attachments"":[]}",2025-05-15T20:42:13Z,2025-05-17T06:42:13Z
South Prairie Elementary,Performing Arts Center,Storage 111,ASSET-000086,assigned,low,Ceiling tile damaged,Ceiling tile damaged — auto-generated request 3b9e16.,,"{""source"":""mobile"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-08-30T22:48:17Z,2025-09-02T20:48:17Z
South Prairie Elementary,Maintenance Shop,Storage 101,ASSET-000715,assigned,low,Ceiling tile damaged,Ceiling tile damaged — auto-generated request 79a3ef.,,"{""source"":""web"",""reporter_role"":""teacher"",""requires_access"":false,""attachments"":[]}",2025-08-25T06:42:24Z,2025-08-28T01:42:24Z
North Ridge Elementary,Maintenance Shop,Classroom 207,ASSET-000756,cancelled,urgent,Room too cold,Room too cold — auto-generated request 7c59c6.,,"{""source"":""email"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-08-29T22:25:05Z,2025-08-31T13:25:05Z
Dallas Center Elementary,Athletics Center,Cafeteria 109,ASSET-000663,new,low,Projector not working,Projector not working — auto-generated request 1eecaa.,,"{""source"":""email"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-05-24T03:02:31Z,2025-05-26T02:02:31Z
Dallas Center Elementary,Performing Arts Center,Office 310,ASSET-000620,assigned,high,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request 1b0504.,,"{""source"":""kiosk"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-05-08T16:51:11Z,2025-05-10T05:51:11Z
Dallas Center-Grimes High School,Athletics Center,Restroom 103,ASSET-000240,completed,urgent,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request 47836f.,,"{""source"":""mobile"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-08-02T19:19:59Z,2025-08-05T00:19:59Z
DC-G Oak View,Field House,Science Lab 209,ASSET-000216,assigned,normal,Projector not working,Projector not working — auto-generated request d7fb0a.,,"{""source"":""web"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-05-03T23:00:40Z,2025-05-04T15:00:40Z
Dallas Center-Grimes High School,Library/Media Center,Computer Lab 316,ASSET-000379,new,normal,Door handle loose,Door handle loose — auto-generated request cba3f4.,,"{""source"":""email"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-07-11T12:28:29Z,2025-07-14T06:28:29Z
North Ridge Elementary,Field House,Office 205,ASSET-000772,blocked,high,HVAC making noise,HVAC making noise — auto-generated request 3bc0cd.,,"{""source"":""mobile"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-05-19T03:19:51Z,2025-05-20T02:19:51Z
Heritage Elementary,Athletics Center,Restroom 305,ASSET-000053,triage,normal,Light fixture flickering,Light fixture flickering — auto-generated request 2107a7.,,"{""source"":""email"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-05-21T09:12:11Z,2025-05-23T08:12:11Z
Heritage Elementary,Maintenance Shop,Office 201,ASSET-000416,triage,high,Ceiling tile damaged,Ceiling tile damaged — auto-generated request f077c6.,,"{""source"":""web"",""reporter_role"":""teacher"",""requires_access"":true,""attachments"":[]}",2025-06-09T22:30:52Z,2025-06-12T07:30:52Z
North Ridge Elementary,Administration,Science Lab 104,ASSET-000003,completed,low,Door handle loose,Door handle loose — auto-generated request e93a69.,,"{""source"":""web"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-08-11T13:14:24Z,2025-08-11T14:14:24Z
Dallas Center Elementary,Performing Arts Center,Classroom 101,ASSET-000573,completed,urgent,Leaky faucet in restroom,Leaky faucet in restroom — auto-generated request 6efd62.,,"{""source"":""kiosk"",""reporter_role"":""teacher"",""requires_access"":false,""attachments"":[]}",2025-06-22T11:02:31Z,2025-06-22T14:02:31Z
Dallas Center-Grimes High School,Library/Media Center,Conference Room 211,ASSET-000711,in_progress,low,Broken window latch,Broken window latch — auto-generated request 87f4c9.,,"{""source"":""kiosk"",""reporter_role"":""student"",""requires_access"":true,""attachments"":[]}",2025-07-16T19:26:54Z,2025-07-19T19:26:54Z
Dallas Center Elementary,Performing Arts Center,Classroom B106,ASSET-000530,completed,low,Vending machine stuck,Vending machine stuck — auto-generated request f30403.,,"{""source"":""mobile"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-06-29T21:28:55Z,2025-07-01T07:28:55Z
South Prairie Elementary,Gymnasium,Storage 314,ASSET-000007,completed,urgent,HVAC making noise,HVAC making noise — auto-generated request 5c3676.,,"{""source"":""mobile"",""reporter_role"":""visitor"",""requires_access"":true,""attachments"":[]}",2025-06-06T02:20:13Z,2025-06-08T18:20:13Z
North Ridge Elementary,Library/Media Center,Office 105,ASSET-000718,in_progress,high,Ceiling tile damaged,Ceiling tile damaged — auto-generated request 0c2727.,,"{""source"":""mobile"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-05-08T23:09:23Z,2025-05-09T12:09:23Z
