course_name,term_name,section_number,capacity,school_name
Nutrition & Wellness,Fall Semester 2025,001,30,Dallas Center Elementary
Business Essentials,Fall Semester 2025,001,30,Dallas Center Elementary
Accounting,Fall Semester 2025,001,30,Dallas Center Elementary
Marketing,Fall Semester 2025,001,30,Dallas Center Elementary
Entrepreneurship,Fall Semester 2025,001,30,Dallas Center Elementary
Computer Applications,Fall Semester 2025,001,30,Dallas Center Elementary
Engineering/PLTW,Fall Semester 2025,001,30,Dallas Center Elementary
Robotics,Fall Semester 2025,001,30,Dallas Center Elementary
Culinary Arts,Fall Semester 2025,001,30,Dallas Center Elementary
Construction Trades,Fall Semester 2025,001,30,Dallas Center Elementary
Automotive Technology,Fall Semester 2025,001,30,Dallas Center Elementary
Intro to Computer Science,Fall Semester 2025,001,30,Dallas Center Elementary
AP Computer Science Principles,Fall Semester 2025,001,30,Dallas Center Elementary
AP Computer Science A,Fall Semester 2025,001,30,Dallas Center Elementary
Web Development,Fall Semester 2025,001,30,Dallas Center Elementary
Cybersecurity,Fall Semester 2025,001,30,Dallas Center Elementary
Data Science,Fall Semester 2025,001,30,Dallas Center Elementary
Resource English,Fall Semester 2025,001,30,Dallas Center Elementary
Resource Math,Fall Semester 2025,001,30,Dallas Center Elementary
Study Skills,Fall Semester 2025,001,30,Dallas Center Elementary
ELL Beginner,Fall Semester 2025,001,30,Dallas Center Elementary
ELL Intermediate,Fall Semester 2025,001,30,Dallas Center Elementary
ELL Advanced,Fall Semester 2025,001,30,Dallas Center Elementary
Child Development,Fall Semester 2025,001,30,Dallas Center Elementary
Foods & Nutrition,Fall Semester 2025,001,30,Dallas Center Elementary
Family & Consumer Science,Fall Semester 2025,001,30,Dallas Center Elementary
Agricultural Science,Fall Semester 2025,001,30,Dallas Center Elementary
Animal Science,Fall Semester 2025,001,30,Dallas Center Elementary
Plant Science,Fall Semester 2025,001,30,Dallas Center Elementary
General Studies,Fall Semester 2025,001,30,Dallas Center Elementary
English 9,Fall Semester 2025,001,30,Dallas Center-Grimes High School
English 10,Fall Semester 2025,001,30,Dallas Center-Grimes High School
English 11,Fall Semester 2025,001,30,Dallas Center-Grimes High School
English 12,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Literature,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Writing/Composition,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Journalism,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Speech/Communications,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Reading,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Math 6,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Pre-Algebra,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Algebra I,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Geometry,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Algebra II,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Precalculus,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Calculus,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Statistics,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Earth Science,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Physical Science,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Biology,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Chemistry,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Physics,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Environmental Science,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Anatomy & Physiology,Fall Semester 2025,001,30,Dallas Center-Grimes High School
World History,Fall Semester 2025,001,30,Dallas Center-Grimes High School
U.S. History,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Government/Civics,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Economics,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Geography,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Psychology,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Sociology,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Spanish I,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Spanish II,Fall Semester 2025,001,30,Dallas Center-Grimes High School
French I,Fall Semester 2025,001,30,Dallas Center-Grimes High School
French II,Fall Semester 2025,001,30,Dallas Center-Grimes High School
German I,Fall Semester 2025,001,30,Dallas Center-Grimes High School
German II,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Art I,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Art II,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Drawing,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Painting,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Sculpture,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Digital Art,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Band,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Choir,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Orchestra,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Jazz Band,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Music Theory,Fall Semester 2025,001,30,Dallas Center-Grimes High School
PE 9,Fall Semester 2025,001,30,Dallas Center-Grimes High School
PE 10,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Weight Training,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Lifetime Fitness,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Health,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Nutrition & Wellness,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Business Essentials,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Accounting,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Marketing,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Entrepreneurship,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Computer Applications,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Engineering/PLTW,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Robotics,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Culinary Arts,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Construction Trades,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Automotive Technology,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Intro to Computer Science,Fall Semester 2025,001,30,Dallas Center-Grimes High School
AP Computer Science Principles,Fall Semester 2025,001,30,Dallas Center-Grimes High School
AP Computer Science A,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Web Development,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Cybersecurity,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Data Science,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Resource English,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Resource Math,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Study Skills,Fall Semester 2025,001,30,Dallas Center-Grimes High School
ELL Beginner,Fall Semester 2025,001,30,Dallas Center-Grimes High School
ELL Intermediate,Fall Semester 2025,001,30,Dallas Center-Grimes High School
ELL Advanced,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Child Development,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Foods & Nutrition,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Family & Consumer Science,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Agricultural Science,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Animal Science,Fall Semester 2025,001,30,Dallas Center-Grimes High School
Plant Science,Fall Semester 2025,001,30,Dallas Center-Grimes High School
General Studies,Fall Semester 2025,001,30,Dallas Center-Grimes High School
English 9,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
English 10,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
English 11,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
English 12,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Literature,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Writing/Composition,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Journalism,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Speech/Communications,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Reading,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Math 6,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Pre-Algebra,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Algebra I,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Geometry,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Algebra II,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Precalculus,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Calculus,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Statistics,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Earth Science,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Physical Science,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Biology,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Chemistry,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Physics,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Environmental Science,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Anatomy & Physiology,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
World History,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
U.S. History,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Government/Civics,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Economics,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Geography,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Psychology,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Sociology,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Spanish I,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Spanish II,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
French I,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
French II,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
German I,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
German II,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Art I,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Art II,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Drawing,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Painting,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Sculpture,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Digital Art,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Band,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Choir,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Orchestra,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Jazz Band,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Music Theory,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
PE 9,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
PE 10,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Weight Training,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Lifetime Fitness,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Health,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Nutrition & Wellness,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Business Essentials,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Accounting,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Marketing,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Entrepreneurship,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Computer Applications,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Engineering/PLTW,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Robotics,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Culinary Arts,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Construction Trades,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Automotive Technology,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Intro to Computer Science,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
AP Computer Science Principles,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
AP Computer Science A,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Web Development,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Cybersecurity,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Data Science,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Resource English,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Resource Math,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Study Skills,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
ELL Beginner,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
ELL Intermediate,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
ELL Advanced,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Child Development,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Foods & Nutrition,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Family & Consumer Science,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Agricultural Science,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Animal Science,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
Plant Science,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
General Studies,Fall Semester 2025,001,30,Dallas Center-Grimes Middle School
English 9,Fall Semester 2025,001,30,DC-G Oak View
English 10,Fall Semester 2025,001,30,DC-G Oak View
English 11,Fall Semester 2025,001,30,DC-G Oak View
English 12,Fall Semester 2025,001,30,DC-G Oak View
Literature,Fall Semester 2025,001,30,DC-G Oak View
Writing/Composition,Fall Semester 2025,001,30,DC-G Oak View
Journalism,Fall Semester 2025,001,30,DC-G Oak View
Speech/Communications,Fall Semester 2025,001,30,DC-G Oak View
Reading,Fall Semester 2025,001,30,DC-G Oak View
Math 6,Fall Semester 2025,001,30,DC-G Oak View
Pre-Algebra,Fall Semester 2025,001,30,DC-G Oak View
Algebra I,Fall Semester 2025,001,30,DC-G Oak View
Geometry,Fall Semester 2025,001,30,DC-G Oak View
Algebra II,Fall Semester 2025,001,30,DC-G Oak View
Precalculus,Fall Semester 2025,001,30,DC-G Oak View
Calculus,Fall Semester 2025,001,30,DC-G Oak View
Statistics,Fall Semester 2025,001,30,DC-G Oak View
Earth Science,Fall Semester 2025,001,30,DC-G Oak View
Physical Science,Fall Semester 2025,001,30,DC-G Oak View
Biology,Fall Semester 2025,001,30,DC-G Oak View
Chemistry,Fall Semester 2025,001,30,DC-G Oak View
Physics,Fall Semester 2025,001,30,DC-G Oak View
Environmental Science,Fall Semester 2025,001,30,DC-G Oak View
Anatomy & Physiology,Fall Semester 2025,001,30,DC-G Oak View
World History,Fall Semester 2025,001,30,DC-G Oak View
U.S. History,Fall Semester 2025,001,30,DC-G Oak View
Government/Civics,Fall Semester 2025,001,30,DC-G Oak View
Economics,Fall Semester 2025,001,30,DC-G Oak View
Geography,Fall Semester 2025,001,30,DC-G Oak View
Psychology,Fall Semester 2025,001,30,DC-G Oak View
Sociology,Fall Semester 2025,001,30,DC-G Oak View
Spanish I,Fall Semester 2025,001,30,DC-G Oak View
Spanish II,Fall Semester 2025,001,30,DC-G Oak View
French I,Fall Semester 2025,001,30,DC-G Oak View
French II,Fall Semester 2025,001,30,DC-G Oak View
German I,Fall Semester 2025,001,30,DC-G Oak View
German II,Fall Semester 2025,001,30,DC-G Oak View
Art I,Fall Semester 2025,001,30,DC-G Oak View
Art II,Fall Semester 2025,001,30,DC-G Oak View
Drawing,Fall Semester 2025,001,30,DC-G Oak View
Painting,Fall Semester 2025,001,30,DC-G Oak View
Sculpture,Fall Semester 2025,001,30,DC-G Oak View
Digital Art,Fall Semester 2025,001,30,DC-G Oak View
Band,Fall Semester 2025,001,30,DC-G Oak View
Choir,Fall Semester 2025,001,30,DC-G Oak View
Orchestra,Fall Semester 2025,001,30,DC-G Oak View
Jazz Band,Fall Semester 2025,001,30,DC-G Oak View
Music Theory,Fall Semester 2025,001,30,DC-G Oak View
PE 9,Fall Semester 2025,001,30,DC-G Oak View
PE 10,Fall Semester 2025,001,30,DC-G Oak View
Weight Training,Fall Semester 2025,001,30,DC-G Oak View
Lifetime Fitness,Fall Semester 2025,001,30,DC-G Oak View
Health,Fall Semester 2025,001,30,DC-G Oak View
Nutrition & Wellness,Fall Semester 2025,001,30,DC-G Oak View
Business Essentials,Fall Semester 2025,001,30,DC-G Oak View
Accounting,Fall Semester 2025,001,30,DC-G Oak View
Marketing,Fall Semester 2025,001,30,DC-G Oak View
Entrepreneurship,Fall Semester 2025,001,30,DC-G Oak View
Computer Applications,Fall Semester 2025,001,30,DC-G Oak View
Engineering/PLTW,Fall Semester 2025,001,30,DC-G Oak View
Robotics,Fall Semester 2025,001,30,DC-G Oak View
Culinary Arts,Fall Semester 2025,001,30,DC-G Oak View
Construction Trades,Fall Semester 2025,001,30,DC-G Oak View
Automotive Technology,Fall Semester 2025,001,30,DC-G Oak View
Intro to Computer Science,Fall Semester 2025,001,30,DC-G Oak View
AP Computer Science Principles,Fall Semester 2025,001,30,DC-G Oak View
AP Computer Science A,Fall Semester 2025,001,30,DC-G Oak View
Web Development,Fall Semester 2025,001,30,DC-G Oak View
Cybersecurity,Fall Semester 2025,001,30,DC-G Oak View
Data Science,Fall Semester 2025,001,30,DC-G Oak View
Resource English,Fall Semester 2025,001,30,DC-G Oak View
Resource Math,Fall Semester 2025,001,30,DC-G Oak View
Study Skills,Fall Semester 2025,001,30,DC-G Oak View
ELL Beginner,Fall Semester 2025,001,30,DC-G Oak View
ELL Intermediate,Fall Semester 2025,001,30,DC-G Oak View
ELL Advanced,Fall Semester 2025,001,30,DC-G Oak View
Child Development,Fall Semester 2025,001,30,DC-G Oak View
Foods & Nutrition,Fall Semester 2025,001,30,DC-G Oak View
Family & Consumer Science,Fall Semester 2025,001,30,DC-G Oak View
Agricultural Science,Fall Semester 2025,001,30,DC-G Oak View
Animal Science,Fall Semester 2025,001,30,DC-G Oak View
Plant Science,Fall Semester 2025,001,30,DC-G Oak View
General Studies,Fall Semester 2025,001,30,DC-G Oak View
English 9,Fall Semester 2025,001,30,Heritage Elementary
English 10,Fall Semester 2025,001,30,Heritage Elementary
English 11,Fall Semester 2025,001,30,Heritage Elementary
English 12,Fall Semester 2025,001,30,Heritage Elementary
Literature,Fall Semester 2025,001,30,Heritage Elementary
Writing/Composition,Fall Semester 2025,001,30,Heritage Elementary
Journalism,Fall Semester 2025,001,30,Heritage Elementary
Speech/Communications,Fall Semester 2025,001,30,Heritage Elementary
Reading,Fall Semester 2025,001,30,Heritage Elementary
Math 6,Fall Semester 2025,001,30,Heritage Elementary
Pre-Algebra,Fall Semester 2025,001,30,Heritage Elementary
Algebra I,Fall Semester 2025,001,30,Heritage Elementary
Geometry,Fall Semester 2025,001,30,Heritage Elementary
Algebra II,Fall Semester 2025,001,30,Heritage Elementary
Precalculus,Fall Semester 2025,001,30,Heritage Elementary
Calculus,Fall Semester 2025,001,30,Heritage Elementary
Statistics,Fall Semester 2025,001,30,Heritage Elementary
Earth Science,Fall Semester 2025,001,30,Heritage Elementary
Physical Science,Fall Semester 2025,001,30,Heritage Elementary
Biology,Fall Semester 2025,001,30,Heritage Elementary
Chemistry,Fall Semester 2025,001,30,Heritage Elementary
Physics,Fall Semester 2025,001,30,Heritage Elementary
Environmental Science,Fall Semester 2025,001,30,Heritage Elementary
Anatomy & Physiology,Fall Semester 2025,001,30,Heritage Elementary
World History,Fall Semester 2025,001,30,Heritage Elementary
U.S. History,Fall Semester 2025,001,30,Heritage Elementary
Government/Civics,Fall Semester 2025,001,30,Heritage Elementary
Economics,Fall Semester 2025,001,30,Heritage Elementary
Geography,Fall Semester 2025,001,30,Heritage Elementary
Psychology,Fall Semester 2025,001,30,Heritage Elementary
Sociology,Fall Semester 2025,001,30,Heritage Elementary
Spanish I,Fall Semester 2025,001,30,Heritage Elementary
Spanish II,Fall Semester 2025,001,30,Heritage Elementary
French I,Fall Semester 2025,001,30,Heritage Elementary
French II,Fall Semester 2025,001,30,Heritage Elementary
German I,Fall Semester 2025,001,30,Heritage Elementary
German II,Fall Semester 2025,001,30,Heritage Elementary
Art I,Fall Semester 2025,001,30,Heritage Elementary
Art II,Fall Semester 2025,001,30,Heritage Elementary
Drawing,Fall Semester 2025,001,30,Heritage Elementary
Painting,Fall Semester 2025,001,30,Heritage Elementary
Sculpture,Fall Semester 2025,001,30,Heritage Elementary
Digital Art,Fall Semester 2025,001,30,Heritage Elementary
Band,Fall Semester 2025,001,30,Heritage Elementary
Choir,Fall Semester 2025,001,30,Heritage Elementary
Orchestra,Fall Semester 2025,001,30,Heritage Elementary
Jazz Band,Fall Semester 2025,001,30,Heritage Elementary
Music Theory,Fall Semester 2025,001,30,Heritage Elementary
PE 9,Fall Semester 2025,001,30,Heritage Elementary
PE 10,Fall Semester 2025,001,30,Heritage Elementary
Weight Training,Fall Semester 2025,001,30,Heritage Elementary
Lifetime Fitness,Fall Semester 2025,001,30,Heritage Elementary
Health,Fall Semester 2025,001,30,Heritage Elementary
Nutrition & Wellness,Fall Semester 2025,001,30,Heritage Elementary
Business Essentials,Fall Semester 2025,001,30,Heritage Elementary
Accounting,Fall Semester 2025,001,30,Heritage Elementary
Marketing,Fall Semester 2025,001,30,Heritage Elementary
Entrepreneurship,Fall Semester 2025,001,30,Heritage Elementary
Computer Applications,Fall Semester 2025,001,30,Heritage Elementary
Engineering/PLTW,Fall Semester 2025,001,30,Heritage Elementary
Robotics,Fall Semester 2025,001,30,Heritage Elementary
Culinary Arts,Fall Semester 2025,001,30,Heritage Elementary
Construction Trades,Fall Semester 2025,001,30,Heritage Elementary
Automotive Technology,Fall Semester 2025,001,30,Heritage Elementary
Intro to Computer Science,Fall Semester 2025,001,30,Heritage Elementary
AP Computer Science Principles,Fall Semester 2025,001,30,Heritage Elementary
AP Computer Science A,Fall Semester 2025,001,30,Heritage Elementary
Web Development,Fall Semester 2025,001,30,Heritage Elementary
Cybersecurity,Fall Semester 2025,001,30,Heritage Elementary
Data Science,Fall Semester 2025,001,30,Heritage Elementary
Resource English,Fall Semester 2025,001,30,Heritage Elementary
Resource Math,Fall Semester 2025,001,30,Heritage Elementary
Study Skills,Fall Semester 2025,001,30,Heritage Elementary
ELL Beginner,Fall Semester 2025,001,30,Heritage Elementary
ELL Intermediate,Fall Semester 2025,001,30,Heritage Elementary
ELL Advanced,Fall Semester 2025,001,30,Heritage Elementary
Child Development,Fall Semester 2025,001,30,Heritage Elementary
Foods & Nutrition,Fall Semester 2025,001,30,Heritage Elementary
Family & Consumer Science,Fall Semester 2025,001,30,Heritage Elementary
Agricultural Science,Fall Semester 2025,001,30,Heritage Elementary
Animal Science,Fall Semester 2025,001,30,Heritage Elementary
Plant Science,Fall Semester 2025,001,30,Heritage Elementary
General Studies,Fall Semester 2025,001,30,Heritage Elementary
English 9,Fall Semester 2025,001,30,North Ridge Elementary
English 10,Fall Semester 2025,001,30,North Ridge Elementary
English 11,Fall Semester 2025,001,30,North Ridge Elementary
English 12,Fall Semester 2025,001,30,North Ridge Elementary
Literature,Fall Semester 2025,001,30,North Ridge Elementary
Writing/Composition,Fall Semester 2025,001,30,North Ridge Elementary
Journalism,Fall Semester 2025,001,30,North Ridge Elementary
Speech/Communications,Fall Semester 2025,001,30,North Ridge Elementary
Reading,Fall Semester 2025,001,30,North Ridge Elementary
Math 6,Fall Semester 2025,001,30,North Ridge Elementary
Pre-Algebra,Fall Semester 2025,001,30,North Ridge Elementary
Algebra I,Fall Semester 2025,001,30,North Ridge Elementary
Geometry,Fall Semester 2025,001,30,North Ridge Elementary
Algebra II,Fall Semester 2025,001,30,North Ridge Elementary
Precalculus,Fall Semester 2025,001,30,North Ridge Elementary
Calculus,Fall Semester 2025,001,30,North Ridge Elementary
Statistics,Fall Semester 2025,001,30,North Ridge Elementary
Earth Science,Fall Semester 2025,001,30,North Ridge Elementary
Physical Science,Fall Semester 2025,001,30,North Ridge Elementary
Biology,Fall Semester 2025,001,30,North Ridge Elementary
Chemistry,Fall Semester 2025,001,30,North Ridge Elementary
Physics,Fall Semester 2025,001,30,North Ridge Elementary
Environmental Science,Fall Semester 2025,001,30,North Ridge Elementary
Anatomy & Physiology,Fall Semester 2025,001,30,North Ridge Elementary
World History,Fall Semester 2025,001,30,North Ridge Elementary
