document_title,filename,version_no,checksum,created_by_email,created_at,published_at
Athletics Training Procedure,athletics_training_procedure_v2.txt,2,abe1bd5994722b83ea17783464d6dba08aae1782,,2025-06-07T23:37:47Z,
Athletics Training Procedure,athletics_training_procedure_v3.docx,3,29283e8870ad6b4499d472a29807e7ea735d34d5,,2025-01-29T07:38:47Z,
Transport Training Summary,transport_training_summary_v1.txt,1,db96fb85dbb2872fe9cef5ebaff7015c51d1e16c,,2025-01-14T20:54:47Z,
Transport Training Summary,transport_training_summary_v2.pdf,2,73a1bf6e8783346f1aae41bfe822fe8f05b8c8f2,,2024-12-08T11:18:47Z,
Finance HVAC Procedure,finance_hvac_procedure_v1.md,1,192e72b987a9803889544b9010c3d5afc15563c3,,2025-08-10T08:59:47Z,
Finance HVAC Procedure,finance_hvac_procedure_v2.md,2,12e6cb5a59de81dcd3b231edbbbc24d678f41619,,2025-06-13T16:07:47Z,
Finance HVAC Procedure,finance_hvac_procedure_v3.xlsx,3,89783a5527d9597cb626baeb2609072cccb542fb,,2025-08-14T22:03:47Z,
Safety Budget Summary,safety_budget_summary_v1.md,1,7feb9029bb3d4db9d97870d495d4d2887b31f8ab,,2025-08-25T10:42:47Z,2025-09-15T10:42:47Z
Safety Budget Summary,safety_budget_summary_v2.txt,2,ff63485e2c1d282cfe680a2dd98f157cd1461fce,,2025-05-20T18:11:47Z,
Procurement HVAC Memo,procurement_hvac_memo_v1.xlsx,1,f0847fc3d034285ee7e83978169aa61e35663c13,,2025-07-14T21:19:47Z,2025-07-22T21:19:47Z
Procurement HVAC Memo,procurement_hvac_memo_v2.pptx,2,cbbb30fd4bad73f5c36c93195dde96c8b78f94c6,,2024-11-07T11:00:47Z,
Procurement HVAC Memo,procurement_hvac_memo_v3.pptx,3,b71705d3a06aa5277598b405a71cb72675fc5947,,2024-10-26T15:18:47Z,
Maintenance Security Policy,maintenance_security_policy_v1.pptx,1,6cf04de40372d212d00905e6a858f7592cb28fa0,,2024-09-08T22:58:47Z,2024-10-07T22:58:47Z
Maintenance Security Policy,maintenance_security_policy_v2.docx,2,b26b5f73ceaba869bfa1cb80c8d6a630926d9c2c,,2025-08-24T08:11:47Z,2025-09-01T08:11:47Z
Finance Compliance Template,finance_compliance_template_v1.docx,1,cfdcdcfbdc09f4c4e49f9f3dd37f7784949db8da,,2025-07-13T05:06:47Z,
Safety Budget Notice,safety_budget_notice_v1.md,1,87304f968477bfc0da955f3573c28899ec6ddfcf,,2025-06-15T00:19:47Z,
HR Events Summary,hr_events_summary_v1.txt,1,2b08e9ef4b928bd710962a84e75c27cccee42b7d,,2025-02-25T05:40:47Z,
HR Events Summary,hr_events_summary_v2.pdf,2,13862b307c12d9053f6a4b9ea2e1e38068d7a4e0,,2024-09-25T02:26:47Z,2024-09-30T02:26:47Z
HR Compliance Form,hr_compliance_form_v1.docx,1,0926b02ec96dcbb22972235605fb4356e49b0806,,2025-01-01T07:19:47Z,2025-01-27T07:19:47Z
IT Inventory Notice,it_inventory_notice_v1.txt,1,219e3e17b33756518c19fc9451e796edd4bf03c2,,2025-06-27T22:52:47Z,
Food Service Compliance Outline,food_service_compliance_outline_v1.xlsx,1,976f847af9cd40960467202900450fec7413d395,,2024-11-17T01:40:47Z,2024-12-03T01:40:47Z
Food Service Compliance Outline,food_service_compliance_outline_v2.xlsx,2,47cca4e393213a430f7c7abf68f91ad6c0223328,,2025-05-10T05:16:47Z,
Food Service Compliance Outline,food_service_compliance_outline_v3.txt,3,4ecf0830a4cb50a6e0f9ed34783a0941bdfc9e4d,,2025-01-14T09:18:47Z,2025-01-24T09:18:47Z
