asset_tag,vendor_name,policy_no,start_date,end_date,terms,attributes
ASSET-000026,Aurora Curriculum Ltd.,WAR-5CB4862B,2025-07-14,2028-07-13,Preventive maintenance visits included (2 per year).,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""48h"",""notes"":""Proof of purchase required""}"
ASSET-000100,Beacon Cloud Inc.,WAR-0EFF4756,2023-01-08,2024-01-08,Depot repair only; shipping not included.,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""48h"",""notes"":""Proof of purchase required""}"
ASSET-000475,Beacon Cloud Inc.,WAR-39F77763,2024-11-22,2025-05-21,Full coverage with on-site support within 48 hours.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""48h"",""notes"":""""}"
ASSET-000368,Westfield Education Co.,WAR-8316D756,2023-04-06,2026-04-05,Depot repair only; shipping not included.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000651,Skyline Transportation Inc.,WAR-1C67C423,2024-07-26,2025-07-26,Full coverage with on-site support within 48 hours.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""72h"",""notes"":""""}"
ASSET-000703,Oakstone Technology Solutions,WAR-B8E42351,2023-11-15,2026-11-14,Preventive maintenance visits included (2 per year).,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""NBD"",""notes"":""Requires RMA""}"
ASSET-000775,Riverview Maintenance Solutions,WAR-783194EE,2023-12-26,2024-06-23,Standard parts and labor warranty.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""72h"",""notes"":""""}"
ASSET-000417,Meridian Curriculum Solutions,WAR-42CC7E44,2023-10-26,2024-04-23,Extended coverage for parts only; labor excluded.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000331,Riverview Cloud LLC,WAR-51A4A2CF,2024-09-16,2025-09-16,Full coverage with on-site support within 48 hours.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000710,Riverview Cloud LLC,WAR-941088EC,2023-12-17,2025-12-16,Preventive maintenance visits included (2 per year).,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""NBD"",""notes"":""Proof of purchase required""}"
ASSET-000291,Beacon Textbooks Ltd.,WAR-D9D4F965,2024-10-21,2026-10-21,Full coverage with on-site support within 48 hours.,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""72h"",""notes"":""""}"
ASSET-000120,Vertex Foodservice Group,WAR-1CA83FC2,2022-10-21,2023-04-19,Depot repair only; shipping not included.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""48h"",""notes"":""Proof of purchase required""}"
ASSET-000181,Meridian Curriculum Solutions,WAR-22295BF3,2023-06-09,2023-12-06,Extended coverage for parts only; labor excluded.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""48h"",""notes"":""Proof of purchase required""}"
ASSET-000779,Vertex Janitorial LLC,WAR-4450420A,2022-09-30,2024-09-29,Preventive maintenance visits included (2 per year).,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""Depot"",""notes"":""""}"
ASSET-000071,Prairie Facilities Inc.,WAR-85B51A01,2022-12-22,2023-03-22,Depot repair only; shipping not included.,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""Depot"",""notes"":""""}"
ASSET-000078,Vertex Textbooks Group,WAR-79652C9A,2024-01-23,2025-01-22,Depot repair only; shipping not included.,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""48h"",""notes"":""""}"
ASSET-000199,Beacon Textbooks Ltd.,WAR-A46BA54F,2023-08-18,2023-11-16,Preventive maintenance visits included (2 per year).,"{""coverage"":""full"",""pm_included"":true,""service_level"":""48h"",""notes"":""""}"
ASSET-000119,Terrace Wellness Ltd.,WAR-BAB075C0,2024-05-10,2024-08-08,Standard parts and labor warranty.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""NBD"",""notes"":""""}"
ASSET-000434,Nimbus Services Ltd.,WAR-B5900DB9,2024-12-03,2025-12-03,Preventive maintenance visits included (2 per year).,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""NBD"",""notes"":""""}"
ASSET-000524,Meridian Education LLC,WAR-4619273F,2025-07-14,2026-07-14,Standard parts and labor warranty.,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""NBD"",""notes"":""""}"
ASSET-000265,Vertex Foodservice Group,WAR-DF6E99C1,2024-09-04,2025-03-03,Depot repair only; shipping not included.,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""Depot"",""notes"":""""}"
ASSET-000629,Riverview Consulting Ltd.,WAR-0FBCF6E4,2025-04-28,2027-04-28,Preventive maintenance visits included (2 per year).,"{""coverage"":""full"",""pm_included"":false,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000056,Nimbus Curriculum Co.,WAR-849EE3DB,2024-01-04,2027-01-03,Full coverage with on-site support within 48 hours.,"{""coverage"":""full"",""pm_included"":false,""service_level"":""NBD"",""notes"":""Proof of purchase required""}"
ASSET-000496,Riverview Maintenance Solutions,WAR-F409988F,2025-05-14,2028-05-13,Full coverage with on-site support within 48 hours.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""Depot"",""notes"":""Requires RMA""}"
ASSET-000516,Cedar Maintenance Systems,WAR-243BDC17,2024-07-21,2025-07-21,Standard parts and labor warranty.,"{""coverage"":""full"",""pm_included"":true,""service_level"":""NBD"",""notes"":""Proof of purchase required""}"
ASSET-000344,Vertex Consulting Co.,WAR-15665B5B,2024-09-27,2024-12-26,Extended coverage for parts only; labor excluded.,"{""coverage"":""full"",""pm_included"":true,""service_level"":""72h"",""notes"":""""}"
ASSET-000146,Oakstone Technology Solutions,WAR-69BA2336,2024-03-30,2024-06-28,Standard parts and labor warranty.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""Depot"",""notes"":""Requires RMA""}"
ASSET-000549,Nimbus Curriculum Co.,WAR-B0604838,2025-03-22,2025-09-18,Depot repair only; shipping not included.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""NBD"",""notes"":""""}"
ASSET-000833,Evergreen Assessment Group,WAR-03E0EE4C,2024-03-18,2025-03-18,Depot repair only; shipping not included.,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000196,Riverview Maintenance Solutions,WAR-51ED8C33,2025-03-12,2026-03-12,Full coverage with on-site support within 48 hours.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""72h"",""notes"":""Requires RMA""}"
ASSET-000668,Vertex Consulting Co.,WAR-069E1C91,2023-07-27,2026-07-26,Preventive maintenance visits included (2 per year).,"{""coverage"":""full"",""pm_included"":false,""service_level"":""48h"",""notes"":""Proof of purchase required""}"
ASSET-000533,Westfield Education Co.,WAR-917BA240,2022-11-07,2023-02-05,Depot repair only; shipping not included.,"{""coverage"":""labor"",""pm_included"":false,""service_level"":""Depot"",""notes"":""""}"
ASSET-000455,Skyline Services Systems,WAR-7A6A031D,2025-06-08,2028-06-07,Depot repair only; shipping not included.,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000234,Meridian Curriculum Solutions,WAR-81446ADA,2025-02-18,2025-08-17,Standard parts and labor warranty.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000586,Prairie Facilities Inc.,WAR-7869E0C9,2025-01-03,2028-01-03,Depot repair only; shipping not included.,"{""coverage"":""full"",""pm_included"":true,""service_level"":""72h"",""notes"":""Requires RMA""}"
ASSET-000508,Redwood Wellness Partners,WAR-64CE4196,2025-01-30,2025-07-29,Depot repair only; shipping not included.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000309,Prairie Facilities Inc.,WAR-3A7D6EC3,2024-06-11,2024-09-09,Full coverage with on-site support within 48 hours.,"{""coverage"":""full"",""pm_included"":false,""service_level"":""48h"",""notes"":""Proof of purchase required""}"
ASSET-000030,Nimbus Services Ltd.,WAR-7755ED38,2024-05-16,2026-05-16,Depot repair only; shipping not included.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000423,Granite Technology Co.,WAR-EFF338D6,2025-03-01,2026-03-01,Preventive maintenance visits included (2 per year).,"{""coverage"":""full"",""pm_included"":true,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000215,Beacon Textbooks Ltd.,WAR-AA0A7F9B,2023-07-16,2024-01-12,Standard parts and labor warranty.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000016,Nimbus Services Ltd.,WAR-F3778759,2024-03-25,2027-03-25,Standard parts and labor warranty.,"{""coverage"":""full"",""pm_included"":true,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000605,Oakstone Technology Inc.,WAR-A2CE207A,2024-12-02,2027-12-02,Depot repair only; shipping not included.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""72h"",""notes"":""Requires RMA""}"
ASSET-000087,Skyline Services Systems,WAR-C732E07E,2022-09-29,2023-09-29,Standard parts and labor warranty.,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""72h"",""notes"":""Proof of purchase required""}"
ASSET-000396,Granite Technology Co.,WAR-A68BE871,2025-04-01,2027-04-01,Standard parts and labor warranty.,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""72h"",""notes"":""Proof of purchase required""}"
ASSET-000648,Oakstone Technology Inc.,WAR-16507412,2023-12-11,2024-12-10,Full coverage with on-site support within 48 hours.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000831,Aurora Curriculum Ltd.,WAR-F410EDD0,2023-10-14,2024-04-11,Standard parts and labor warranty.,"{""coverage"":""full"",""pm_included"":true,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000578,Riverview Consulting Ltd.,WAR-16F4A7AD,2024-01-24,2024-04-23,Full coverage with on-site support within 48 hours.,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""48h"",""notes"":""""}"
ASSET-000138,Riverview Maintenance Solutions,WAR-1E035025,2025-06-04,2028-06-03,Depot repair only; shipping not included.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""48h"",""notes"":""""}"
ASSET-000756,Westfield Education Co.,WAR-63483BDE,2023-04-17,2024-04-16,Depot repair only; shipping not included.,"{""coverage"":""full"",""pm_included"":false,""service_level"":""72h"",""notes"":""Requires RMA""}"
ASSET-000819,Nimbus Services Ltd.,WAR-10C05C07,2025-04-03,2027-04-03,Depot repair only; shipping not included.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000541,Cedar Maintenance Systems,WAR-3C3CA3EC,2024-08-11,2024-11-09,Extended coverage for parts only; labor excluded.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""NBD"",""notes"":""""}"
ASSET-000218,Beacon Cloud Inc.,WAR-2945912F,2024-10-20,2027-10-20,Standard parts and labor warranty.,"{""coverage"":""full"",""pm_included"":false,""service_level"":""72h"",""notes"":""""}"
ASSET-000832,Skyline Transportation Inc.,WAR-DBA3718A,2023-10-11,2024-04-08,Standard parts and labor warranty.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""72h"",""notes"":""""}"
ASSET-000697,Prairie Facilities Inc.,WAR-CB4B9E51,2024-09-03,2026-09-03,Depot repair only; shipping not included.,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""72h"",""notes"":""""}"
ASSET-000305,Terrace Wellness Ltd.,WAR-F1D7D6AF,2023-10-27,2025-10-26,Full coverage with on-site support within 48 hours.,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""72h"",""notes"":""""}"
ASSET-000554,Nimbus Communications LLC,WAR-A28516D6,2025-05-20,2026-05-20,Preventive maintenance visits included (2 per year).,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""72h"",""notes"":""Requires RMA""}"
ASSET-000419,Meridian Curriculum Solutions,WAR-E2F6929A,2024-05-15,2024-11-11,Preventive maintenance visits included (2 per year).,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""48h"",""notes"":""""}"
ASSET-000809,Terrace Wellness Ltd.,WAR-C5E75F4E,2023-05-15,2023-08-13,Depot repair only; shipping not included.,"{""coverage"":""full"",""pm_included"":true,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000654,Meridian Curriculum Solutions,WAR-4FC4C227,2024-03-08,2024-06-06,Depot repair only; shipping not included.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""NBD"",""notes"":""Proof of purchase required""}"
ASSET-000755,Cedar Maintenance Systems,WAR-4784E578,2023-04-20,2025-04-19,Depot repair only; shipping not included.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""48h"",""notes"":""""}"
ASSET-000456,Riverview Maintenance Solutions,WAR-42D18E05,2023-03-05,2024-03-04,Extended coverage for parts only; labor excluded.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""48h"",""notes"":""Proof of purchase required""}"
ASSET-000025,Nimbus Services Ltd.,WAR-3BE315EE,2022-09-07,2025-09-06,Standard parts and labor warranty.,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""72h"",""notes"":""""}"
ASSET-000089,Nimbus Curriculum Co.,WAR-87700A75,2024-08-11,2024-11-09,Full coverage with on-site support within 48 hours.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""Depot"",""notes"":""""}"
ASSET-000650,Terrace Wellness Ltd.,WAR-AEB1A47F,2023-04-04,2026-04-03,Standard parts and labor warranty.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""NBD"",""notes"":""Requires RMA""}"
ASSET-000257,Cedar Maintenance Systems,WAR-E2B2E7D7,2023-08-17,2026-08-16,Depot repair only; shipping not included.,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""NBD"",""notes"":""Proof of purchase required""}"
ASSET-000692,Beacon Cloud Inc.,WAR-8388F256,2025-07-20,2026-01-16,Depot repair only; shipping not included.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""Depot"",""notes"":""Requires RMA""}"
ASSET-000697,Vertex Foodservice Group,WAR-DD1303CA,2024-09-10,2025-03-09,Preventive maintenance visits included (2 per year).,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""NBD"",""notes"":""Proof of purchase required""}"
ASSET-000725,Vertex Janitorial LLC,WAR-D59F6192,2023-02-05,2024-02-05,Full coverage with on-site support within 48 hours.,"{""coverage"":""full"",""pm_included"":false,""service_level"":""72h"",""notes"":""Proof of purchase required""}"
ASSET-000708,Beacon Cloud Inc.,WAR-26EFD44A,2023-09-26,2024-03-24,Standard parts and labor warranty.,"{""coverage"":""full"",""pm_included"":false,""service_level"":""NBD"",""notes"":""Requires RMA""}"
ASSET-000364,Riverview Consulting Ltd.,WAR-31765B32,2024-08-18,2025-08-18,Extended coverage for parts only; labor excluded.,"{""coverage"":""labor"",""pm_included"":false,""service_level"":""48h"",""notes"":""""}"
ASSET-000129,Vertex Janitorial LLC,WAR-E8B076CD,2024-06-07,2024-12-04,Standard parts and labor warranty.,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""Depot"",""notes"":""""}"
ASSET-000635,Westfield Education Co.,WAR-2847E0F6,2024-02-29,2027-02-28,Standard parts and labor warranty.,"{""coverage"":""labor"",""pm_included"":false,""service_level"":""NBD"",""notes"":""Proof of purchase required""}"
ASSET-000081,Nimbus Curriculum Co.,WAR-C5DF45DF,2025-05-08,2028-05-07,Full coverage with on-site support within 48 hours.,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""48h"",""notes"":""Proof of purchase required""}"
ASSET-000411,Vertex Foodservice Group,WAR-705700CB,2024-04-24,2026-04-24,Extended coverage for parts only; labor excluded.,"{""coverage"":""full"",""pm_included"":true,""service_level"":""NBD"",""notes"":""""}"
ASSET-000171,Prairie Facilities Inc.,WAR-BF9C0D23,2022-09-21,2023-09-21,Preventive maintenance visits included (2 per year).,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""Depot"",""notes"":""Requires RMA""}"
ASSET-000280,Vertex Foodservice Group,WAR-A76653DD,2025-07-12,2027-07-12,Extended coverage for parts only; labor excluded.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""NBD"",""notes"":""Proof of purchase required""}"
ASSET-000456,Riverview Transportation Solutions,WAR-6FFB1797,2024-05-05,2026-05-05,Extended coverage for parts only; labor excluded.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""NBD"",""notes"":""""}"
ASSET-000046,Riverview Consulting Ltd.,WAR-835DF13F,2023-04-23,2023-10-20,Extended coverage for parts only; labor excluded.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000458,Summit Maintenance Inc.,WAR-DCCF9A93,2024-08-01,2027-08-01,Standard parts and labor warranty.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""48h"",""notes"":""Proof of purchase required""}"
ASSET-000538,Cedar Maintenance Systems,WAR-FB8EAF58,2024-06-20,2024-12-17,Depot repair only; shipping not included.,"{""coverage"":""full"",""pm_included"":true,""service_level"":""NBD"",""notes"":""""}"
ASSET-000367,Vertex Textbooks Group,WAR-CF0B2725,2023-12-19,2024-03-18,Full coverage with on-site support within 48 hours.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""48h"",""notes"":""Requires RMA""}"
ASSET-000399,Meridian Curriculum Solutions,WAR-F200C8FC,2024-09-27,2025-09-27,Extended coverage for parts only; labor excluded.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""NBD"",""notes"":""""}"
ASSET-000008,Evergreen Assessment Group,WAR-C6334B7E,2024-10-30,2026-10-30,Depot repair only; shipping not included.,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000201,Vertex Janitorial LLC,WAR-0F03E88B,2024-10-29,2025-04-27,Standard parts and labor warranty.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""NBD"",""notes"":""""}"
ASSET-000831,Westfield Consulting Systems,WAR-B0254182,2023-06-26,2024-06-25,Full coverage with on-site support within 48 hours.,"{""coverage"":""labor"",""pm_included"":false,""service_level"":""72h"",""notes"":""Requires RMA""}"
ASSET-000239,Vertex Consulting Co.,WAR-53F40E10,2025-02-13,2028-02-13,Full coverage with on-site support within 48 hours.,"{""coverage"":""full"",""pm_included"":true,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000161,Westfield Consulting Systems,WAR-E425AAC6,2023-01-08,2026-01-07,Preventive maintenance visits included (2 per year).,"{""coverage"":""limited"",""pm_included"":false,""service_level"":""72h"",""notes"":""Proof of purchase required""}"
ASSET-000149,Cedar Maintenance Systems,WAR-B08AA008,2023-08-12,2026-08-11,Standard parts and labor warranty.,"{""coverage"":""labor"",""pm_included"":false,""service_level"":""72h"",""notes"":""""}"
ASSET-000255,Skyline Services Systems,WAR-09C3B150,2024-04-28,2027-04-28,Preventive maintenance visits included (2 per year).,"{""coverage"":""full"",""pm_included"":false,""service_level"":""72h"",""notes"":""Requires RMA""}"
