work_order_id,part_id,qty,unit_cost,extended_cost,notes
260fff28-2e5e-4aaf-8681-ff3ccf89e24b,ed448c57-efd2-4c52-9281-9da6c193ab8a,1.00,0.43,0.43,
edd46405-beeb-458c-b545-a5aef97bce7d,ef162fe8-ceaa-419e-a404-7c374c3b023e,1.00,205.34,205.34,
7705e256-4531-4fdd-865b-df5dce6de89d,f4c0e6c0-f815-4307-9940-408df95ffa31,1.00,12.45,12.45,
4db58c1c-4f9e-4128-b9f0-0c1bae2c37f6,f6af2f53-7246-48b5-b018-f99782e6e64a,1.00,23.21,23.21,
808473cc-10e1-4043-b595-68428bfc7e1b,015e5614-e82a-4849-b389-52c309701ae5,1.00,29.70,29.70,
5f46e7b8-ee69-4347-8f0d-eccf7318a0df,0b9555ad-90ed-4893-9bb8-a647295e0382,1.00,25.06,25.06,
ef7f5930-e523-41cc-a673-3e8e4bc49445,1007d830-e892-4775-85ba-eab21a4f74ba,1.00,4.20,4.20,
3255108c-3f3f-4adf-a90b-9fcd6399df6e,1122c2bb-9431-4b9e-88b7-502d3eced492,1.00,21.80,21.80,
00d768c1-65ef-40c2-a072-d53257cf615d,1460895d-a11d-436d-a977-6a865b636087,1.00,36.73,36.73,
cbc1cc57-fa62-4373-be58-6f14f1adfeb4,16021e22-2c05-4e1b-bab1-e9c955793b76,1.00,6.58,6.58,
53c0c983-91d4-4a32-9c8f-134ffc9d503e,16da0bcf-d539-482a-97b9-1c4135e7d6ce,1.00,6.22,6.22,
b7bca7c2-03ce-42c9-8d30-673870866f16,183ecd2d-cdeb-4ac9-88c1-5cc98e8f05b4,1.00,11.25,11.25,
32017805-e5de-4f90-908f-8a02d1bee847,1d90914f-8dd6-484d-97ee-5018c64ad417,1.00,0.65,0.65,
edf8297e-ef15-41f2-a298-aad474f0c513,1fcec895-4ccf-4132-b69e-5976ce1b13c2,1.00,97.56,97.56,
1b31589a-8aa2-4199-9594-e71f56beb30c,252a9d53-7b96-4cd0-a4ec-60907f9aa0d3,1.00,9.92,9.92,
93e9184e-56fe-4296-b5a8-a17cfb48da15,2716740c-d96f-43d2-8752-d41923410a0e,1.00,186.88,186.88,
6be47d13-3158-4260-8b86-e7c674f38c2d,2784f863-cffc-4224-9d8b-6e9f58585b97,1.00,33.35,33.35,
202801c2-3b25-498e-8b9e-804305d2eced,2b1a8172-1b1e-4d6a-af5d-fa6fbae0f279,1.00,3.66,3.66,
54fc7208-c750-453c-b77a-d11064b52b64,2f8dfe63-9bd3-40b4-b5f9-6a50d34c9495,1.00,25.05,25.05,
68565f9d-42f7-44ab-9efe-1c7e5ede765f,3362358e-c276-4460-b2b9-a7b3a4a72803,1.00,35.72,35.72,
d8e2ba39-d1f6-41b5-8297-0fdb5e5dbd16,3392ac79-f9b2-4566-9780-a2f84bc29c4d,1.00,9.30,9.30,
b980b6e2-5415-40f7-ae08-95fb4fbe795e,372da2b4-ef1c-43b7-a042-2fa831880229,1.00,27.41,27.41,
95db44c8-628d-4150-b106-c91a6936f5ab,396c357d-ae6d-44ea-b4fa-322483dd98ee,1.00,1.39,1.39,
48dfbf8d-7559-47e7-85ca-39d8c0aa5555,3f2283ae-2f74-4028-96b6-574db403aca5,1.00,3.10,3.10,
598fc54f-47ea-4c17-81eb-9e563cac8cc1,3f4017f9-6c5a-4801-8e2d-bab9f46a3be1,1.00,5.65,5.65,
3e8d2e6a-32b0-461a-96ae-afb5710abbbb,562f0e4c-6323-4b46-bb29-cad74f652a60,1.00,6.31,6.31,
39d5f575-e6e1-4c36-8fa3-c1b678e1ea47,576d64ca-d3dc-4f49-9732-bd89e58ceb00,1.00,8.13,8.13,
b14197d2-481c-4774-bb73-0891a39518d7,58c7e5ae-8620-4daf-b87e-90d03420248e,1.00,22.70,22.70,
64b83a54-6a4c-4f6a-bb12-031c1b98856c,6d009771-8deb-4cc3-bbba-dea63ad30730,1.00,74.17,74.17,
c39ef271-f38e-4dcf-8f0a-e269e8256862,6d477c52-5b0f-498d-bb9f-d63a25861dfe,1.00,13.35,13.35,
5a997efd-fe46-415f-9635-0c2885ddd7cf,720868c3-8851-45bb-bada-4fdc8896b70f,1.00,5.97,5.97,
ae761471-57f4-4103-aed4-60823ab05460,7acc138f-c3df-47a2-a267-3579ac58efc2,1.00,71.03,71.03,
232ae9e5-99d9-419c-825f-6c4850ea4351,7c7826ad-672f-4835-98b0-e107fcc2064e,1.00,141.02,141.02,
235bbb9d-debd-4be7-a5aa-4337b0dd2552,8081b9e3-6f34-4464-a589-35b5aa7ca74b,1.00,9.45,9.45,
64655f41-3855-48f8-aae4-8287f4a5800d,8a98506f-372c-4e09-98f7-6696ea5dd539,1.00,2.39,2.39,
013df3fe-6136-4190-bab1-6d00f3677d9c,8d8f7dd9-3047-45e0-9be1-0a61bcbb7009,1.00,1.63,1.63,
adeba49f-a250-4fd9-a609-8ff7d151280d,9437a495-f3c4-4a1a-9e82-e1fffc969685,1.00,10.32,10.32,
7a5e6806-4ec1-4c99-b08b-29ff52d25413,9724e5bf-7b8e-4b99-8935-41c5086c0c70,1.00,69.41,69.41,
034080bf-0183-4c49-b823-7706f13904cc,9e873e9b-f2e2-4eba-b3fb-b79ac708cfdf,1.00,2.45,2.45,
6e36bc8f-a8b7-44bb-b3c3-10faeef835cb,ad160051-1c6e-4924-bf68-fa91a107ce03,1.00,4.21,4.21,
763d7baa-62be-4bc6-9215-a597947b76f7,b3d7a594-f8c2-4040-af23-daa06ae2b5e8,1.00,0.55,0.55,
30c022a2-db90-4df1-b6cc-0d0e861aec53,b4d54636-7cb1-4785-a6fd-9a1ad728b6d1,1.00,14.49,14.49,
5f5a902d-9f4f-4f8d-9af4-ea0cacf3a337,b6b55586-d686-4eac-8804-cc4100a8ab96,1.00,29.29,29.29,
d8198a81-eeec-4c11-9f4c-1911c5a5a48a,baffdc81-6f40-4580-b2e9-4ede3dd1a32c,1.00,25.23,25.23,
793ca4c8-9393-4924-9b18-e0621084c7b8,cc60524d-d73b-47d0-86d4-91ba11d28a21,1.00,12.91,12.91,
829fa33a-ff72-4539-a982-154021f16408,ddc62476-f0b5-41c1-9204-dd812ca0a36b,1.00,5.75,5.75,
50fa8432-5dd2-4dec-8766-4fed7135f1e3,de31a1be-2037-4411-903f-46240ee2d1eb,1.00,45.95,45.95,
90bcff15-3ede-415d-9f19-0b29df0ed9d8,e61213e8-eee6-40cb-9bf4-764cc316dc76,1.00,74.84,74.84,
6284657e-659c-4347-a5c9-43a65415b90b,ed448c57-efd2-4c52-9281-9da6c193ab8a,1.00,0.43,0.43,
2bbc19b4-62c0-480e-a04a-2c84ba73d201,ef162fe8-ceaa-419e-a404-7c374c3b023e,1.00,205.34,205.34,
8ab7fc5e-6ca0-4bc8-8494-87e6fefce9cd,f4c0e6c0-f815-4307-9940-408df95ffa31,1.00,12.45,12.45,
1f3bee13-00bf-4396-898c-6c3eae369837,f6af2f53-7246-48b5-b018-f99782e6e64a,1.00,23.21,23.21,
75d80e6d-e4aa-468c-ab8f-b217c1b4600f,015e5614-e82a-4849-b389-52c309701ae5,1.00,29.70,29.70,
e9249405-9e86-45d3-977d-d66565d6e58c,0b9555ad-90ed-4893-9bb8-a647295e0382,1.00,25.06,25.06,
0d6fe037-e2de-43d8-b756-6768c2a574e2,1007d830-e892-4775-85ba-eab21a4f74ba,1.00,4.20,4.20,
3b78be55-493e-4f0d-942a-340ce189b0b8,1122c2bb-9431-4b9e-88b7-502d3eced492,1.00,21.80,21.80,
bb4e895c-059e-46ef-b734-f9d3f174c5b9,1460895d-a11d-436d-a977-6a865b636087,1.00,36.73,36.73,
68f8d89b-e1f9-45d9-8032-57843c79c0fe,16021e22-2c05-4e1b-bab1-e9c955793b76,1.00,6.58,6.58,
9aa355d9-22d3-4bd3-ac23-5f8e5c1c59c2,16da0bcf-d539-482a-97b9-1c4135e7d6ce,1.00,6.22,6.22,
e04a455a-40e0-46ad-b97d-b2e359cbbe09,183ecd2d-cdeb-4ac9-88c1-5cc98e8f05b4,1.00,11.25,11.25,
a1876341-4ab0-404f-b321-72efdda7e420,1d90914f-8dd6-484d-97ee-5018c64ad417,1.00,0.65,0.65,
713b4959-c2a1-408a-9961-712f3d699a90,1fcec895-4ccf-4132-b69e-5976ce1b13c2,1.00,97.56,97.56,
e89e600b-2958-4dc3-90f0-f673c0fa6da9,252a9d53-7b96-4cd0-a4ec-60907f9aa0d3,1.00,9.92,9.92,
fd8501b9-8edb-42e4-b534-2b2cd84e2875,2716740c-d96f-43d2-8752-d41923410a0e,1.00,186.88,186.88,
afd6fb15-4c1b-490a-aa89-e616368385af,2784f863-cffc-4224-9d8b-6e9f58585b97,1.00,33.35,33.35,
2d5f256d-d5d3-4432-839d-1f9b68a41030,2b1a8172-1b1e-4d6a-af5d-fa6fbae0f279,1.00,3.66,3.66,
f46b3fab-8448-47e4-9423-8d16d1f91f8e,2f8dfe63-9bd3-40b4-b5f9-6a50d34c9495,1.00,25.05,25.05,
b2e65797-e5c5-4f03-a7dc-b9a91f07fa67,3362358e-c276-4460-b2b9-a7b3a4a72803,1.00,35.72,35.72,
f2f929fc-363b-463d-bc68-72faeabee693,3392ac79-f9b2-4566-9780-a2f84bc29c4d,1.00,9.30,9.30,
cf93a6f7-aeb8-4fba-9f5c-0784659554f4,372da2b4-ef1c-43b7-a042-2fa831880229,1.00,27.41,27.41,
9ed63b26-c961-4055-a792-e36f676e5613,396c357d-ae6d-44ea-b4fa-322483dd98ee,1.00,1.39,1.39,
ca50e34c-df45-4515-ab2c-1b06a1964017,3f2283ae-2f74-4028-96b6-574db403aca5,1.00,3.10,3.10,
010203f9-4eca-421b-8aa0-3ad8394684a7,3f4017f9-6c5a-4801-8e2d-bab9f46a3be1,1.00,5.65,5.65,
e9f6967d-4ca5-4a18-939e-a7d09a0e45d8,562f0e4c-6323-4b46-bb29-cad74f652a60,1.00,6.31,6.31,
325e945c-3b88-4eb7-add9-d1bd4f91c5ba,576d64ca-d3dc-4f49-9732-bd89e58ceb00,1.00,8.13,8.13,
07b4d989-1128-4c46-b11c-0df8229fc260,58c7e5ae-8620-4daf-b87e-90d03420248e,1.00,22.70,22.70,
e797a5fd-0793-477f-982c-0ec55caa4a1f,6d009771-8deb-4cc3-bbba-dea63ad30730,1.00,74.17,74.17,
ec1b47b7-64b5-4529-83ac-4db91d13ee09,6d477c52-5b0f-498d-bb9f-d63a25861dfe,1.00,13.35,13.35,
7b0391cb-bfc7-409e-b8c1-21a2e30207b4,720868c3-8851-45bb-bada-4fdc8896b70f,1.00,5.97,5.97,
ae0b96a8-f2dd-4aa1-ab89-ff98f6b1b95b,7acc138f-c3df-47a2-a267-3579ac58efc2,1.00,71.03,71.03,
239b9b1a-46d7-48bf-be9b-9beeb0244dc3,7c7826ad-672f-4835-98b0-e107fcc2064e,1.00,141.02,141.02,
cb0d61b9-9b08-4c6c-ba11-396be0830d52,8081b9e3-6f34-4464-a589-35b5aa7ca74b,1.00,9.45,9.45,
b5101bb2-dcfe-4ea0-ad5e-b0a14c446706,8a98506f-372c-4e09-98f7-6696ea5dd539,1.00,2.39,2.39,
27054ed0-35dc-43ee-9f63-5f8829817eca,8d8f7dd9-3047-45e0-9be1-0a61bcbb7009,1.00,1.63,1.63,
bc0b0d9e-2f52-45dd-a99a-d772988093e1,9437a495-f3c4-4a1a-9e82-e1fffc969685,1.00,10.32,10.32,
e065fd02-eea2-471d-b18d-1b889e59f400,9724e5bf-7b8e-4b99-8935-41c5086c0c70,1.00,69.41,69.41,
f9478d11-dc10-42c2-b868-933207b6a00c,9e873e9b-f2e2-4eba-b3fb-b79ac708cfdf,1.00,2.45,2.45,
bad56b7f-b576-49c2-921d-079c60faff52,ad160051-1c6e-4924-bf68-fa91a107ce03,1.00,4.21,4.21,
63872086-5041-4e81-9d31-3e471fabf0ac,b3d7a594-f8c2-4040-af23-daa06ae2b5e8,1.00,0.55,0.55,
f40b1959-3bcf-43fb-9a5d-af4f4b00505b,b4d54636-7cb1-4785-a6fd-9a1ad728b6d1,1.00,14.49,14.49,
939b4ad8-e651-4812-b584-cfa0407e1c66,b6b55586-d686-4eac-8804-cc4100a8ab96,1.00,29.29,29.29,
895a6d4d-a7c3-48b5-b124-c92138844d37,baffdc81-6f40-4580-b2e9-4ede3dd1a32c,1.00,25.23,25.23,
20a55ad3-8bf4-41f6-a040-26978b21c7d7,cc60524d-d73b-47d0-86d4-91ba11d28a21,1.00,12.91,12.91,
1c7d326e-686b-4413-86a7-bb8f6fdc151f,ddc62476-f0b5-41c1-9204-dd812ca0a36b,1.00,5.75,5.75,
b18d85ff-a079-43bb-a995-7c0a00e6d43d,de31a1be-2037-4411-903f-46240ee2d1eb,1.00,45.95,45.95,
cada74b5-76e7-4555-aca5-1d8de523a483,e61213e8-eee6-40cb-9bf4-764cc316dc76,1.00,74.84,74.84,
a717ceec-9aae-41c5-ac24-14336510004e,ed448c57-efd2-4c52-9281-9da6c193ab8a,1.00,0.43,0.43,
441ba681-0a3e-42ab-96a1-d5c4ed075a84,ef162fe8-ceaa-419e-a404-7c374c3b023e,1.00,205.34,205.34,
8f904511-eee5-4a47-8305-957cc66123f1,f4c0e6c0-f815-4307-9940-408df95ffa31,1.00,12.45,12.45,
b9d1613c-0733-4ccc-a9e9-5a92188a8a62,f6af2f53-7246-48b5-b018-f99782e6e64a,1.00,23.21,23.21,
287f26a7-228c-4859-9689-8ab6e0c51bc5,015e5614-e82a-4849-b389-52c309701ae5,1.00,29.70,29.70,
908bfdc3-c0f1-4eff-b8ee-a125b8758e91,0b9555ad-90ed-4893-9bb8-a647295e0382,1.00,25.06,25.06,
bf71ae64-6b10-411d-94ab-2979c1e6a499,1007d830-e892-4775-85ba-eab21a4f74ba,1.00,4.20,4.20,
d48d04e4-9ec0-4125-916c-ea8a6d2e1d2b,1122c2bb-9431-4b9e-88b7-502d3eced492,1.00,21.80,21.80,
d66413da-b18d-4c39-9031-87fb563fbed6,1460895d-a11d-436d-a977-6a865b636087,1.00,36.73,36.73,
6ef26841-e59e-44aa-93fd-77bb502ebaca,16021e22-2c05-4e1b-bab1-e9c955793b76,1.00,6.58,6.58,
1cb99515-8f8e-403d-b9e1-cdcb5f96ba37,16da0bcf-d539-482a-97b9-1c4135e7d6ce,1.00,6.22,6.22,
b9a45114-2612-495b-ba6d-cfc3d59eece3,183ecd2d-cdeb-4ac9-88c1-5cc98e8f05b4,1.00,11.25,11.25,
a2dc1b50-e1ee-4e7b-b290-c710111c5e80,1d90914f-8dd6-484d-97ee-5018c64ad417,1.00,0.65,0.65,
ca9f9f32-9e39-4a3b-9ecf-a4f093974cac,1fcec895-4ccf-4132-b69e-5976ce1b13c2,1.00,97.56,97.56,
6d62e8f6-1ede-4cd6-8d45-783096d320cc,252a9d53-7b96-4cd0-a4ec-60907f9aa0d3,1.00,9.92,9.92,
30cd8047-cd32-4845-a30c-d48059e15a82,2716740c-d96f-43d2-8752-d41923410a0e,1.00,186.88,186.88,
d63ecde1-396c-4e62-997d-022c1eed758b,2784f863-cffc-4224-9d8b-6e9f58585b97,1.00,33.35,33.35,
1d5a3361-9202-428b-8b70-4112632711f6,2b1a8172-1b1e-4d6a-af5d-fa6fbae0f279,1.00,3.66,3.66,
ba72d82f-a229-41c9-a8d2-61176a349520,2f8dfe63-9bd3-40b4-b5f9-6a50d34c9495,1.00,25.05,25.05,
2fc5839a-d176-47bb-a3db-a14e83c62198,3362358e-c276-4460-b2b9-a7b3a4a72803,1.00,35.72,35.72,
f0b03f01-f102-496c-bbb6-d91c3edfaa62,3392ac79-f9b2-4566-9780-a2f84bc29c4d,1.00,9.30,9.30,
0e2f690a-a11d-4355-9253-2d80d1d7a1f8,372da2b4-ef1c-43b7-a042-2fa831880229,1.00,27.41,27.41,
32c2d4d6-8871-49c7-9d40-f04880c9df9c,396c357d-ae6d-44ea-b4fa-322483dd98ee,1.00,1.39,1.39,
94d236ec-a48e-4e3f-b4d5-136ccafe1c77,3f2283ae-2f74-4028-96b6-574db403aca5,1.00,3.10,3.10,
24865fab-10fe-4a72-a4ff-1ab3c876815e,3f4017f9-6c5a-4801-8e2d-bab9f46a3be1,1.00,5.65,5.65,
2e1ca83c-d040-44f7-949b-1eb07eda081d,562f0e4c-6323-4b46-bb29-cad74f652a60,1.00,6.31,6.31,
862e31ee-14d6-4ff6-8d31-f73fa222b143,576d64ca-d3dc-4f49-9732-bd89e58ceb00,1.00,8.13,8.13,
69d636e4-dbf4-4fc6-a0a7-15b11d248370,58c7e5ae-8620-4daf-b87e-90d03420248e,1.00,22.70,22.70,
d9c89ce0-e4fc-4a97-bdf7-51db4d18f7ed,6d009771-8deb-4cc3-bbba-dea63ad30730,1.00,74.17,74.17,
b368c36c-529c-4b0e-8fb9-fa6564545ceb,6d477c52-5b0f-498d-bb9f-d63a25861dfe,1.00,13.35,13.35,
70db57c9-5522-4e61-8c2c-eea11e365806,720868c3-8851-45bb-bada-4fdc8896b70f,1.00,5.97,5.97,
6b6ae594-3f71-44e6-95c3-9ed166681dfe,7acc138f-c3df-47a2-a267-3579ac58efc2,1.00,71.03,71.03,
36c47fe9-7155-49be-8b07-f06a3ad849bc,7c7826ad-672f-4835-98b0-e107fcc2064e,1.00,141.02,141.02,
d3cb62c8-59d3-4cb0-916d-87ddf296d86a,8081b9e3-6f34-4464-a589-35b5aa7ca74b,1.00,9.45,9.45,
50d752da-adc7-45d4-a178-064a177b66d3,8a98506f-372c-4e09-98f7-6696ea5dd539,1.00,2.39,2.39,
a08544df-4088-4065-9aac-4a8f6b6a8247,8d8f7dd9-3047-45e0-9be1-0a61bcbb7009,1.00,1.63,1.63,
e3424144-e886-436d-8e89-654081ac10fd,9437a495-f3c4-4a1a-9e82-e1fffc969685,1.00,10.32,10.32,
828384a2-8ba0-422e-a2e1-d48757696534,9724e5bf-7b8e-4b99-8935-41c5086c0c70,1.00,69.41,69.41,
a9a3cbde-ae88-4db1-a021-4d124b673e1a,9e873e9b-f2e2-4eba-b3fb-b79ac708cfdf,1.00,2.45,2.45,
64d979a6-263d-4d7a-94ff-583d52a62d0b,ad160051-1c6e-4924-bf68-fa91a107ce03,1.00,4.21,4.21,
450a0628-e1b4-4289-9fc3-2343e0132bdc,b3d7a594-f8c2-4040-af23-daa06ae2b5e8,1.00,0.55,0.55,
48ee0e9d-0aa3-41e7-a727-15ed6ea36609,b4d54636-7cb1-4785-a6fd-9a1ad728b6d1,1.00,14.49,14.49,
f19b98c4-7958-4465-a669-41c92e21f2b4,b6b55586-d686-4eac-8804-cc4100a8ab96,1.00,29.29,29.29,
5b642f46-878e-460a-960f-1ae9f781a573,baffdc81-6f40-4580-b2e9-4ede3dd1a32c,1.00,25.23,25.23,
3134aec5-0507-48de-acde-2fe41a169a9d,cc60524d-d73b-47d0-86d4-91ba11d28a21,1.00,12.91,12.91,
3249e136-3fe2-4162-8b73-c30c95c6b896,ddc62476-f0b5-41c1-9204-dd812ca0a36b,1.00,5.75,5.75,
ae0b7abc-4de8-4755-b057-71679bcb921e,de31a1be-2037-4411-903f-46240ee2d1eb,1.00,45.95,45.95,
28d5f5c5-4570-43b7-ae32-4c99ff9fa241,e61213e8-eee6-40cb-9bf4-764cc316dc76,1.00,74.84,74.84,
bc4c5bc7-4e61-41f3-8758-ecc2168ce5f8,ed448c57-efd2-4c52-9281-9da6c193ab8a,1.00,0.43,0.43,
c6147210-01d4-4354-b9c5-07039510e1da,ef162fe8-ceaa-419e-a404-7c374c3b023e,1.00,205.34,205.34,
8b6ecf6f-fb1f-43a2-a90a-7604dbaccd59,f4c0e6c0-f815-4307-9940-408df95ffa31,1.00,12.45,12.45,
a1b279b4-59cc-43d0-9de4-2e7338ff438e,f6af2f53-7246-48b5-b018-f99782e6e64a,1.00,23.21,23.21,
438a928e-ddf3-4177-9996-3573d6550c17,015e5614-e82a-4849-b389-52c309701ae5,1.00,29.70,29.70,
4e42dd95-edc4-46aa-b301-f02976fbba16,0b9555ad-90ed-4893-9bb8-a647295e0382,1.00,25.06,25.06,
2ccdb904-35be-4d81-812b-ad2920e9ad14,1007d830-e892-4775-85ba-eab21a4f74ba,1.00,4.20,4.20,
54ddce54-11d5-44dc-8428-f5317159670d,1122c2bb-9431-4b9e-88b7-502d3eced492,1.00,21.80,21.80,
41d97831-a8bd-4589-a21d-cdcb81f997bd,1460895d-a11d-436d-a977-6a865b636087,1.00,36.73,36.73,
4d0b96dd-5aca-464d-a9ed-7f86585c0fd1,16021e22-2c05-4e1b-bab1-e9c955793b76,1.00,6.58,6.58,
f6a52872-98ae-4b83-a207-5b1950ad4a8e,16da0bcf-d539-482a-97b9-1c4135e7d6ce,1.00,6.22,6.22,
dfb4c8de-6646-4eb7-8c5b-f89e1ecde3d2,183ecd2d-cdeb-4ac9-88c1-5cc98e8f05b4,1.00,11.25,11.25,
