section_id,day_of_week,period_id,room_id
a573d700-a456-492f-982f-72d413357016,1,,
a7f6eb9d-f0b3-4353-8342-ef13aec7d102,1,,
a7f6eb9d-f0b3-4353-8342-ef13aec7d102,2,,
a816e842-c925-49a8-8e69-bf7412eaf298,2,,
a816e842-c925-49a8-8e69-bf7412eaf298,3,,
a900a4ad-3c2c-4ca4-bec5-b1fb62a46a9e,3,,
a900a4ad-3c2c-4ca4-bec5-b1fb62a46a9e,4,,
accb7e9a-8683-48e2-bfd1-f37b29e63460,4,,
accb7e9a-8683-48e2-bfd1-f37b29e63460,5,,
b175fffc-d41b-480a-b24c-18ccfe19dcbe,5,,
b175fffc-d41b-480a-b24c-18ccfe19dcbe,1,,
b4f5411a-666a-4cdc-bf9a-c2709b05d1fb,1,,
b4f5411a-666a-4cdc-bf9a-c2709b05d1fb,2,,
b71ac516-b7af-494a-b4b7-9cdd1889fa49,2,,
b71ac516-b7af-494a-b4b7-9cdd1889fa49,3,,
b7734267-3d71-48b0-b717-c16d3766a015,3,,
b7734267-3d71-48b0-b717-c16d3766a015,4,,
bd1980e6-4fd1-4c93-8246-05bc56004650,4,,
bd1980e6-4fd1-4c93-8246-05bc56004650,5,,
beb9ab85-b003-418b-9f19-bc2002d5220b,5,,
beb9ab85-b003-418b-9f19-bc2002d5220b,1,,
c1c4a1b7-8975-492e-b93e-6157007e460c,1,,
c1c4a1b7-8975-492e-b93e-6157007e460c,2,,
cb19e50d-6abe-4506-b7a5-12c3ca294849,2,,
cb19e50d-6abe-4506-b7a5-12c3ca294849,3,,
ce357aec-c956-4754-a4a1-06d56e1c5118,3,,
ce357aec-c956-4754-a4a1-06d56e1c5118,4,,
d0c27251-bbb2-47d2-bd50-9e785042b2cc,4,,
d0c27251-bbb2-47d2-bd50-9e785042b2cc,5,,
d1015121-2c95-4617-bad3-adeeefb33f8d,5,,
d1015121-2c95-4617-bad3-adeeefb33f8d,1,,
d144b971-1684-41c1-85e5-b7b51070fc45,1,,
d144b971-1684-41c1-85e5-b7b51070fc45,2,,
d7c3b37c-c62f-4a37-81ae-3f66459e6ea3,2,,
d7c3b37c-c62f-4a37-81ae-3f66459e6ea3,3,,
d83e5df1-af11-4589-9123-0754d93eb58d,3,,
d83e5df1-af11-4589-9123-0754d93eb58d,4,,
e029a1e7-1db5-4770-8f41-a0b5d68899fb,4,,
e029a1e7-1db5-4770-8f41-a0b5d68899fb,5,,
e80a471e-c041-482e-9cdd-3f7d41beffd7,5,,
e80a471e-c041-482e-9cdd-3f7d41beffd7,1,,
eccdb973-dc51-4e3e-98cb-094832159f4b,1,,
eccdb973-dc51-4e3e-98cb-094832159f4b,2,,
edcf8ab3-32c9-460d-94c0-740c0d48e59d,2,,
edcf8ab3-32c9-460d-94c0-740c0d48e59d,3,,
f0168e8b-d4c1-4409-a44c-e9143c5a45cb,3,,
f0168e8b-d4c1-4409-a44c-e9143c5a45cb,4,,
f090ebc0-348f-496a-b957-e10db99c775f,4,,
f090ebc0-348f-496a-b957-e10db99c775f,5,,
f1045e60-3c8a-42ed-8b51-c5330830674b,5,,
f1045e60-3c8a-42ed-8b51-c5330830674b,1,,
f2f1f90e-d2d0-41e8-b437-7ab398d3affc,1,,
f2f1f90e-d2d0-41e8-b437-7ab398d3affc,2,,
f646f50c-e52c-4b44-8ef3-f91c966b7526,2,,
f646f50c-e52c-4b44-8ef3-f91c966b7526,3,,
f8a96a6c-c668-4475-b2a4-5959881159a8,3,,
f8a96a6c-c668-4475-b2a4-5959881159a8,4,,
