building_code,floor_level_code,code,name,space_type,area_sqft,capacity
FAC-109-BLDG-04,1,112,Conference Room 112,Conference Room,231.00,17
FAC-109-BLDG-04,1,113,Classroom 113,Classroom,675.00,35
FAC-109-BLDG-04,1,114,Office 114,Office,235.00,2
FAC-109-BLDG-04,1,115,Classroom 115,Classroom,910.00,22
FAC-109-BLDG-04,1,116,Storage 116,Storage,68.00,0
FAC-109-BLDG-04,2,201,Classroom 201,Classroom,1091.00,27
FAC-109-BLDG-04,2,202,Office 202,Office,163.00,1
FAC-109-BLDG-04,2,203,Science Lab 203,Science Lab,1114.00,28
FAC-109-BLDG-04,2,204,Science Lab 204,Science Lab,1167.00,23
FAC-109-BLDG-04,2,205,Storage 205,Storage,86.00,0
FAC-109-BLDG-04,2,206,Computer Lab 206,Computer Lab,960.00,23
FAC-109-BLDG-04,2,207,Classroom 207,Classroom,717.00,29
FAC-109-BLDG-04,2,208,Office 208,Office,118.00,1
FAC-109-BLDG-04,2,209,Office 209,Office,125.00,1
FAC-109-BLDG-04,2,210,Office 210,Office,229.00,3
FAC-109-BLDG-04,2,211,Classroom 211,Classroom,828.00,22
FAC-109-BLDG-04,2,212,Storage 212,Storage,107.00,0
FAC-109-BLDG-04,2,213,Classroom 213,Classroom,874.00,29
FAC-109-BLDG-04,2,214,Science Lab 214,Science Lab,1313.00,28
FAC-109-BLDG-04,2,215,Office 215,Office,176.00,1
FAC-109-BLDG-04,2,216,Storage 216,Storage,77.00,0
FAC-109-BLDG-04,2,217,Classroom 217,Classroom,704.00,24
FAC-109-BLDG-04,3,301,Classroom 301,Classroom,757.00,30
FAC-109-BLDG-04,3,302,Classroom 302,Classroom,974.00,28
FAC-109-BLDG-04,3,303,Office 303,Office,164.00,1
FAC-109-BLDG-04,3,304,Classroom 304,Classroom,866.00,28
FAC-109-BLDG-04,3,305,Classroom 305,Classroom,820.00,24
FAC-109-BLDG-04,3,306,Computer Lab 306,Computer Lab,934.00,22
FAC-109-BLDG-04,3,307,Conference Room 307,Conference Room,482.00,17
FAC-109-BLDG-04,3,308,Office 308,Office,102.00,1
FAC-109-BLDG-04,3,309,Classroom 309,Classroom,1003.00,24
FAC-109-BLDG-04,3,310,Office 310,Office,194.00,2
FAC-109-BLDG-04,3,311,Office 311,Office,110.00,3
FAC-109-BLDG-04,3,312,Office 312,Office,110.00,3
FAC-109-BLDG-05,1,101,Computer Lab 101,Computer Lab,1141.00,21
FAC-109-BLDG-05,1,102,Office 102,Office,204.00,2
FAC-109-BLDG-05,1,103,Storage 103,Storage,90.00,0
FAC-109-BLDG-05,1,104,Storage 104,Storage,162.00,0
FAC-109-BLDG-05,1,105,Library/Media Center 105,Library/Media Center,4877.00,33
FAC-109-BLDG-05,1,106,Classroom 106,Classroom,820.00,33
FAC-109-BLDG-05,1,107,Cafeteria 107,Cafeteria,4532.00,148
FAC-109-BLDG-05,1,108,Classroom 108,Classroom,1009.00,23
FAC-109-BLDG-05,1,109,Office 109,Office,109.00,4
FAC-109-BLDG-05,1,110,Classroom 110,Classroom,1068.00,34
FAC-109-BLDG-05,1,111,Classroom 111,Classroom,1070.00,27
FAC-109-BLDG-05,2,201,Classroom 201,Classroom,748.00,32
FAC-109-BLDG-05,2,202,Classroom 202,Classroom,1092.00,22
FAC-109-BLDG-05,2,203,Restroom 203,Restroom,115.00,0
FAC-109-BLDG-05,2,204,Office 204,Office,230.00,4
FAC-109-BLDG-05,2,205,Computer Lab 205,Computer Lab,1074.00,25
FAC-109-BLDG-05,2,206,Storage 206,Storage,74.00,0
FAC-109-BLDG-05,2,207,Storage 207,Storage,93.00,0
FAC-109-BLDG-05,2,208,Classroom 208,Classroom,785.00,21
FAC-109-BLDG-05,2,209,Classroom 209,Classroom,872.00,31
FAC-109-BLDG-05,2,210,Conference Room 210,Conference Room,360.00,12
FAC-109-BLDG-05,2,211,Science Lab 211,Science Lab,1161.00,19
FAC-109-BLDG-06,1,101,Storage 101,Storage,84.00,0
FAC-109-BLDG-06,1,102,Classroom 102,Classroom,1012.00,33
FAC-109-BLDG-06,1,103,Classroom 103,Classroom,1062.00,26
FAC-109-BLDG-06,1,104,Office 104,Office,117.00,3
FAC-109-BLDG-06,1,105,Science Lab 105,Science Lab,1239.00,19
FAC-109-BLDG-06,1,106,Conference Room 106,Conference Room,353.00,14
FAC-109-BLDG-06,1,107,Classroom 107,Classroom,859.00,30
FAC-109-BLDG-06,1,108,Office 108,Office,175.00,2
FAC-109-BLDG-06,1,109,Classroom 109,Classroom,990.00,32
FAC-109-BLDG-06,1,110,Computer Lab 110,Computer Lab,889.00,29
FAC-109-BLDG-06,1,111,Science Lab 111,Science Lab,1107.00,26
FAC-109-BLDG-06,1,112,Library/Media Center 112,Library/Media Center,3989.00,66
FAC-109-BLDG-06,1,113,Classroom 113,Classroom,1052.00,30
FAC-109-BLDG-06,1,114,Office 114,Office,213.00,2
FAC-209-BLDG-01,1,101,Office 101,Office,143.00,1
FAC-209-BLDG-01,1,102,Classroom 102,Classroom,989.00,30
FAC-209-BLDG-01,1,103,Classroom 103,Classroom,1034.00,27
FAC-209-BLDG-01,1,104,Computer Lab 104,Computer Lab,915.00,32
FAC-209-BLDG-01,1,105,Classroom 105,Classroom,662.00,21
FAC-209-BLDG-01,1,106,Classroom 106,Classroom,893.00,22
FAC-209-BLDG-01,1,107,Office 107,Office,149.00,4
FAC-209-BLDG-01,1,108,Office 108,Office,162.00,2
FAC-209-BLDG-01,1,109,Computer Lab 109,Computer Lab,802.00,32
FAC-209-BLDG-01,1,110,Storage 110,Storage,173.00,0
FAC-209-BLDG-01,1,111,Classroom 111,Classroom,867.00,27
FAC-209-BLDG-01,1,112,Classroom 112,Classroom,1006.00,34
FAC-209-BLDG-01,1,113,Classroom 113,Classroom,777.00,23
FAC-209-BLDG-01,1,114,Office 114,Office,218.00,3
FAC-209-BLDG-01,1,115,Restroom 115,Restroom,194.00,0
FAC-209-BLDG-01,1,116,Office 116,Office,229.00,4
FAC-209-BLDG-02,1,101,Office 101,Office,140.00,4
FAC-209-BLDG-02,1,102,Office 102,Office,163.00,3
FAC-209-BLDG-02,1,103,Gym 103,Gym,11439.00,111
FAC-209-BLDG-02,1,104,Classroom 104,Classroom,689.00,29
FAC-209-BLDG-02,1,105,Classroom 105,Classroom,821.00,30
FAC-209-BLDG-02,1,106,Storage 106,Storage,70.00,0
FAC-209-BLDG-02,1,107,Classroom 107,Classroom,768.00,32
FAC-209-BLDG-02,1,108,Computer Lab 108,Computer Lab,1161.00,23
FAC-209-BLDG-02,1,109,Classroom 109,Classroom,858.00,30
FAC-209-BLDG-02,1,110,Office 110,Office,206.00,1
FAC-209-BLDG-02,1,111,Classroom 111,Classroom,865.00,32
FAC-209-BLDG-02,1,112,Storage 112,Storage,134.00,0
FAC-209-BLDG-02,1,113,Restroom 113,Restroom,82.00,0
FAC-209-BLDG-02,1,114,Storage 114,Storage,157.00,0
FAC-209-BLDG-02,1,115,Science Lab 115,Science Lab,1144.00,18
FAC-209-BLDG-02,1,116,Restroom 116,Restroom,118.00,0
FAC-209-BLDG-03,1,101,Storage 101,Storage,166.00,0
FAC-209-BLDG-03,1,102,Office 102,Office,239.00,2
FAC-209-BLDG-03,1,103,Office 103,Office,169.00,4
FAC-209-BLDG-03,1,104,Office 104,Office,199.00,3
FAC-209-BLDG-03,1,105,Computer Lab 105,Computer Lab,1007.00,31
FAC-209-BLDG-03,1,106,Classroom 106,Classroom,889.00,24
FAC-209-BLDG-03,1,107,Restroom 107,Restroom,148.00,0
FAC-209-BLDG-03,1,108,Classroom 108,Classroom,851.00,20
FAC-209-BLDG-03,1,109,Classroom 109,Classroom,869.00,24
FAC-209-BLDG-03,1,110,Storage 110,Storage,83.00,0
FAC-209-BLDG-03,1,111,Classroom 111,Classroom,844.00,30
FAC-209-BLDG-03,1,112,Classroom 112,Classroom,817.00,30
FAC-209-BLDG-03,1,113,Gym 113,Gym,9711.00,121
FAC-209-BLDG-03,1,114,Gym 114,Gym,10406.00,114
FAC-209-BLDG-04,1,101,Office 101,Office,238.00,1
FAC-209-BLDG-04,1,102,Restroom 102,Restroom,124.00,0
FAC-209-BLDG-04,1,103,Classroom 103,Classroom,685.00,21
FAC-209-BLDG-04,1,104,Gym 104,Gym,7551.00,101
FAC-209-BLDG-04,1,105,Library/Media Center 105,Library/Media Center,2748.00,60
FAC-209-BLDG-04,1,106,Classroom 106,Classroom,992.00,23
FAC-209-BLDG-04,1,107,Science Lab 107,Science Lab,1011.00,25
FAC-209-BLDG-04,1,108,Computer Lab 108,Computer Lab,1192.00,25
FAC-209-BLDG-04,1,109,Classroom 109,Classroom,960.00,23
FAC-209-BLDG-05,B1,B101,Library/Media Center B101,Library/Media Center,4048.00,43
FAC-209-BLDG-05,B1,B102,Science Lab B102,Science Lab,1375.00,22
FAC-209-BLDG-05,B1,B103,Science Lab B103,Science Lab,1364.00,24
FAC-209-BLDG-05,B1,B104,Office B104,Office,150.00,1
FAC-209-BLDG-05,B1,B105,Science Lab B105,Science Lab,1325.00,28
FAC-209-BLDG-05,B1,B106,Classroom B106,Classroom,1006.00,29
FAC-209-BLDG-05,B1,B107,Storage B107,Storage,136.00,0
FAC-209-BLDG-05,B1,B108,Cafeteria B108,Cafeteria,7136.00,280
FAC-209-BLDG-05,B1,B109,Classroom B109,Classroom,922.00,33
FAC-209-BLDG-05,B1,B110,Computer Lab B110,Computer Lab,835.00,28
FAC-209-BLDG-05,1,101,Classroom 101,Classroom,1084.00,33
FAC-209-BLDG-05,1,102,Library/Media Center 102,Library/Media Center,2364.00,85
FAC-209-BLDG-05,1,103,Restroom 103,Restroom,161.00,0
FAC-209-BLDG-05,1,104,Storage 104,Storage,118.00,0
FAC-209-BLDG-05,1,105,Conference Room 105,Conference Room,422.00,8
FAC-209-BLDG-05,1,106,Conference Room 106,Conference Room,338.00,15
FAC-209-BLDG-05,1,107,Cafeteria 107,Cafeteria,6908.00,278
FAC-209-BLDG-05,1,108,Office 108,Office,211.00,3
FAC-209-BLDG-05,1,109,Classroom 109,Classroom,775.00,22
FAC-209-BLDG-05,1,110,Classroom 110,Classroom,880.00,27
FAC-209-BLDG-05,1,111,Gym 111,Gym,9709.00,136
FAC-209-BLDG-05,1,112,Classroom 112,Classroom,1085.00,30
FAC-209-BLDG-05,1,113,Classroom 113,Classroom,758.00,31
FAC-209-BLDG-05,1,114,Cafeteria 114,Cafeteria,5288.00,151
FAC-209-BLDG-05,1,115,Storage 115,Storage,149.00,0
FAC-209-BLDG-05,1,116,Storage 116,Storage,131.00,0
FAC-209-BLDG-05,1,117,Classroom 117,Classroom,747.00,22
FAC-209-BLDG-05,1,118,Classroom 118,Classroom,858.00,35
FAC-209-BLDG-05,2,201,Gym 201,Gym,11300.00,175
FAC-209-BLDG-05,2,202,Office 202,Office,104.00,1
FAC-209-BLDG-05,2,203,Classroom 203,Classroom,857.00,27
FAC-209-BLDG-05,2,204,Classroom 204,Classroom,947.00,31
FAC-209-BLDG-05,2,205,Office 205,Office,235.00,3
FAC-209-BLDG-05,2,206,Office 206,Office,240.00,3
FAC-209-BLDG-05,2,207,Office 207,Office,216.00,3
FAC-209-BLDG-05,2,208,Classroom 208,Classroom,768.00,23
FAC-209-BLDG-05,2,209,Conference Room 209,Conference Room,361.00,7
FAC-209-BLDG-05,2,210,Conference Room 210,Conference Room,294.00,9
FAC-209-BLDG-05,2,211,Classroom 211,Classroom,897.00,28
FAC-209-BLDG-05,2,212,Conference Room 212,Conference Room,468.00,15
FAC-209-BLDG-05,2,213,Classroom 213,Classroom,701.00,26
FAC-209-BLDG-05,2,214,Classroom 214,Classroom,834.00,25
FAC-209-BLDG-05,2,215,Classroom 215,Classroom,1012.00,24
FAC-209-BLDG-05,2,216,Classroom 216,Classroom,677.00,29
FAC-209-BLDG-05,3,301,Computer Lab 301,Computer Lab,1185.00,27
FAC-209-BLDG-05,3,302,Classroom 302,Classroom,656.00,29
FAC-209-BLDG-05,3,303,Office 303,Office,212.00,3
FAC-209-BLDG-05,3,304,Classroom 304,Classroom,676.00,28
FAC-209-BLDG-05,3,305,Restroom 305,Restroom,141.00,0
FAC-209-BLDG-05,3,306,Classroom 306,Classroom,683.00,32
FAC-209-BLDG-05,3,307,Office 307,Office,113.00,2
FAC-209-BLDG-05,3,308,Classroom 308,Classroom,938.00,29
FAC-209-BLDG-05,3,309,Classroom 309,Classroom,777.00,23
FAC-209-BLDG-05,3,310,Science Lab 310,Science Lab,1113.00,27
FAC-209-BLDG-06,1,101,Cafeteria 101,Cafeteria,4348.00,278
FAC-209-BLDG-06,1,102,Office 102,Office,215.00,4
FAC-209-BLDG-06,1,103,Classroom 103,Classroom,951.00,33
FAC-209-BLDG-06,1,104,Classroom 104,Classroom,967.00,21
FAC-209-BLDG-06,1,105,Science Lab 105,Science Lab,1278.00,19
FAC-209-BLDG-06,1,106,Restroom 106,Restroom,106.00,0
FAC-209-BLDG-06,1,107,Science Lab 107,Science Lab,1035.00,28
FAC-209-BLDG-06,1,108,Classroom 108,Classroom,772.00,25
FAC-209-BLDG-06,1,109,Science Lab 109,Science Lab,980.00,18
FAC-209-BLDG-06,1,110,Office 110,Office,220.00,3
FAC-209-BLDG-06,1,111,Classroom 111,Classroom,797.00,29
FAC-209-BLDG-06,1,112,Conference Room 112,Conference Room,432.00,7
FAC-209-BLDG-06,1,113,Computer Lab 113,Computer Lab,935.00,32
FAC-209-BLDG-06,1,114,Cafeteria 114,Cafeteria,7331.00,249
FAC-209-BLDG-06,1,115,Cafeteria 115,Cafeteria,4120.00,188
FAC-209-BLDG-06,1,116,Classroom 116,Classroom,765.00,24
FAC-209-BLDG-06,1,117,Storage 117,Storage,165.00,0
FAC-436-BLDG-01,B1,B101,Classroom B101,Classroom,734.00,29
FAC-436-BLDG-01,B1,B102,Science Lab B102,Science Lab,1322.00,27
FAC-436-BLDG-01,B1,B103,Storage B103,Storage,116.00,0
FAC-436-BLDG-01,B1,B104,Classroom B104,Classroom,1002.00,29
FAC-436-BLDG-01,B1,B105,Computer Lab B105,Computer Lab,939.00,28
FAC-436-BLDG-01,1,101,Office 101,Office,120.00,1
FAC-436-BLDG-01,1,102,Storage 102,Storage,154.00,0
FAC-436-BLDG-01,1,103,Classroom 103,Classroom,778.00,20
FAC-436-BLDG-01,1,104,Classroom 104,Classroom,995.00,20
FAC-436-BLDG-01,1,105,Restroom 105,Restroom,166.00,0
FAC-436-BLDG-01,1,106,Library/Media Center 106,Library/Media Center,1829.00,52
FAC-436-BLDG-01,1,107,Office 107,Office,213.00,3
FAC-436-BLDG-01,1,108,Classroom 108,Classroom,949.00,33
FAC-436-BLDG-01,1,109,Computer Lab 109,Computer Lab,1051.00,21
FAC-436-BLDG-01,1,110,Office 110,Office,204.00,3
FAC-436-BLDG-01,1,111,Classroom 111,Classroom,703.00,25
FAC-436-BLDG-01,1,112,Classroom 112,Classroom,1005.00,35
FAC-436-BLDG-01,1,113,Classroom 113,Classroom,855.00,21
FAC-436-BLDG-01,1,114,Office 114,Office,180.00,3
FAC-436-BLDG-01,1,115,Classroom 115,Classroom,1045.00,32
FAC-436-BLDG-01,1,116,Storage 116,Storage,165.00,0
FAC-436-BLDG-01,2,201,Computer Lab 201,Computer Lab,1077.00,27
FAC-436-BLDG-01,2,202,Office 202,Office,148.00,3
FAC-436-BLDG-01,2,203,Science Lab 203,Science Lab,1155.00,28
FAC-436-BLDG-01,2,204,Office 204,Office,113.00,2
FAC-436-BLDG-01,2,205,Classroom 205,Classroom,717.00,29
FAC-436-BLDG-01,2,206,Office 206,Office,224.00,1
FAC-436-BLDG-01,2,207,Classroom 207,Classroom,972.00,27
FAC-436-BLDG-01,2,208,Conference Room 208,Conference Room,359.00,14
FAC-436-BLDG-01,3,301,Science Lab 301,Science Lab,947.00,21
FAC-436-BLDG-01,3,302,Restroom 302,Restroom,196.00,0
FAC-436-BLDG-01,3,303,Classroom 303,Classroom,710.00,24
FAC-436-BLDG-01,3,304,Office 304,Office,174.00,3
FAC-436-BLDG-01,3,305,Office 305,Office,223.00,4
FAC-436-BLDG-01,3,306,Classroom 306,Classroom,932.00,24
FAC-436-BLDG-01,3,307,Office 307,Office,230.00,2
FAC-436-BLDG-01,3,308,Storage 308,Storage,95.00,0
FAC-436-BLDG-02,1,101,Classroom 101,Classroom,1053.00,28
FAC-436-BLDG-02,1,102,Library/Media Center 102,Library/Media Center,3817.00,68
FAC-436-BLDG-02,1,103,Library/Media Center 103,Library/Media Center,5511.00,49
FAC-436-BLDG-02,1,104,Office 104,Office,223.00,3
FAC-436-BLDG-02,1,105,Classroom 105,Classroom,1040.00,32
FAC-436-BLDG-02,1,106,Office 106,Office,182.00,2
FAC-436-BLDG-02,1,107,Restroom 107,Restroom,110.00,0
FAC-436-BLDG-02,1,108,Science Lab 108,Science Lab,1019.00,24
FAC-436-BLDG-02,1,109,Classroom 109,Classroom,1031.00,35
FAC-436-BLDG-02,1,110,Conference Room 110,Conference Room,395.00,12
FAC-436-BLDG-02,1,111,Restroom 111,Restroom,181.00,0
FAC-436-BLDG-02,1,112,Library/Media Center 112,Library/Media Center,2746.00,93
FAC-436-BLDG-02,1,113,Restroom 113,Restroom,96.00,0
FAC-436-BLDG-02,1,114,Office 114,Office,184.00,1
FAC-436-BLDG-02,2,201,Classroom 201,Classroom,883.00,20
FAC-436-BLDG-02,2,202,Conference Room 202,Conference Room,409.00,16
FAC-436-BLDG-02,2,203,Restroom 203,Restroom,89.00,0
FAC-436-BLDG-02,2,204,Office 204,Office,167.00,3
FAC-436-BLDG-02,2,205,Science Lab 205,Science Lab,1103.00,28
FAC-436-BLDG-02,2,206,Classroom 206,Classroom,818.00,32
FAC-436-BLDG-02,2,207,Restroom 207,Restroom,160.00,0
FAC-436-BLDG-02,2,208,Conference Room 208,Conference Room,449.00,14
FAC-436-BLDG-02,2,209,Classroom 209,Classroom,685.00,27
FAC-436-BLDG-02,2,210,Computer Lab 210,Computer Lab,947.00,23
FAC-436-BLDG-02,2,211,Conference Room 211,Conference Room,422.00,7
FAC-436-BLDG-02,2,212,Gym 212,Gym,5146.00,163
FAC-436-BLDG-02,2,213,Classroom 213,Classroom,803.00,20
FAC-436-BLDG-02,2,214,Classroom 214,Classroom,1057.00,21
FAC-436-BLDG-02,2,215,Classroom 215,Classroom,841.00,33
FAC-436-BLDG-02,3,301,Classroom 301,Classroom,860.00,25
FAC-436-BLDG-02,3,302,Classroom 302,Classroom,690.00,32
FAC-436-BLDG-02,3,303,Science Lab 303,Science Lab,1023.00,25
FAC-436-BLDG-02,3,304,Storage 304,Storage,78.00,0
FAC-436-BLDG-02,3,305,Classroom 305,Classroom,976.00,28
FAC-436-BLDG-02,3,306,Office 306,Office,102.00,4
FAC-436-BLDG-02,3,307,Storage 307,Storage,146.00,0
FAC-436-BLDG-02,3,308,Office 308,Office,118.00,4
FAC-436-BLDG-02,3,309,Restroom 309,Restroom,155.00,0
FAC-436-BLDG-02,3,310,Classroom 310,Classroom,867.00,28
FAC-436-BLDG-03,1,101,Storage 101,Storage,85.00,0
FAC-436-BLDG-03,1,102,Restroom 102,Restroom,189.00,0
FAC-436-BLDG-03,1,103,Office 103,Office,160.00,4
FAC-436-BLDG-03,1,104,Science Lab 104,Science Lab,1194.00,22
FAC-436-BLDG-03,1,105,Restroom 105,Restroom,117.00,0
FAC-436-BLDG-03,1,106,Classroom 106,Classroom,1074.00,32
FAC-436-BLDG-03,1,107,Classroom 107,Classroom,939.00,21
FAC-436-BLDG-03,1,108,Storage 108,Storage,155.00,0
FAC-436-BLDG-03,1,109,Office 109,Office,173.00,2
FAC-436-BLDG-03,1,110,Science Lab 110,Science Lab,1080.00,21
FAC-436-BLDG-03,1,111,Computer Lab 111,Computer Lab,1117.00,24
FAC-436-BLDG-03,1,112,Computer Lab 112,Computer Lab,1169.00,32
FAC-436-BLDG-03,1,113,Computer Lab 113,Computer Lab,870.00,30
FAC-436-BLDG-03,1,114,Classroom 114,Classroom,971.00,21
FAC-436-BLDG-03,1,115,Classroom 115,Classroom,875.00,21
FAC-436-BLDG-03,2,201,Office 201,Office,133.00,1
FAC-436-BLDG-03,2,202,Storage 202,Storage,101.00,0
FAC-436-BLDG-03,2,203,Conference Room 203,Conference Room,289.00,9
FAC-436-BLDG-03,2,204,Classroom 204,Classroom,926.00,31
FAC-436-BLDG-03,2,205,Office 205,Office,169.00,2
FAC-436-BLDG-03,2,206,Classroom 206,Classroom,1072.00,35
FAC-436-BLDG-03,2,207,Restroom 207,Restroom,117.00,0
FAC-436-BLDG-03,2,208,Conference Room 208,Conference Room,373.00,18
FAC-436-BLDG-03,2,209,Classroom 209,Classroom,688.00,24
FAC-436-BLDG-03,2,210,Gym 210,Gym,7196.00,151
FAC-436-BLDG-03,2,211,Restroom 211,Restroom,182.00,0
FAC-436-BLDG-03,2,212,Science Lab 212,Science Lab,946.00,24
FAC-436-BLDG-03,2,213,Classroom 213,Classroom,924.00,23
FAC-436-BLDG-03,2,214,Office 214,Office,167.00,4
FAC-436-BLDG-03,2,215,Library/Media Center 215,Library/Media Center,4543.00,43
FAC-436-BLDG-03,2,216,Computer Lab 216,Computer Lab,1041.00,20
FAC-436-BLDG-03,2,217,Science Lab 217,Science Lab,1382.00,26
FAC-436-BLDG-04,1,101,Storage 101,Storage,88.00,0
